step,central_amplitude
0,0.7585642295912779
1,0.6379669935282982
2,0.5679909836282198
3,0.5238720227660055
4,0.49539039742586916
5,0.4692003257155041
6,0.4553746482031377
7,0.45528248574495883
8,0.45447370740433746
9,0.4708191739047681
10,0.4996844759493906
11,0.5376848630267081
12,0.5623232121917418
13,0.5738883665528836
14,0.6054873472807932
15,0.6601141519874599
16,0.7253402485969718
17,0.7795797048263113
18,0.8502695891751296
19,0.9341604279531723
20,1.0348211730120056
21,1.154631937031908
22,1.276017156371731
23,1.425105137205125
24,1.5853647942481714
25,1.7752615876497275
26,1.9913526262973027
27,2.2621603660229876
28,2.576739632187693
29,2.9707916510455217
30,3.462402957765377
31,4.096832417855914
32,4.958989916797863
33,6.1817135427584375
34,8.115121898912262
35,10.757037261587866
36,14.245216538188558
37,18.916598027248824
38,25.214418252360737
39,33.6814423645289
40,45.104286348705514
41,60.48769616914953
42,81.25523240992665
43,109.29602963758205
44,147.10551490072555
45,198.6565502125402
46,269.2278760624401
47,365.96392286626013
48,498.78244217644504
49,681.4176457229948
50,932.9434328807656
51,1279.8211585968081
52,1758.818299623513
53,2421.1434918320856
54,3338.1436233522472
55,4609.258094313477
56,6373.329961302917
57,8824.319966148987
58,12233.38186794031
59,16980.003026397237
60,23595.607386916217
61,32824.9994347997
62,45712.754126590764
63,63724.87058755152
64,88920.22285420145
65,124191.92980516769
66,173607.8686860772
67,242890.87917549044
68,340096.20846873167
69,476567.6980394158
70,668287.8492754431
71,937784.418342754
72,1316823.9495179001
73,1850217.9310182193
74,2601202.5945214033
75,3659044.548359512
76,5149795.757134677
77,7251504.68523718
78,10215734.027897662
79,14398004.951714108
80,20300877.54128279
81,28634921.250156898
82,40405015.75561691
83,57032520.723604955
84,80528242.05268307
85,113737339.84829171
86,160686133.32180053
87,227073239.7141803
88,320965170.6647808
89,453781569.2676647
90,641690780.8916416
91,907586768.4028169
92,1283889684.2381485
93,1816513450.3171275
94,2570486876.402927
95,3637917745.296814
96,5149276820.345916
97,7289386187.749102
98,10320073761.0166
99,14612274038.973299
100,20691514791.663242
101,29302372615.10761
102,41499809003.971375
103,58778598639.754395
104,83256738127.71199
105,117935350558.48201
106,167066992575.64233
107,236677578946.68927
108,335305998575.8252
109,475052220319.76776
110,673062557028.3486
111,953634419861.4165
112,1351198938125.2498
113,1914547574687.2427
114,2712821556460.8145
115,3843999299513.8354
116,5446923586317.183
117,7718344663251.061
118,10937070965343.58
119,15498191355079.623
120,21961568573310.02
121,31120554630541.676
122,44099359888885.14
123,62491022889940.45
124,88552908689182.28
125,125483720359941.5
126,177816006784115.22
127,251972315841364.5
128,357053212544413.44
129,505953817247502.44
130,716945805871353.9
131,1015918890865554.1
132,1439556664959375.8
133,2039836251473414.8
134,2890403506722611.5
135,4095605453812191.0
136,5803287372461435.0
137,8222923446010327.0
138,1.1651303624806944e+16
139,1.6508925513562178e+16
140,2.3391552109692216e+16
141,3.3143254863566532e+16
142,4.695989451673584e+16
143,6.653572207259419e+16
144,9.427106600108277e+16
145,1.3356655663699874e+17
146,1.8923994155854838e+17
147,2.681165652663086e+17
148,3.79865862382349e+17
149,5.381863517130051e+17
150,7.624843100128524e+17
151,1.0802517775541074e+18
152,1.530435208480878e+18
153,2.1682074174376765e+18
154,3.071727348659981e+18
155,4.3517156508176394e+18
156,6.165018890899878e+18
157,8.73382370756656e+18
158,1.237287409570959e+19
159,1.7528025040627235e+19
160,2.4830853867146785e+19
161,3.5176016882152587e+19
162,4.9830823877497184e+19
163,7.059044776007246e+19
164,9.999777387975639e+19
165,1.4165480748819422e+20
166,2.006637669089112e+20
167,2.842518664950622e+20
168,4.026562806181834e+20
169,5.703776301868951e+20
170,8.079554448988001e+20
171,1.1444829489676863e+21
172,1.621169015549247e+21
173,2.2963833113324612e+21
174,3.25280219469063e+21
175,4.6075300560445626e+21
176,6.526434964814619e+21
177,9.244453280694046e+21
178,1.3094348418634744e+22
179,1.8547443624737845e+22
180,2.6271314038056576e+22
181,3.721149880351146e+22
182,5.270723353610587e+22
183,7.465536671408981e+22
184,1.057425200324139e+23
185,1.4977390387862843e+23
186,2.1213902674649498e+23
187,3.0047128879100128e+23
188,4.2558217449875234e+23
189,6.027843604504678e+23
190,8.537656425972189e+23
191,1.2092429859171186e+24
192,1.7127214540300504e+24
193,2.425817966176161e+24
194,3.435801294168332e+24
195,4.8662708777398e+24
196,6.892281079187707e+24
197,9.761761403013104e+24
198,1.3825853516801003e+25
199,1.95818768678772e+25
