step,vortices_pos,vortices_neg,net_local_charge
0,18,18,0
1,13,13,0
2,12,12,0
3,12,12,0
4,11,11,0
5,9,10,-1
6,9,9,0
7,8,8,0
8,7,7,0
9,6,6,0
10,6,5,1
11,5,5,0
12,4,4,0
13,4,3,1
14,4,4,0
15,4,4,0
16,4,4,0
17,4,4,0
18,2,2,0
19,2,2,0
20,2,2,0
21,2,2,0
22,2,2,0
23,2,2,0
24,2,2,0
25,2,2,0
26,2,2,0
27,2,2,0
28,2,2,0
29,2,2,0
30,2,2,0
31,2,2,0
32,2,2,0
33,2,1,1
34,2,2,0
35,2,2,0
36,2,2,0
37,2,2,0
38,2,2,0
39,2,1,1
40,1,1,0
41,1,1,0
42,3,1,2
43,1,1,0
44,1,1,0
45,1,1,0
46,1,1,0
47,2,0,2
48,1,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,1,1,0
53,1,1,0
54,1,1,0
55,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,1,1,0
61,1,1,0
62,2,1,1
63,2,1,1
64,2,1,1
65,2,1,1
66,1,0,1
67,1,0,1
68,1,0,1
69,1,0,1
70,1,0,1
71,1,0,1
72,1,0,1
73,1,0,1
74,1,0,1
75,1,0,1
76,1,0,1
77,1,0,1
78,1,0,1
79,1,0,1
80,2,0,2
81,2,0,2
82,2,0,2
83,2,0,2
84,2,0,2
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,2,0,2
91,2,0,2
92,2,0,2
93,2,0,2
94,2,0,2
95,2,0,2
96,2,0,2
97,2,0,2
98,2,0,2
99,2,0,2
100,2,0,2
101,2,0,2
102,2,0,2
103,2,0,2
104,2,0,2
105,2,0,2
106,2,0,2
107,2,0,2
108,2,0,2
109,2,0,2
110,2,0,2
111,2,0,2
112,2,0,2
113,2,0,2
114,2,0,2
115,1,0,1
116,1,0,1
117,1,0,1
118,1,0,1
119,1,0,1
120,1,0,1
121,1,0,1
122,1,0,1
123,1,0,1
124,1,0,1
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
