y,x,dominant_freq_Hz,energy_J,mass_kg,mass_ratio
0,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
0,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
20,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
40,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
60,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
80,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
100,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,0,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,20,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,40,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,60,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,80,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,100,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
120,120,5.000000000000001e+18,3.3130350750000008e-15,3.686248661906355e-32,0.04046649960040057
