step,center_y,center_x,size
0,49.223318385650224,47.80089686098655,1115
1,48.841948310139166,48.584493041749504,1006
2,49.873062015503876,49.59011627906977,1032
3,49.91604322527016,49.45802161263508,1203
4,50.06961613532856,49.83669486011711,1537
5,49.76421973748177,49.77491492464755,2057
6,49.86175284195086,49.973597359735976,2727
7,49.952516349161215,49.72959909013364,3517
8,49.925875085792725,49.54701441317776,4371
9,49.77232656190111,49.52702184745113,5218
10,49.99329534026148,49.76935970499497,5966
11,49.695736724008974,49.6303664921466,6685
12,49.486364259284635,49.710428943401396,7297
13,49.658982614294914,49.720669671603346,7765
14,49.70412396290874,49.56551976573939,8196
15,49.732701088865475,49.49022362720993,8541
16,49.69645486465058,49.482387586363124,8829
17,49.71662789409549,49.57760053173812,9027
18,49.723008271658685,49.638659120592074,9188
19,49.587913854066215,49.564770170363225,9333
20,49.60182049110923,49.59028365791702,9448
21,49.61669809344228,49.56871988267337,9546
22,49.58101081530782,49.586626455906824,9616
23,49.589677285891604,49.58305750930906,9668
24,49.55706633704162,49.53852492789452,9708
25,49.544476327116215,49.540172166427546,9758
26,49.56235943569822,49.52995297485177,9782
27,49.55553291216629,49.55349500713267,9814
28,49.53691275167785,49.501220256253816,9834
29,49.55534118602762,49.52305036555646,9848
30,49.54294975688817,49.52866693679093,9872
31,49.53563125442232,49.52724148387749,9893
32,49.520993136859104,49.509890997174004,9908
33,49.505095348602566,49.49772979517708,9911
34,49.48343570637398,49.48826905648978,9931
35,49.489941661637495,49.4931603299135,9942
36,49.491506684088854,49.48849130565886,9949
37,49.506027727546716,49.475989551938916,9954
38,49.506879582203474,49.484985437380736,9957
39,49.49874434957308,49.488397790055245,9955
40,49.47630997791608,49.50020076289901,9962
41,49.471898835808915,49.5040144520273,9964
42,49.47366837195305,49.502557929581705,9969
43,49.49187725631769,49.516646610509426,9972
44,49.490225563909775,49.50987468671679,9975
45,49.48837442373221,49.503708157947486,9978
46,49.485516688383285,49.50085195950687,9977
47,49.49929887820513,49.49068509615385,9984
48,49.50756285685666,49.498247019933885,9983
49,49.508415147265076,49.49388900020036,9982
50,49.51387636509368,49.49574190962829,9981
51,49.50971749148467,49.50020036064917,9982
52,49.51096864669939,49.507462686567166,9983
53,49.501402243589745,49.50420673076923,9984
54,49.50035059601322,49.507462686567166,9983
55,49.49904876339241,49.50025032542305,9987
56,49.49849789705588,49.50230322451432,9986
57,49.498147962759035,49.49754730203224,9989
58,49.50215236760437,49.4974471919111,9989
59,49.498648783905516,49.49244319887899,9991
60,49.49969975980785,49.48859087269816,9992
61,49.493242566823504,49.48463309640605,9989
62,49.49194113524877,49.48573430773851,9989
63,49.49579579579579,49.4970970970971,9990
64,49.495545991392255,49.49324391952757,9991
65,49.50550440352282,49.50190152121697,9992
66,49.512512512512515,49.504304304304306,9990
67,49.51666833516869,49.50825908499349,9989
68,49.5119583708596,49.504353047132994,9993
69,49.510455227613804,49.49984992496248,9995
70,49.51436005203642,49.49584709296508,9993
71,49.51100660396238,49.496397838703224,9994
72,49.50560336201721,49.50250150090054,9994
73,49.501451015711,49.50455318723106,9993
74,49.49974987493747,49.50455227613807,9995
75,49.50030018010806,49.5014008405043,9994
76,49.49824912456228,49.501950975487745,9995
77,49.492747824347305,49.50245073522056,9997
78,49.49689937987598,49.500400080016,9998
79,49.5005500550055,49.496849684968495,9999
80,49.5005500550055,49.496849684968495,9999
81,49.505651695508654,49.49474842452736,9997
82,49.505651695508654,49.49474842452736,9997
83,49.50270054010802,49.495199039807964,9998
84,49.5021502150215,49.4983498349835,9999
85,49.5,49.5,10000
86,49.4992499249925,49.4985498549855,9999
87,49.499499899979995,49.500100020004,9998
88,49.5,49.5,10000
89,49.4984498449845,49.4985498549855,9999
90,49.4984498449845,49.4985498549855,9999
91,49.5,49.5,10000
92,49.5,49.5,10000
93,49.5,49.5,10000
94,49.5,49.5,10000
95,49.5,49.5,10000
96,49.5,49.5,10000
97,49.5,49.5,10000
98,49.5,49.5,10000
99,49.5,49.5,10000
100,49.5,49.5,10000
101,49.5,49.5,10000
102,49.5,49.5,10000
103,49.5,49.5,10000
104,49.5,49.5,10000
105,49.5,49.5,10000
106,49.5,49.5,10000
107,49.5,49.5,10000
108,49.5,49.5,10000
109,49.5,49.5,10000
110,49.5,49.5,10000
111,49.5,49.5,10000
112,49.5,49.5,10000
113,49.5,49.5,10000
114,49.5,49.5,10000
115,49.5,49.5,10000
116,49.5,49.5,10000
117,49.5,49.5,10000
118,49.5,49.5,10000
119,49.5,49.5,10000
120,49.5,49.5,10000
121,49.5,49.5,10000
122,49.5,49.5,10000
123,49.5,49.5,10000
124,49.5,49.5,10000
125,49.5,49.5,10000
126,49.5,49.5,10000
127,49.5,49.5,10000
128,49.5,49.5,10000
129,49.5,49.5,10000
130,49.5,49.5,10000
131,49.5,49.5,10000
132,49.5,49.5,10000
133,49.5,49.5,10000
134,49.5,49.5,10000
135,49.5,49.5,10000
136,49.5,49.5,10000
137,49.5,49.5,10000
138,49.5,49.5,10000
139,49.5,49.5,10000
140,49.5,49.5,10000
141,49.5,49.5,10000
142,49.5,49.5,10000
143,49.5,49.5,10000
144,49.5,49.5,10000
145,49.5,49.5,10000
146,49.5,49.5,10000
147,49.5,49.5,10000
148,49.5,49.5,10000
149,49.5,49.5,10000
150,49.5,49.5,10000
151,49.5,49.5,10000
152,49.5,49.5,10000
153,49.5,49.5,10000
154,49.5,49.5,10000
155,49.5,49.5,10000
156,49.5,49.5,10000
157,49.5,49.5,10000
158,49.5,49.5,10000
159,49.5,49.5,10000
160,49.5,49.5,10000
161,49.5,49.5,10000
162,49.5,49.5,10000
163,49.5,49.5,10000
164,49.5,49.5,10000
165,49.5,49.5,10000
166,49.5,49.5,10000
167,49.5,49.5,10000
168,49.5,49.5,10000
169,49.5,49.5,10000
170,49.5,49.5,10000
171,49.5,49.5,10000
172,49.5,49.5,10000
173,49.5,49.5,10000
174,49.5,49.5,10000
175,49.5,49.5,10000
176,49.5,49.5,10000
177,49.5,49.5,10000
