step,phi_center_abs
0,0.2460576419982553
1,0.4663028162395196
2,0.66550191988486
3,0.8486828735338421
4,1.0192777017447576
5,1.1787993875693876
6,1.3278349160903664
7,1.468016856424514
8,1.6005966095866169
9,1.7268831391271084
10,1.84905413149397
11,1.9674697870151776
12,2.083250763006668
13,2.1961989358604366
14,2.3107234019097658
15,2.4282927832182404
16,2.5512879018251606
17,2.680830063920438
18,2.8214339438039984
19,2.9759494557112
20,3.1518076390875462
21,3.354804462791767
22,3.594186051698621
23,3.8822461941581508
24,4.249852218494469
25,4.720921871240092
26,5.345827821304903
27,6.206753107395216
28,7.468023725213932
29,9.446486377480463
30,12.910945413269543
31,19.075732150041308
32,30.012355502527466
33,49.5216078616417
34,84.31197900493481
35,146.4697008189449
36,257.94655993381605
37,458.1609794029742
38,818.8271405031318
39,1365.9315530888248
40,1880.400309201342
41,2364.2314110501657
42,2819.2446656519514
43,3247.154915608353
44,3649.5766645474873
45,4028.0282161391838
46,4383.937417569107
47,4718.647053403869
48,5033.419916299891
49,5329.443573382582
50,5607.834847892564
51,5869.64403381076
52,6115.858859365716
53,6347.408214386355
54,6565.165655573069
55,6769.952702919632
56,6962.541939730752
57,7143.6599279390675
58,7313.989949727832
59,7474.17458580952
60,7624.818140093706
61,7766.488919897469
62,7899.721380306068
63,8025.018140778609
64,8142.851881612432
65,8253.667127423052
66,8357.881924370477
67,8455.889417464477
68,8548.059333902398
69,8634.739378036846
70,8716.25654324021
71,8792.918345618624
72,8865.013984229929
73,8932.815432184523
74,8996.578462747042
75,9056.543614311391
76,9112.937097891005
77,9165.971650549058
78,9215.847337989415
79,9262.752309337124
80,9306.8635069568
81,9348.347333987553
82,9387.360282113477
83,9424.049521938668
84,9458.553458194545
85,9491.002251874555
86,9521.518311266504
87,9550.216753735336
88,9577.205839998865
89,9602.587382535059
90,9626.45712966193
91,9648.905126739219
92,9670.016055854741
93,9689.869555277084
94,9708.540519879938
95,9726.099383671612
96,9742.611729187667
97,9758.139935204803
98,9772.742661894636
99,9786.475072537172
100,9799.389042012466
101,9811.533352859127
102,9822.953879641324
103,9833.693762321627
104,9843.793569295445
105,9853.291450703719
106,9862.223282603672
107,9870.622802542915
108,9878.521737049576
109,9885.949921520627
110,9892.935412961764
111,9899.504596005165
112,9905.682282606005
113,9911.491805794727
114,9916.955107839543
115,9922.092823152521
116,9926.924356252704
117,9931.467955081036
118,9935.74077994427
119,9939.758968348517
120,9943.537695967509
121,9947.091233976098
122,9950.433002965707
123,9953.575623645527
124,9956.530964521158
125,9959.310186730858
126,9961.923786208945
127,9964.38163333566
128,9966.693010223391
129,9968.866645780172
130,9970.910748682982
131,9972.833038385466
132,9974.640774277266
133,9976.340783105155
134,9977.939484759623
135,9979.442916524336
136,9980.856755880133
137,9982.186341949722
138,9983.436695664113
139,9984.612538726991
140,9985.7183114487
141,9986.758189517199
142,9987.736099769405
143,9988.655735022465
144,9989.520568021026
145,9990.333864553193
146,9991.098695784729
147,9991.817949858098
148,9992.494342800179
149,9993.130428779847
150,9993.728609754187
151,9994.291144539793
152,9994.820157343387
153,9995.317645784024
154,9995.785488437163
155,9996.225451929118
156,9996.639197608689
157,9997.028287821151
158,9997.394191808338
159,9997.738291257094
160,9998.061885517023
161,9998.366196507304
162,9998.652373331055
163,9998.92149661469
164,9999.174582588681
165,9999.41258692511
166,9999.636408346512
167,9999.846892019663
168,10000.044832747099
169,10000.230977968436
170,10000.406030582837
171,10000.570651603264
172,10000.725462652557
173,10000.871048310753
174,10001.00795832253
175,10001.136709673094
176,10001.257788540353
177,10001.37165213077
178,10001.47873040579
179,10001.5794277054
180,10001.674124274925
181,10001.763177700865
182,10001.846924261123
183,10001.925680194805
184,10001.999742896342
185,10002.069392038444
186,10002.134890628144
187,10002.196485999904
188,10002.25441074955
189,10002.30888361254
190,10002.360110289907
191,10002.40828422497
192,10002.453587333788
193,10002.49619069204
194,10002.536255181018
195,10002.573932095102
196,10002.409363713037
197,10002.255669002176
198,10002.112128565499
199,10001.978070668567
