y,x,phi
0,0,2837.566793192363
0,20,2819.761637328778
0,40,2848.7895499181495
0,60,2812.45742131491
0,80,2813.126315187353
0,100,2813.845260673076
0,120,2815.461541621429
20,0,2839.233618759826
20,20,2817.6513345510366
20,40,2814.36501528045
20,60,2802.785500763747
20,80,2815.253688801655
20,100,2820.9524955388683
20,120,2821.7361510179717
40,0,2865.9176850045474
40,20,2829.6327142363434
40,40,2814.939164054438
40,60,2816.278642980854
40,80,2814.271221662646
40,100,2818.016490416557
40,120,2823.113182959962
60,0,2817.220252739978
60,20,2824.4376397501314
60,40,2824.223076722832
60,60,2812.0208592909516
60,80,2816.0530890278656
60,100,2825.144503020708
60,120,2814.211573734011
80,0,2819.2459153373534
80,20,2800.4150661202452
80,40,2809.138575922445
80,60,2814.152164924485
80,80,2804.3016285712833
80,100,2803.1094320675315
80,120,2821.304896322856
100,0,2859.1505427630996
100,20,2812.034141519688
100,40,2809.5695420462507
100,60,2818.5848687183716
100,80,2810.3451497254487
100,100,2820.675145750141
100,120,2810.4620890381066
120,0,2827.245342121529
120,20,2820.8167916488974
120,40,2819.173206697889
120,60,2829.1710126256758
120,80,2820.4966090701846
120,100,2805.17977239547
120,120,2812.286152071375
