step,central_amplitude
0,0.8408675118320553
1,0.7030490577463334
2,0.6052550920083564
3,0.5252145641303382
4,0.47613278813459115
5,0.4357414134001599
6,0.4053052575567782
7,0.3874227550419607
8,0.3821571530825012
9,0.3699101116738565
10,0.36834615386770286
11,0.3761884993395258
12,0.38347433865225994
13,0.40937835055181665
14,0.43320244537114605
15,0.4615160610567874
16,0.4975294185465699
17,0.5418104396148232
18,0.5907433194993609
19,0.6511206984472914
20,0.7225585372633249
21,0.8105261475846701
22,0.915610486184725
23,1.033957927475525
24,1.1855749783601721
25,1.3690874351031772
26,1.5900327652192392
27,1.8615650043464853
28,2.1873721996099977
29,2.5762509715475166
30,3.0520625531904186
31,3.640095219602131
32,4.36623003394569
33,5.2634928611461405
34,6.374054220693324
35,7.765671338698239
36,9.515174736164512
37,11.709699505551448
38,14.50930751149909
39,18.084039089342593
40,22.71203272640954
41,28.776544073914515
42,36.892705437698424
43,48.04762421115682
44,63.15077202240503
45,83.15809386121549
46,109.73598591376071
47,145.0436131137589
48,191.98120961119037
49,254.48267694100917
50,337.79414713452263
51,448.9631984553387
52,597.4650580868308
53,796.0611831036214
54,1062.0409646031949
55,1418.7961642112646
56,1898.0071880077576
57,2542.6448275275575
58,3411.0344415366276
59,4582.424942214
60,6164.653380177194
61,8304.525907548294
62,11202.112193396302
63,15130.322388446852
64,20461.724881777718
65,27705.321496898538
66,37557.065247128856
67,50969.2001506034
68,69245.54508141894
69,94172.48102800004
70,128199.06179649696
71,174684.9199520087
72,238241.40793316386
73,325201.50594676123
74,444267.11655014456
75,607401.2359021688
76,831058.0306685152
77,1137879.3355936676
78,1559035.4381979115
79,2137455.6902348567
80,2932288.8079322893
81,4025062.7630302086
82,5528194.452609577
83,7596748.933589445
84,10444693.61756215
85,14367371.743144464
86,19772582.910344474
87,27223577.935196076
88,37498549.67587027
89,51672968.60864412
90,71233561.70843795
91,98236130.8763401
92,135524120.27589715
93,187031379.86166376
94,258201644.47550005
95,356569837.31496215
96,492567780.33942276
97,680641150.3386571
98,940798196.1576854
99,1300757494.7114692
100,1798926964.6010532
101,2488536556.2016277
102,3443372336.487123
103,4765733766.989281
104,6597477855.369179
105,9135349995.65314
106,12652268482.33776
107,17526879048.473846
108,24284598499.55333
109,33654621585.26507
110,46649110396.665146
111,64673212423.74411
