y,x,phi
0,0,2845.4977659725305
0,20,2815.758877874276
0,40,2821.6720454029937
0,60,2825.4104378288216
0,80,2816.352483320619
0,100,2818.7353430370567
0,120,2818.2558018764644
20,0,2836.4648129186617
20,20,2831.514880184991
20,40,2813.2137079611757
20,60,2823.630232349351
20,80,2807.341002957427
20,100,2817.687059442189
20,120,2823.248655601033
40,0,2813.920288582359
40,20,2812.138125345978
40,40,2817.3339242736392
40,60,2815.1958611416444
40,80,2814.577987399909
40,100,2817.090002492335
40,120,2826.971894948632
60,0,2814.04799272341
60,20,2818.159538361771
60,40,2818.625931136957
60,60,2822.8750874493467
60,80,2814.32750310095
60,100,2813.6676670591532
60,120,2814.304611313
80,0,2820.159666912714
80,20,2825.605428590341
80,40,2819.1766181865864
80,60,2813.404418225139
80,80,2809.064551644216
80,100,2809.2003571626497
80,120,2818.9944249176524
100,0,2789.66302846737
100,20,2822.5914122963595
100,40,2810.364941699498
100,60,2813.0124697900465
100,80,2819.2191764397944
100,100,2816.808391702068
100,120,2805.5851947505016
120,0,2819.440843290561
120,20,2815.7981916225754
120,40,2817.243132558834
120,60,2826.820543336562
120,80,2813.349912430238
120,100,2810.3663069048916
120,120,2813.1289154820315
