frequency_Hz,amplitude
0.0,1.1187071843154282e+250
1.0000000000000001e+18,2.65317140113809e+282
2.0000000000000003e+18,2.650455664707442e+282
3.0000000000000005e+18,2.6459418900308337e+282
4.0000000000000005e+18,2.6396486215950046e+282
5.000000000000001e+18,2.6316015551827495e+282
6.000000000000001e+18,2.6218332774778197e+282
7.000000000000001e+18,2.610382939781365e+282
8.000000000000001e+18,2.5972958718664977e+282
9.000000000000001e+18,2.5826231429608146e+282
1.0000000000000002e+19,2.566421077610235e+282
1.1000000000000002e+19,2.548750734726686e+282
1.2000000000000002e+19,2.529677358450415e+282
1.3000000000000002e+19,2.5092698095670885e+282
1.4000000000000002e+19,2.487599986119723e+282
1.5000000000000002e+19,2.4647422415623874e+282
1.6000000000000002e+19,2.440772808338199e+282
1.7000000000000002e+19,2.4157692341544426e+282
1.8000000000000002e+19,2.3898098375014464e+282
1.9000000000000004e+19,2.3629731881492716e+282
2.0000000000000004e+19,2.335337617487135e+282
2.1000000000000004e+19,2.306980762673929e+282
2.2000000000000004e+19,2.2779791476705374e+282
2.3000000000000004e+19,2.2484078033498055e+282
2.4000000000000004e+19,2.2183399280479714e+282
2.5000000000000004e+19,2.187846589148676e+282
2.6000000000000004e+19,2.1569964655896365e+282
2.7000000000000004e+19,2.1258556305616027e+282
2.8000000000000004e+19,2.0944873731341348e+282
2.9000000000000004e+19,2.0629520570953611e+282
3.0000000000000004e+19,2.031307014931738e+282
3.1000000000000004e+19,1.999606474596273e+282
3.2000000000000004e+19,1.967901516514127e+282
3.3000000000000004e+19,1.936240058146766e+282
3.4000000000000004e+19,1.9046668633723894e+282
3.5000000000000004e+19,1.8732235739331915e+282
3.6000000000000004e+19,1.84194876024107e+282
3.700000000000001e+19,1.8108779889144521e+282
3.800000000000001e+19,1.7800439045322979e+282
3.900000000000001e+19,1.7494763232297665e+282
4.000000000000001e+19,1.719202335916748e+282
4.100000000000001e+19,1.6892464190696508e+282
4.200000000000001e+19,1.6596305512231387e+282
4.300000000000001e+19,1.63037433346747e+282
4.400000000000001e+19,1.6014951124350356e+282
4.500000000000001e+19,1.5730081044333354e+282
4.600000000000001e+19,1.544926519548863e+282
4.700000000000001e+19,1.517261684704932e+282
4.800000000000001e+19,1.4900231648054062e+282
4.900000000000001e+19,1.4632188812344256e+282
5.000000000000001e+19,1.4368552271091202e+282
5.100000000000001e+19,1.410937178797852e+282
5.200000000000001e+19,1.385468403320663e+282
5.300000000000001e+19,1.3604513613415973e+282
5.400000000000001e+19,1.335887405545055e+282
5.500000000000001e+19,1.3117768742605004e+282
5.600000000000001e+19,1.2881191802627102e+282
5.700000000000001e+19,1.2649128947286874e+282
5.800000000000001e+19,1.242155826378323e+282
5.900000000000001e+19,1.2198450958643682e+282
6.000000000000001e+19,1.197977205509216e+282
6.100000000000001e+19,1.1765481045119048e+282
6.200000000000001e+19,1.1555532497693809e+282
6.300000000000001e+19,1.1349876624720431e+282
6.400000000000001e+19,1.1148459806454296e+282
6.500000000000001e+19,1.0951225078182385e+282
6.600000000000001e+19,1.0758112580021484e+282
6.700000000000001e+19,1.0569059971715319e+282
6.800000000000001e+19,1.0384002814316182e+282
6.900000000000001e+19,1.0202874920622778e+282
7.000000000000001e+19,1.0025608676216593e+282
7.100000000000001e+19,9.852135332898197e+281
7.200000000000001e+19,9.682385276273213e+281
7.300000000000001e+19,9.516288269178984e+281
7.400000000000002e+19,9.353773672578478e+281
7.500000000000002e+19,9.194770645479046e+281
7.600000000000002e+19,9.039208325362277e+281
7.700000000000002e+19,8.88701599053828e+281
7.800000000000002e+19,8.738123205763844e+281
7.900000000000002e+19,8.592459952391029e+281
8.000000000000002e+19,8.449956744239835e+281
8.100000000000002e+19,8.310544730317901e+281
8.200000000000002e+19,8.174155785441101e+281
8.300000000000002e+19,8.040722589741935e+281
8.400000000000002e+19,7.910178697988263e+281
8.500000000000002e+19,7.78245859957317e+281
8.600000000000002e+19,7.657497769977892e+281
8.700000000000002e+19,7.535232714453527e+281
8.800000000000002e+19,7.415601004613926e+281
8.900000000000002e+19,7.298541308582173e+281
9.000000000000002e+19,7.183993415285045e+281
9.100000000000002e+19,7.071898253445523e+281
9.200000000000002e+19,6.96219790578124e+281
9.300000000000002e+19,6.854835618877325e+281
9.400000000000002e+19,6.749755809165444e+281
9.500000000000002e+19,6.646904065406116e+281
9.600000000000002e+19,6.546227148039651e+281
9.700000000000002e+19,6.447672985740806e+281
9.800000000000002e+19,6.351190669484649e+281
9.900000000000002e+19,6.256730444405333e+281
1.0000000000000002e+20,6.164243699705366e+281
1.0100000000000002e+20,6.073682956850786e+281
1.0200000000000002e+20,5.985001856267471e+281
1.0300000000000002e+20,5.898155142734126e+281
1.0400000000000002e+20,5.813098649650734e+281
1.0500000000000002e+20,5.7297892823444215e+281
1.0600000000000002e+20,5.64818500056023e+281
1.0700000000000002e+20,5.568244800270268e+281
1.0800000000000002e+20,5.489928694922214e+281
1.0900000000000002e+20,5.413197696236478e+281
1.1000000000000002e+20,5.338013794650638e+281
1.1100000000000002e+20,5.264339939500027e+281
1.1200000000000002e+20,5.192140019014279e+281
1.1300000000000002e+20,5.121378840201477e+281
1.1400000000000002e+20,5.0520221086840705e+281
1.1500000000000002e+20,4.9840364085435464e+281
1.1600000000000002e+20,4.917389182225065e+281
1.1700000000000002e+20,4.852048710546896e+281
1.1800000000000002e+20,4.787984092854786e+281
1.1900000000000002e+20,4.7251652273563296e+281
1.2000000000000002e+20,4.66356279166599e+281
1.2100000000000002e+20,4.6031482235878403e+281
1.2200000000000002e+20,4.543893702158962e+281
1.2300000000000002e+20,4.485772128973696e+281
1.2400000000000002e+20,4.428757109805643e+281
1.2500000000000002e+20,4.372822936541697e+281
1.2600000000000002e+20,4.317944569440135e+281
1.2700000000000002e+20,4.264097619722394e+281
1.2800000000000002e+20,4.211258332506295e+281
1.2900000000000002e+20,4.1594035700867694e+281
1.3000000000000002e+20,4.108510795568342e+281
1.3100000000000002e+20,4.058558056852489e+281
1.3200000000000002e+20,4.009523970981399e+281
1.3300000000000002e+20,3.9613877088388345e+281
1.3400000000000002e+20,3.914128980207489e+281
1.3500000000000002e+20,3.867728019181609e+281
1.3600000000000002e+20,3.822165569932567e+281
1.3700000000000002e+20,3.777422872824694e+281
1.3800000000000002e+20,3.7334816508777545e+281
1.3900000000000002e+20,3.6903240965721514e+281
1.4000000000000002e+20,3.647932858992309e+281
1.4100000000000002e+20,3.606291031303417e+281
1.4200000000000002e+20,3.565382138556298e+281
1.4300000000000002e+20,3.525190125814867e+281
1.4400000000000002e+20,3.485699346600469e+281
1.4500000000000002e+20,3.446894551647106e+281
1.4600000000000002e+20,3.408760877961503e+281
1.4700000000000002e+20,3.371283838181669e+281
1.4800000000000003e+20,3.334449310227752e+281
1.4900000000000003e+20,3.2982435272386964e+281
1.5000000000000003e+20,3.26265306778829e+281
1.5100000000000003e+20,3.227664846374145e+281
1.5200000000000003e+20,3.1932661041731736e+281
1.5300000000000003e+20,3.1594444000570404e+281
1.5400000000000003e+20,3.126187601861314e+281
1.5500000000000003e+20,3.093483877901828e+281
1.5600000000000003e+20,3.061321688732009e+281
1.5700000000000003e+20,3.029689779134979e+281
1.5800000000000003e+20,2.998577170344199e+281
1.5900000000000003e+20,2.967973152486652e+281
1.6000000000000003e+20,2.9378672772425644e+281
1.6100000000000003e+20,2.908249350715816e+281
1.6200000000000003e+20,2.8791094265092605e+281
1.6300000000000003e+20,2.8504377989992894e+281
1.6400000000000003e+20,2.8222249968041328e+281
1.6500000000000003e+20,2.79446177644038e+281
1.6600000000000003e+20,2.767139116162532e+281
1.6700000000000003e+20,2.7402482099802718e+281
1.6800000000000003e+20,2.7137804618484032e+281
1.6900000000000003e+20,2.6877274800245828e+281
1.7000000000000003e+20,2.6620810715898368e+281
1.7100000000000003e+20,2.636833237127306e+281
1.7200000000000003e+20,2.6119761655545107e+281
1.7300000000000003e+20,2.5875022291046788e+281
1.7400000000000003e+20,2.5634039784527887e+281
1.7500000000000003e+20,2.5396741379820193e+281
1.7600000000000003e+20,2.516305601186507e+281
1.7700000000000003e+20,2.493291426206372e+281
1.7800000000000003e+20,2.4706248314910686e+281
1.7900000000000003e+20,2.448299191587291e+281
1.8000000000000003e+20,2.4263080330476858e+281
1.8100000000000003e+20,2.4046450304567912e+281
1.8200000000000003e+20,2.383304002570703e+281
1.8300000000000003e+20,2.3622789085670772e+281
1.8400000000000003e+20,2.3415638444021603e+281
1.8500000000000003e+20,2.3211530392716246e+281
1.8600000000000003e+20,2.3010408521721455e+281
1.8700000000000003e+20,2.281221768560656e+281
1.8800000000000003e+20,2.261690397108365e+281
1.8900000000000003e+20,2.242441466546733e+281
1.9000000000000003e+20,2.2234698226025636e+281
1.9100000000000003e+20,2.2047704250196318e+281
1.9200000000000003e+20,2.186338344664187e+281
1.9300000000000003e+20,2.16816876071184e+281
1.9400000000000003e+20,2.1502569579134223e+281
1.9500000000000003e+20,2.132598323937375e+281
1.9600000000000003e+20,2.1151883467864652e+281
1.9700000000000003e+20,2.0980226122865417e+281
1.9800000000000003e+20,2.0810968016451978e+281
1.9900000000000003e+20,2.064406689078273e+281
2.0000000000000003e+20,2.0479481395021252e+281
2.0100000000000003e+20,2.0317171062897305e+281
2.0200000000000003e+20,2.0157096290887453e+281
2.0300000000000003e+20,1.999921831699599e+281
2.0400000000000003e+20,1.984349920011948e+281
2.0500000000000003e+20,1.968990179997648e+281
2.0600000000000003e+20,1.953838975758629e+281
2.0700000000000003e+20,1.9388927476280587e+281
2.0800000000000003e+20,1.9241480103231558e+281
2.0900000000000003e+20,1.9096013511481932e+281
2.1000000000000003e+20,1.8952494282461805e+281
2.1100000000000003e+20,1.8810889688977804e+281
2.1200000000000003e+20,1.867116767866105e+281
2.1300000000000003e+20,1.853329685786009e+281
2.1400000000000003e+20,1.8397246475966097e+281
2.1500000000000003e+20,1.826298641015739e+281
2.1600000000000003e+20,1.8130487150551206e+281
2.1700000000000003e+20,1.7999719785750925e+281
2.1800000000000003e+20,1.787065598877694e+281
2.1900000000000003e+20,1.774326800337031e+281
2.2000000000000003e+20,1.7617528630658434e+281
2.2100000000000003e+20,1.7493411216171837e+281
2.2200000000000003e+20,1.7370889637202687e+281
2.2300000000000003e+20,1.7249938290494112e+281
2.2400000000000003e+20,1.713053208025212e+281
2.2500000000000003e+20,1.7012646406469733e+281
2.2600000000000003e+20,1.689625715355489e+281
2.2700000000000003e+20,1.6781340679253673e+281
2.2800000000000003e+20,1.6667873803859566e+281
2.2900000000000003e+20,1.6555833799702e+281
2.3000000000000003e+20,1.644519838090462e+281
2.3100000000000003e+20,1.6335945693406958e+281
2.3200000000000003e+20,1.6228054305241463e+281
2.3300000000000003e+20,1.6121503197058578e+281
2.3400000000000003e+20,1.6016271752893435e+281
2.3500000000000003e+20,1.5912339751166574e+281
2.3600000000000003e+20,1.5809687355912982e+281
2.3700000000000003e+20,1.5708295108232518e+281
2.3800000000000003e+20,1.5608143917955545e+281
2.3900000000000003e+20,1.55092150555182e+281
2.4000000000000003e+20,1.5411490144041033e+281
2.4100000000000003e+20,1.5314951151605588e+281
2.4200000000000003e+20,1.5219580383723542e+281
2.4300000000000003e+20,1.5125360475992704e+281
2.4400000000000003e+20,1.5032274386935382e+281
2.4500000000000003e+20,1.494030539101345e+281
2.4600000000000003e+20,1.4849437071815677e+281
2.4700000000000003e+20,1.4759653315412564e+281
2.4800000000000003e+20,1.467093830387388e+281
2.4900000000000003e+20,1.458327650894492e+281
2.5000000000000003e+20,1.4496652685876689e+281
2.5100000000000003e+20,1.4411051867406251e+281
2.5200000000000003e+20,1.4326459357882929e+281
2.5300000000000003e+20,1.4242860727536575e+281
2.5400000000000003e+20,1.4160241806884067e+281
2.5500000000000003e+20,1.4078588681270213e+281
2.5600000000000003e+20,1.3997887685539684e+281
2.5700000000000003e+20,1.3918125398836398e+281
2.5800000000000003e+20,1.383928863952674e+281
2.5900000000000003e+20,1.3761364460243805e+281
2.6000000000000003e+20,1.3684340143049016e+281
2.6100000000000003e+20,1.3608203194708221e+281
2.6200000000000003e+20,1.3532941342079341e+281
2.6300000000000003e+20,1.3458542527608388e+281
2.6400000000000003e+20,1.3384994904931316e+281
2.6500000000000003e+20,1.3312286834578687e+281
2.6600000000000003e+20,1.3240406879780549e+281
2.6700000000000003e+20,1.3169343802369081e+281
2.6800000000000003e+20,1.3099086558776193e+281
2.6900000000000003e+20,1.3029624296123992e+281
2.7000000000000003e+20,1.2960946348405121e+281
2.7100000000000003e+20,1.289304223275149e+281
2.7200000000000003e+20,1.2825901645788333e+281
2.7300000000000003e+20,1.275951446007195e+281
2.7400000000000003e+20,1.269387072060866e+281
2.7500000000000003e+20,1.262896064145326e+281
2.7600000000000003e+20,1.2564774602384471e+281
2.7700000000000003e+20,1.250130314565596e+281
2.7800000000000003e+20,1.2438536972820544e+281
2.7900000000000003e+20,1.2376466941626232e+281
2.8000000000000003e+20,1.2315084062981684e+281
2.8100000000000003e+20,1.2254379497990034e+281
2.8200000000000003e+20,1.2194344555048817e+281
2.8300000000000003e+20,1.2134970687014551e+281
2.8400000000000003e+20,1.207624948843057e+281
2.8500000000000003e+20,1.2018172692816028e+281
2.8600000000000003e+20,1.1960732170015223e+281
2.8700000000000003e+20,1.1903919923605132e+281
2.8800000000000003e+20,1.1847728088360156e+281
2.8900000000000003e+20,1.1792148927772435e+281
2.9000000000000003e+20,1.1737174831626426e+281
2.9100000000000003e+20,1.1682798313626547e+281
2.9200000000000003e+20,1.1629012009076463e+281
2.9300000000000003e+20,1.1575808672608535e+281
2.9400000000000003e+20,1.152318117596297e+281
2.9500000000000003e+20,1.1471122505814444e+281
2.9600000000000007e+20,1.1419625761645902e+281
2.9700000000000007e+20,1.1368684153667968e+281
2.9800000000000007e+20,1.1318291000782904e+281
2.9900000000000007e+20,1.1268439728592312e+281
3.0000000000000007e+20,1.1219123867447208e+281
3.0100000000000007e+20,1.1170337050539527e+281
3.0200000000000007e+20,1.1122073012034422e+281
3.0300000000000007e+20,1.107432558524178e+281
3.0400000000000007e+20,1.1027088700826638e+281
3.0500000000000007e+20,1.0980356385057188e+281
3.0600000000000007e+20,1.0934122758089599e+281
3.0700000000000007e+20,1.0888382032288822e+281
3.0800000000000007e+20,1.0843128510584538e+281
3.0900000000000007e+20,1.0798356584861479e+281
3.1000000000000007e+20,1.0754060734383061e+281
3.1100000000000007e+20,1.0710235524247965e+281
3.1200000000000007e+20,1.0666875603878549e+281
3.1300000000000007e+20,1.0623975705540582e+281
3.1400000000000007e+20,1.0581530642893385e+281
3.1500000000000007e+20,1.053953530957e+281
3.1600000000000007e+20,1.0497984677786234e+281
3.1700000000000007e+20,1.0456873796978349e+281
3.1800000000000007e+20,1.0416197792468534e+281
3.1900000000000007e+20,1.0375951864157553e+281
3.2000000000000007e+20,1.0336131285243976e+281
3.2100000000000007e+20,1.0296731400969367e+281
3.2200000000000007e+20,1.0257747627388948e+281
3.2300000000000007e+20,1.0219175450166867e+281
3.2400000000000007e+20,1.0181010423396008e+281
3.2500000000000007e+20,1.014324816844138e+281
3.2600000000000007e+20,1.0105884372806616e+281
3.2700000000000007e+20,1.0068914789023345e+281
3.2800000000000007e+20,1.0032335233562508e+281
3.2900000000000007e+20,9.996141585767592e+280
3.3000000000000007e+20,9.960329786808934e+280
3.3100000000000007e+20,9.924895838658707e+280
3.3200000000000007e+20,9.889835803086394e+280
3.3300000000000007e+20,9.855145800673848e+280
3.3400000000000007e+20,9.820822009849968e+280
3.3500000000000007e+20,9.786860665944246e+280
3.3600000000000007e+20,9.753258060258938e+280
3.3700000000000007e+20,9.72001053915939e+280
3.3800000000000007e+20,9.687114503182066e+280
3.3900000000000007e+20,9.654566406160136e+280
3.4000000000000007e+20,9.622362754365917e+280
3.4100000000000007e+20,9.590500105670108e+280
3.4200000000000007e+20,9.558975068717199e+280
