frequency_Hz,amplitude
0.0,7.15972597961874e+249
1.0000000000000001e+18,4.1949273197902504e+282
2.0000000000000003e+18,4.1906339329609495e+282
3.0000000000000005e+18,4.1834979727771934e+282
4.0000000000000005e+18,4.17354875333553e+282
5.000000000000001e+18,4.16082689315887e+282
6.000000000000001e+18,4.14538390362977e+282
7.000000000000001e+18,4.127281673282096e+282
8.000000000000001e+18,4.10659185747501e+282
9.000000000000001e+18,4.083395184495815e+282
1.0000000000000002e+19,4.057780690344755e+282
1.1000000000000002e+19,4.02984489532302e+282
1.2000000000000002e+19,3.9996909360641667e+282
1.3000000000000002e+19,3.967427666822085e+282
1.4000000000000002e+19,3.9331687436709423e+282
1.5000000000000002e+19,3.897031704809267e+282
1.6000000000000002e+19,3.8591370594268475e+282
1.7000000000000002e+19,3.819607396629701e+282
1.8000000000000002e+19,3.77856652477089e+282
1.9000000000000004e+19,3.736138650251004e+282
2.0000000000000004e+19,3.6924476034786786e+282
2.1000000000000004e+19,3.647616118264546e+282
2.2000000000000004e+19,3.6017651695036574e+282
2.3000000000000004e+19,3.555013372618438e+282
2.4000000000000004e+19,3.507476446919568e+282
2.5000000000000004e+19,3.4592667438206096e+282
2.6000000000000004e+19,3.4104928397342896e+282
2.7000000000000004e+19,3.361259192497605e+282
2.8000000000000004e+19,3.3116658593269454e+282
2.9000000000000004e+19,3.2618082735973016e+282
3.0000000000000004e+19,3.2117770771685973e+282
3.1000000000000004e+19,3.161658004543263e+282
3.2000000000000004e+19,3.1115318148237314e+282
3.3000000000000004e+19,3.061474267236214e+282
3.4000000000000004e+19,3.011556135886921e+282
3.5000000000000004e+19,2.9618432594051465e+282
3.6000000000000004e+19,2.912396621192515e+282
3.700000000000001e+19,2.8632724561256723e+282
3.800000000000001e+19,2.8145223797386506e+282
3.900000000000001e+19,2.766193536130034e+282
4.000000000000001e+19,2.718328761087473e+282
4.100000000000001e+19,2.670966757189567e+282
4.200000000000001e+19,2.62414227792371e+282
4.300000000000001e+19,2.577886318141255e+282
4.400000000000001e+19,2.5322263084526863e+282
4.500000000000001e+19,2.487186311439882e+282
4.600000000000001e+19,2.4427872178268155e+282
4.700000000000001e+19,2.399046941000829e+282
4.800000000000001e+19,2.3559806085118416e+282
4.900000000000001e+19,2.3136007493953496e+282
5.000000000000001e+19,2.2719174763656047e+282
5.100000000000001e+19,2.2309386621080419e+282
5.200000000000001e+19,2.190670109064656e+282
5.300000000000001e+19,2.1511157122530678e+282
5.400000000000001e+19,2.1122776147903855e+282
5.500000000000001e+19,2.0741563559071181e+282
5.600000000000001e+19,2.0367510113357527e+282
5.700000000000001e+19,2.0000593260439548e+282
5.800000000000001e+19,1.964077839354911e+282
5.900000000000001e+19,1.9288020025583438e+282
6.000000000000001e+19,1.8942262891660706e+282
6.100000000000001e+19,1.8603442980070858e+282
6.200000000000001e+19,1.8271488493897217e+282
6.300000000000001e+19,1.7946320745836797e+282
6.400000000000001e+19,1.7627854988935911e+282
6.500000000000001e+19,1.7316001186087916e+282
6.600000000000001e+19,1.7010664721224498e+282
6.700000000000001e+19,1.671174705517346e+282
6.800000000000001e+19,1.6419146329162792e+282
6.900000000000001e+19,1.613275791892977e+282
7.000000000000001e+19,1.5852474942347142e+282
7.100000000000001e+19,1.5578188723413596e+282
7.200000000000001e+19,1.5309789215374562e+282
7.300000000000001e+19,1.504716538564637e+282
7.400000000000002e+19,1.4790205565115018e+282
7.500000000000002e+19,1.4538797764271848e+282
7.600000000000002e+19,1.4292829958535508e+282
7.700000000000002e+19,1.4052190344994768e+282
7.800000000000002e+19,1.3816767572689444e+282
7.900000000000002e+19,1.3586450948431845e+282
8.000000000000002e+19,1.3361130620055883e+282
8.100000000000002e+19,1.3140697738869e+282
8.200000000000002e+19,1.2925044602973385e+282
8.300000000000002e+19,1.2714064783016272e+282
8.400000000000002e+19,1.2507653231828313e+282
8.500000000000002e+19,1.2305706379310852e+282
8.600000000000002e+19,1.2108122213839655e+282
8.700000000000002e+19,1.191480035136472e+282
8.800000000000002e+19,1.1725642093300373e+282
8.900000000000002e+19,1.1540550474221668e+282
9.000000000000002e+19,1.1359430300306697e+282
9.100000000000002e+19,1.1182188179394748e+282
9.200000000000002e+19,1.1008732543463149e+282
9.300000000000002e+19,1.0838973664263624e+282
9.400000000000002e+19,1.0672823662800807e+282
9.500000000000002e+19,1.0510196513281073e+282
9.600000000000002e+19,1.0351008042108773e+282
9.700000000000002e+19,1.0195175922460459e+282
9.800000000000002e+19,1.0042619664922755e+282
9.900000000000002e+19,9.893260604639527e+281
1.0000000000000002e+20,9.747021885375735e+281
1.0100000000000002e+20,9.60382844087008e+281
1.0200000000000002e+20,9.463606973816855e+281
1.0300000000000002e+20,9.326285932786145e+281
1.0400000000000002e+20,9.191795487365267e+281
1.0500000000000002e+20,9.060067501777334e+281
1.0600000000000002e+20,8.931035507210311e+281
1.0700000000000002e+20,8.80463467306767e+281
1.0800000000000002e+20,8.680801777331755e+281
1.0900000000000002e+20,8.559475176213033e+281
1.1000000000000002e+20,8.44059477324087e+281
1.1100000000000002e+20,8.324101987936501e+281
1.1200000000000002e+20,8.209939724194664e+281
1.1300000000000002e+20,8.098052338486674e+281
1.1400000000000002e+20,7.988385607986891e+281
1.1500000000000002e+20,7.880886698712619e+281
1.1600000000000002e+20,7.775504133758084e+281
1.1700000000000002e+20,7.672187761694014e+281
1.1800000000000002e+20,7.570888725195688e+281
1.1900000000000002e+20,7.471559429955295e+281
1.2000000000000002e+20,7.374153513927128e+281
1.2100000000000002e+20,7.27862581694796e+281
1.2200000000000002e+20,7.184932350769655e+281
1.2300000000000002e+20,7.093030269535113e+281
1.2400000000000002e+20,7.002877840724974e+281
1.2500000000000002e+20,6.914434416597361e+281
1.2600000000000002e+20,6.827660406139601e+281
1.2700000000000002e+20,6.742517247547478e+281
1.2800000000000002e+20,6.658967381244028e+281
1.2900000000000002e+20,6.576974223447524e+281
1.3000000000000002e+20,6.496502140295594e+281
1.3100000000000002e+20,6.417516422529962e+281
1.3200000000000002e+20,6.339983260744893e+281
1.3300000000000002e+20,6.263869721199694e+281
1.3400000000000002e+20,6.189143722195066e+281
1.3500000000000002e+20,6.115774011010755e+281
1.3600000000000002e+20,6.04373014140129e+281
1.3700000000000002e+20,5.972982451645335e+281
1.3800000000000002e+20,5.903502043142939e+281
1.3900000000000002e+20,5.835260759554671e+281
1.4000000000000002e+20,5.7682311664752783e+281
1.4100000000000002e+20,5.702386531634345e+281
1.4200000000000002e+20,5.6377008056156447e+281
1.4300000000000002e+20,5.574148603086471e+281
1.4400000000000002e+20,5.511705184527882e+281
1.4500000000000002e+20,5.450346438456507e+281
1.4600000000000002e+20,5.3900488641280393e+281
1.4700000000000002e+20,5.330789554712947e+281
1.4800000000000003e+20,5.2725461809339754e+281
1.4900000000000003e+20,5.2152969751555955e+281
1.5000000000000003e+20,5.1590207159152025e+281
1.5100000000000003e+20,5.103696712885661e+281
1.5200000000000003e+20,5.049304792259268e+281
1.5300000000000003e+20,4.9958252825426756e+281
1.5400000000000003e+20,4.9432390007529154e+281
1.5500000000000003e+20,4.8915272390042346e+281
1.5600000000000003e+20,4.8406717514758925e+281
1.5700000000000003e+20,4.7906547417511545e+281
1.5800000000000003e+20,4.7414588505175275e+281
1.5900000000000003e+20,4.693067143618921e+281
1.6000000000000003e+20,4.645463100450106e+281
1.6100000000000003e+20,4.598630602684216e+281
1.6200000000000003e+20,4.552553923324339e+281
1.6300000000000003e+20,4.5072177160699644e+281
1.6400000000000003e+20,4.4626070049898254e+281
1.6500000000000003e+20,4.418707174492319e+281
1.6600000000000003e+20,4.3755039595852324e+281
1.6700000000000003e+20,4.3329834364164847e+281
1.6800000000000003e+20,4.2911320130879254e+281
1.6900000000000003e+20,4.249936420734243e+281
1.7000000000000003e+20,4.209383704859463e+281
1.7100000000000003e+20,4.1694612169234015e+281
1.7200000000000003e+20,4.1301566061710146e+281
1.7300000000000003e+20,4.09145781169729e+281
1.7400000000000003e+20,4.053353054740994e+281
1.7500000000000003e+20,4.0158308312004506e+281
1.7600000000000003e+20,3.978879904364706e+281
1.7700000000000003e+20,3.9424892978539823e+281
1.7800000000000003e+20,3.906648288762849e+281
1.7900000000000003e+20,3.871346401000472e+281
1.8000000000000003e+20,3.8365733988217444e+281
1.8100000000000003e+20,3.802319280543851e+281
1.8200000000000003e+20,3.768574272442605e+281
1.8300000000000003e+20,3.735328822823201e+281
1.8400000000000003e+20,3.702573596260253e+281
1.8500000000000003e+20,3.6702994680019207e+281
1.8600000000000003e+20,3.638497518533294e+281
1.8700000000000003e+20,3.6071590282942766e+281
1.8800000000000003e+20,3.5762754725472265e+281
1.8900000000000003e+20,3.545838516390026e+281
1.9000000000000003e+20,3.5158400099100746e+281
1.9100000000000003e+20,3.486271983475047e+281
1.9200000000000003e+20,3.457126643156309e+281
1.9300000000000003e+20,3.428396366281e+281
1.9400000000000003e+20,3.400073697108951e+281
1.9500000000000003e+20,3.372151342630657e+281
1.9600000000000003e+20,3.3446221684827055e+281
1.9700000000000003e+20,3.317479194977161e+281
1.9800000000000003e+20,3.290715593241447e+281
1.9900000000000003e+20,3.2643246814654897e+281
2.0000000000000003e+20,3.238299921252879e+281
2.0100000000000003e+20,3.212634914072916e+281
2.0200000000000003e+20,3.187323397810635e+281
2.0300000000000003e+20,3.162359243411774e+281
2.0400000000000003e+20,3.137736451619956e+281
2.0500000000000003e+20,3.113449149803315e+281
2.0600000000000003e+20,3.08949158886785e+281
2.0700000000000003e+20,3.0658581402550955e+281
2.0800000000000003e+20,3.0425432930214055e+281
2.0900000000000003e+20,3.019541650996638e+281
2.1000000000000003e+20,2.996847930019795e+281
2.1100000000000003e+20,2.974456955249303e+281
2.1200000000000003e+20,2.952363658545926e+281
2.1300000000000003e+20,2.930563075925919e+281
2.1400000000000003e+20,2.909050345082649e+281
2.1500000000000003e+20,2.8878207029743925e+281
2.1600000000000003e+20,2.8668694834766494e+281
2.1700000000000003e+20,2.8461921150968716e+281
2.1800000000000003e+20,2.825784118749926e+281
2.1900000000000003e+20,2.805641105592476e+281
2.2000000000000003e+20,2.7857587749145966e+281
2.2100000000000003e+20,2.7661329120869053e+281
2.2200000000000003e+20,2.7467593865617287e+281
2.2300000000000003e+20,2.7276341499265996e+281
2.2400000000000003e+20,2.7087532340086973e+281
2.2500000000000003e+20,2.6901127490287416e+281
2.2600000000000003e+20,2.6717088818028242e+281
2.2700000000000003e+20,2.653537893990998e+281
2.2800000000000003e+20,2.635596120391091e+281
2.2900000000000003e+20,2.6178799672766275e+281
2.3000000000000003e+20,2.6003859107774645e+281
2.3100000000000003e+20,2.5831104953020257e+281
2.3200000000000003e+20,2.5660503319999316e+281
2.3300000000000003e+20,2.549202097263849e+281
2.3400000000000003e+20,2.5325625312695302e+281
2.3500000000000003e+20,2.5161284365529023e+281
2.3600000000000003e+20,2.4998966766231657e+281
2.3700000000000003e+20,2.4838641746110065e+281
2.3800000000000003e+20,2.4680279119507443e+281
2.3900000000000003e+20,2.452384927095694e+281
2.4000000000000003e+20,2.4369323142656364e+281
2.4100000000000003e+20,2.4216672222256093e+281
2.4200000000000003e+20,2.4065868530951463e+281
2.4300000000000003e+20,2.3916884611870586e+281
2.4400000000000003e+20,2.3769693518750267e+281
2.4500000000000003e+20,2.3624268804891963e+281
2.4600000000000003e+20,2.3480584512389232e+281
2.4700000000000003e+20,2.3338615161620776e+281
2.4800000000000003e+20,2.3198335741000404e+281
2.4900000000000003e+20,2.305972169697795e+281
2.5000000000000003e+20,2.2922748924283837e+281
2.5100000000000003e+20,2.2787393756410566e+281
2.5200000000000003e+20,2.2653632956325487e+281
2.5300000000000003e+20,2.2521443707407473e+281
2.5400000000000003e+20,2.2390803604602884e+281
2.5500000000000003e+20,2.226169064579357e+281
2.5600000000000003e+20,2.2134083223372107e+281
2.5700000000000003e+20,2.2007960116018725e+281
2.5800000000000003e+20,2.188330048067389e+281
2.5900000000000003e+20,2.1760083844702417e+281
2.6000000000000003e+20,2.1638290098242914e+281
2.6100000000000003e+20,2.151789948673846e+281
2.6200000000000003e+20,2.1398892603643635e+281
2.6300000000000003e+20,2.1281250383302676e+281
2.6400000000000003e+20,2.116495409399546e+281
2.6500000000000003e+20,2.104998533114535e+281
2.6600000000000003e+20,2.093632601068624e+281
2.6700000000000003e+20,2.0823958362583717e+281
2.6800000000000003e+20,2.071286492450637e+281
2.6900000000000003e+20,2.0603028535644112e+281
2.7000000000000003e+20,2.0494432330668818e+281
2.7100000000000003e+20,2.038705973383396e+281
2.7200000000000003e+20,2.02808944532101e+281
2.7300000000000003e+20,2.017592047505188e+281
2.7400000000000003e+20,2.0072122058294198e+281
2.7500000000000003e+20,1.9969483729173353e+281
2.7600000000000003e+20,1.9867990275970434e+281
2.7700000000000003e+20,1.976762674387404e+281
2.7800000000000003e+20,1.9668378429958613e+281
2.7900000000000003e+20,1.9570230878276495e+281
2.8000000000000003e+20,1.947316987505996e+281
2.8100000000000003e+20,1.9377181444030592e+281
2.8200000000000003e+20,1.9282251841814156e+281
2.8300000000000003e+20,1.9188367553456983e+281
2.8400000000000003e+20,1.9095515288042626e+281
2.8500000000000003e+20,1.9003681974405425e+281
2.8600000000000003e+20,1.8912854756939e+281
2.8700000000000003e+20,1.8823020991497177e+281
2.8800000000000003e+20,1.873416824138517e+281
2.8900000000000003e+20,1.864628427343875e+281
2.9000000000000003e+20,1.855935705418919e+281
2.9100000000000003e+20,1.8473374746111997e+281
2.9200000000000003e+20,1.8388325703957363e+281
2.9300000000000003e+20,1.8304198471160173e+281
2.9400000000000003e+20,1.822098177632808e+281
2.9500000000000003e+20,1.8138664529805233e+281
2.9600000000000007e+20,1.8057235820310114e+281
2.9700000000000007e+20,1.7976684911645794e+281
2.9800000000000007e+20,1.7897001239480537e+281
2.9900000000000007e+20,1.78181744081975e+281
3.0000000000000007e+20,1.7740194187811594e+281
3.0100000000000007e+20,1.7663050510951677e+281
3.0200000000000007e+20,1.75867334699074e+281
3.0300000000000007e+20,1.751123331373781e+281
3.0400000000000007e+20,1.7436540445441988e+281
3.0500000000000007e+20,1.7362645419188463e+281
3.0600000000000007e+20,1.728953893760328e+281
3.0700000000000007e+20,1.7217211849114856e+281
3.0800000000000007e+20,1.7145655145354414e+281
3.0900000000000007e+20,1.7074859958610632e+281
3.1000000000000007e+20,1.7004817559337213e+281
3.1100000000000007e+20,1.693551935371228e+281
3.1200000000000007e+20,1.6866956881248445e+281
3.1300000000000007e+20,1.6799121812451826e+281
3.1400000000000007e+20,1.6732005946529994e+281
3.1500000000000007e+20,1.666560120914655e+281
3.1600000000000007e+20,1.659989965022183e+281
3.1700000000000007e+20,1.6534893441778954e+281
3.1800000000000007e+20,1.6470574875833408e+281
3.1900000000000007e+20,1.6406936362326042e+281
3.2000000000000007e+20,1.6343970427097824e+281
3.2100000000000007e+20,1.6281669709905686e+281
3.2200000000000007e+20,1.622002696247873e+281
