y,x,phi,curl
0,0,2837.566793192363,0.0
0,20,2819.761637328778,0.0
0,40,2848.7895499181495,8.673617379884035e-19
0,60,2812.45742131491,-2.168404344971009e-19
0,80,2813.126315187353,3.469446951953614e-18
0,100,2813.845260673076,-1.3877787807814457e-17
0,120,2815.461541621429,-5.551115123125783e-17
20,0,2839.233618759826,0.0
20,20,2817.6513345510366,-8.673617379884035e-19
20,40,2814.36501528045,4.336808689942018e-19
20,60,2802.785500763747,0.0
20,80,2815.253688801655,0.0
20,100,2820.9524955388683,0.0
20,120,2821.7361510179717,0.0
40,0,2865.9176850045474,0.0
40,20,2829.6327142363434,0.0
40,40,2814.939164054438,0.0
40,60,2816.278642980854,0.0
40,80,2814.271221662646,-3.469446951953614e-18
40,100,2818.016490416557,0.0
40,120,2823.113182959962,8.673617379884035e-19
60,0,2817.220252739978,-3.469446951953614e-18
60,20,2824.4376397501314,1.3877787807814457e-17
60,40,2824.223076722832,-2.168404344971009e-19
60,60,2812.0208592909516,0.0
60,80,2816.0530890278656,3.469446951953614e-18
60,100,2825.144503020708,0.0
60,120,2814.211573734011,-1.951563910473908e-18
80,0,2819.2459153373534,0.0
80,20,2800.4150661202452,3.469446951953614e-18
80,40,2809.138575922445,0.0
80,60,2814.152164924485,-3.469446951953614e-18
80,80,2804.3016285712833,0.0
80,100,2803.1094320675315,0.0
80,120,2821.304896322856,5.898059818321144e-17
100,0,2859.1505427630996,0.0
100,20,2812.034141519688,0.0
100,40,2809.5695420462507,-1.734723475976807e-18
100,60,2818.5848687183716,-6.938893903907228e-18
100,80,2810.3451497254487,0.0
100,100,2820.675145750141,0.0
100,120,2810.4620890381066,3.0357660829594124e-18
120,0,2827.245342121529,0.0
120,20,2820.8167916488974,-1.1449174941446927e-16
120,40,2819.173206697889,0.0
120,60,2829.1710126256758,0.0
120,80,2820.4966090701846,-1.734723475976807e-18
120,100,2805.17977239547,2.6020852139652106e-18
120,120,2812.286152071375,0.0
