step,central_amplitude
0,0.8368263370786782
1,0.7014981180581887
2,0.5970630222107431
3,0.5205712339224822
4,0.46868509316863
5,0.43342689148142016
6,0.4132705846764187
7,0.3957324204969818
8,0.3953602742951446
9,0.39886963950430715
10,0.40910964342384776
11,0.42529669565751915
12,0.44363706570576933
13,0.47903687965027125
14,0.524801463777923
15,0.5648426645456459
16,0.6283495742118766
17,0.7049188166634955
18,0.7979088450344324
19,0.9066721816398604
20,1.0339042937943046
21,1.184544789348318
22,1.366570231873414
23,1.5797620420370697
24,1.8442575304908206
25,2.158675635742302
26,2.5459925470293276
27,3.0116747324330038
28,3.580691990962453
29,4.280665826294036
30,5.136062226491245
31,6.198082935265022
32,7.512405509794248
33,9.155011195400226
34,11.208099781325718
35,13.797220029303693
36,17.08717307255634
37,21.31852444856872
38,26.802795395612048
39,34.05124992677241
40,43.86754312038764
41,57.66756973932622
42,75.84137966692376
43,99.90018745667608
44,131.79094832705428
45,174.05094392374775
46,230.10424387779062
47,304.51308720824835
48,403.36707259616344
49,534.7866934729946
50,709.6433531819841
51,942.597757616303
52,1253.3969255683573
53,1668.6601967909091
54,2224.2618512852896
55,2968.6633812973078
56,3967.3772340940923
57,5309.068467565282
58,7113.834722705659
59,9544.535168693043
60,12822.206316170756
61,17247.10285311758
62,23227.51253700501
63,31318.99052539143
64,42278.160311192136
65,57136.228528723055
66,77299.71583503
67,104688.38944327898
68,141924.30647589697
69,192591.128179984
70,261589.81868485655
71,355626.9316456272
72,483885.16919896734
73,658944.6084871647
74,898048.9312930044
75,1224846.564326488
76,1671785.6752745607
77,2283410.011569722
78,3120896.0415144926
79,4268301.016954863
80,5841170.400267937
81,7998399.235492101
82,10958583.188557534
83,15022565.54247769
84,20604537.568671186
85,28274949.724785272
86,38819735.88564481
87,53322074.965980746
88,73275296.64588498
89,100738835.16417344
90,138553699.02443036
91,190640242.62482962
92,262409774.7546485
93,361333655.6782203
94,497730318.47078824
95,685853903.7172077
96,945400417.9529887
97,1303591982.6301644
98,1798061639.1809957
99,2480846990.450184
100,3423919946.0202484
101,4726844848.912733
102,6527386127.147446
103,9016204094.907043
104,12457217996.460535
105,17215826571.191048
106,23798024601.050884
107,32904631140.09371
108,45506479289.19571
109,62948686106.60167
110,87095271336.8053
111,120529768028.98251
112,166833543357.9723
113,230971986373.54663
114,319830441573.4375
115,442958052813.1835
116,613600310189.6152
117,850132536693.1382
118,1178050251040.6765
119,1632733081121.2651
120,2263283330800.456
121,3137857673413.3735
122,4351073627653.8564
123,6034299368858.451
124,8369950948513.89
125,11611359792731.861
126,16110383648894.686
127,22355783054704.293
128,31026566307242.758
129,43066148795448.59
130,59785458355496.62
131,83006298871946.03
132,115260710297089.23
133,160068222741635.62
134,222321474965165.84
135,308822599854869.56
136,429029389209934.7
137,596093372677277.6
138,828304137131785.5
139,1151099033384562.5
140,1599859825928113.2
141,2223804746537470.0
142,3091405437520200.5
143,4297926822668760.0
144,5975922703696504.0
145,8309846875297240.0
146,1.1556395051680116e+16
147,1.6072827442853978e+16
148,2.2356405844830104e+16
149,3.109931077830389e+16
150,4.32651203430134e+16
151,6.019532375260297e+16
152,8.375767480227026e+16
153,1.1655283435816722e+17
154,1.6220222293058896e+17
155,2.2574902470118666e+17
156,3.1421685713383526e+17
157,4.373881455411217e+17
158,6.088886718572444e+17
159,8.47698823532389e+17
160,1.180259547958102e+18
161,1.643407214012048e+18
162,2.2884638781860155e+18
163,3.186938145454896e+18
164,4.4384712666749235e+18
165,6.181913357648829e+18
166,8.610763603761963e+18
167,1.1994695008658833e+19
168,1.6709563034344612e+19
169,2.3279244226053956e+19
170,3.2433971457713865e+19
171,4.519167444062724e+19
172,6.297140364468095e+19
173,8.77515002739531e+19
174,1.2229017556924421e+20
175,1.7043313926122494e+20
176,2.3754265064186485e+20
177,3.310959466220457e+20
178,4.615199507348767e+20
179,6.433556087284333e+20
180,8.968820938210262e+20
181,1.2503826144228687e+21
182,1.743305413027111e+21
183,2.4306738265874975e+21
184,3.389239236489848e+21
185,4.726066075467121e+21
186,6.590510704338829e+21
187,9.190936531797018e+21
188,1.281803895862027e+22
189,1.7877395245901378e+22
190,2.493488953612061e+22
191,3.4780108305769863e+22
192,4.851481890216714e+22
193,6.767646028694603e+22
194,9.44105073373349e+22
195,1.3171106024409181e+23
196,1.837566762171128e+23
197,2.5637916425688548e+23
198,3.577180095610043e+23
199,4.9913396427485334e+23
200,6.964844850289274e+23
201,9.719043962428524e+23
202,1.3562919945108229e+24
203,1.8927801849442425e+24
204,2.641583096777836e+24
205,3.6867634530670254e+24
206,5.145682215500566e+24
207,7.182194063426866e+24
208,1.002507414496027e+25
209,1.3993750824228011e+25
210,1.953424229572365e+25
211,2.7269344785658555e+25
212,3.8068726322394274e+25
213,5.314682396155397e+25
214,7.419957710841905e+25
215,1.0359540898834163e+26
216,1.4464198672720163e+26
217,2.0195883868091834e+26
218,2.8199785082841685e+26
219,3.937703510116634e+26
220,5.4986280539327726e+26
221,7.678557296475876e+26
222,1.07230593898504e+27
223,1.4975158702123697e+27
224,2.0914025947423746e+27
225,2.920903351109632e+27
226,4.0795280013737437e+27
227,5.69791138385901e+27
228,7.958557525841695e+27
229,1.1116441434331535e+28
230,1.5527796290645922e+28
231,2.169033924094426e+28
232,3.0299482303649365e+28
233,4.232688256313498e+28
234,5.91302123741929e+28
235,8.260656175340354e+28
236,1.1540682127185443e+29
237,1.612352934742087e+29
238,2.2526842544033305e+29
239,3.147400368500715e+29
240,4.3975926384188926e+29
241,6.144537839561558e+29
242,8.585677162806092e+29
243,1.199695076605156e+30
244,1.6764016444478473e+30
245,2.342588724861314e+30
246,3.273592968940325e+30
247,4.574713101025201e+30
248,6.393129387161315e+30
249,8.934566149189577e+30
250,1.2486585182021286e+31
251,1.745114953543598e+31
252,2.4390148029861998e+31
253,3.4089040305013525e+31
254,4.764583686434096e+31
255,6.659550161365272e+31
256,9.308388182952654e+31
257,1.3011088827842128e+32
258,1.8187050398193085e+32
259,2.54226185644533e+32
260,3.553755841933051e+32
261,4.967799944759257e+32
262,6.944639884263951e+32
263,9.708327028712928e+32
264,1.357213014686354e+33
265,1.8974070167531479e+33
266,2.6526611436869244e+33
267,3.708615044371023e+33
268,5.1850191232460987e+33
269,7.24932412132948e+33
270,1.0135685915973313e+34
271,1.417154387128019e+34
272,1.9814791490057062e+34
273,2.7705761611750165e+34
274,3.8739931789558517e+34
275,5.4169610159781375e+34
276,7.5746155831758355e+34
277,1.0591889513145114e+35
278,1.4811333990591365e+35
279,2.071203295692905e+35
280,2.8964033014103375e+35
281,4.050447658697356e+35
282,5.6644093929866476e+35
283,7.921616219002766e+35
284,1.1078486983825268e+36
285,1.549367820023537e+36
286,2.1668855561950172e+36
287,3.03057278821726e+36
288,4.2385831200864125e+36
289,5.928213949711187e+36
290,8.291520023384672e+36
291,1.1597156021444832e+37
292,1.6220933692702252e+37
293,2.26885710025877e+37
294,3.1735498651396756e+37
295,4.439053122483844e+37
296,6.2092927345261005e+37
297,8.685616500514885e+37
298,1.2149707788471532e+38
299,1.6995644193707317e+38
300,2.377475169547419e+38
301,3.3258362200248096e+38
302,4.652562173019508e+38
303,6.508635025064722e+38
304,9.105294747482603e+38
305,1.2738092709795261e+39
306,1.7820548177490793e+39
307,2.4931242420225727e+39
308,3.4879716345564953e+39
309,4.879868062372978e+39
310,6.827304634343979e+39
311,9.552048131975437e+39
312,1.336440708851634e+40
313,1.8698588220334426e+40
314,2.616217353911543e+40
315,3.660535852039043e+40
316,5.121784502925014e+40
317,7.166443635939563e+40
318,1.0027479550923792e+41
319,1.4030900527363435e+41
320,1.9632921471641494e+41
321,2.747197576749011e+41
322,3.844150660427496e+41
323,5.37918406576172e+41
324,7.527276504211847e+41
325,1.0533307265732412e+42
326,1.473998415132065e+42
327,2.0626931238647438e+42
328,2.886539649246198e+42
329,4.039482190667779e+42
330,5.653001417171411e+42
331,7.911114671220929e+42
332,1.1071371317393457e+43
333,1.5494239637424445e+43
334,2.1684239694924328e+43
335,3.0347517656555665e+43
336,4.2472434330127413e+43
337,5.94423685881275e+43
338,8.319361506782932e+43
339,1.1643640531326708e+44
340,1.629642906661145e+44
341,2.2808721734994274e+44
342,3.1923775239553052e+44
343,4.468196976238343e+44
344,6.253960178813423e+44
345,8.753517732324318e+44
346,1.2252220127533974e+45
347,1.714950562034174e+45
348,2.4004520008087186e+45
349,3.359998038643732e+45
350,4.7031579766897994e+45
351,6.58331482380378e+45
352,9.215187282950191e+45
353,1.2899359956805079e+46
354,1.8056625151781873e+46
355,2.5276061173759803e+46
356,3.5382342242621077e+46
357,4.952997365910807e+46
358,6.933522404393691e+46
359,9.706083635582602e+46
360,1.3587463388441162e+47
361,1.9021158667834107e+47
362,2.6628073431038297e+47
363,3.727749256995549e+47
364,5.218645307304262e+47
365,7.305887548936345e+47
366,1.0228036624243585e+48
367,1.4319096879399116e+48
368,2.004670576441974e+48
369,2.8065605381193825e+48
370,3.9292512228678147e+48
371,5.5010949138834175e+48
372,7.70180312264777e+48
373,1.0782999766632888e+49
374,1.5097000259012648e+49
375,2.1137109063305643e+49
376,2.9594046292398455e+49
377,4.143495962172271e+49
378,5.801406240732195e+49
379,8.122755831311435e+49
380,1.137305812914432e+50
381,1.5924097767595816e+50
382,2.2296469704517784e+50
383,3.1219147842490393e+50
384,4.371290120888708e+50
385,6.1207105673304394e+50
386,8.570332230931354e+50
387,1.2000436760428284e+51
388,1.680350989135178e+51
389,2.3529163954106136e+51
390,3.294704742402977e+51
391,4.6134944209413535e+51
392,6.460214986437465e+51
393,9.046225166835849e+51
394,1.2667509726583958e+52
395,1.77385660401511e+52
396,2.483986099279105e+52
397,3.478429310385315e+52
398,4.871027162271351e+52
399,6.821207317784609e+52
400,9.552240667904111e+52
401,1.3376809784088578e+53
402,1.8732818118959213e+53
403,2.6233541956897756e+53
404,3.6737870337530715e+53
405,5.144867970839982e+53
406,7.205061366421848e+53
407,1.0090305323812025e+54
408,1.4131038729675321e+54
409,1.9790055048024686e+54
410,2.771552030903259e+54
411,3.8815230547570724e+54
412,5.43606180785755e+54
413,7.613242547209591e+54
414,1.0662474175492865e+55
415,1.4933078469582773e+55
416,2.0914318291426694e+55
417,2.9291463622223695e+55
418,4.102432168297809e+55
419,5.745723256757356e+55
420,8.047313898658284e+55
421,1.127093915140095e+56
422,1.5786002853943905e+56
423,2.210991845825702e+56
424,3.0967416867789447e+56
425,4.337362088691931e+56
426,6.075041105713438e+56
427,8.508942511107884e+56
428,1.191803808466961e+57
429,1.6693090325584682e+57
430,2.338145304561203e+57
431,3.2749827304053585e+57
432,4.5872169408841135e+57
433,6.425283244843457e+57
434,8.999906396118439e+57
435,1.260626434888512e+58
436,1.765783743618412e+58
437,2.47338253977241e+58
438,3.4645571070242305e+58
439,4.852960990749259e+58
440,6.797801898652609e+58
441,9.522101825923662e+58
442,1.333827715297172e+59
443,1.8683973286631751e+59
444,2.6172264961001245e+59
445,3.666198159751597e+59
446,5.135622630196911e+59
447,7.1940392157688735e+59
448,1.0077551173892733e+60
449,1.411691253861518e+60
450,1.977547495252591e+60
451,2.7702348920498277e+60
452,3.88068799571502e+60
453,5.436298633919304e+60
454,7.615533239602434e+60
455,1.0668411289162696e+61
456,1.4945195126759018e+61
457,2.0936583960109737e+61
458,2.9330025309442865e+61
459,4.108860727442925e+61
460,5.75615870582237e+61
461,8.06392428524085e+61
462,1.1296982440956795e+62
463,1.5826350663005114e+62
464,2.217182388256327e+62
465,3.1061637689917436e+62
466,4.351605934589363e+62
467,6.09645033445152e+62
468,8.540961749675248e+62
469,1.1965717870603988e+63
470,1.6763819415254635e+63
471,2.3486019131482097e+63
472,3.29039515096836e+63
473,4.609872360723614e+63
474,6.458503978077222e+63
475,9.04851138434972e+63
476,1.2677233991934326e+64
477,1.7761270480653628e+64
478,2.4884315023600115e+64
479,3.486418224746364e+64
480,4.8846718609414597e+64
481,6.843738601545724e+64
482,9.588563061045611e+64
483,1.3434321283556392e+65
484,1.882261706287737e+65
485,2.6372199208379966e+65
486,3.6950025466798354e+65
487,5.177083617149256e+65
488,7.253667588534729e+65
489,1.0163239064263857e+66
490,1.4239955919539561e+66
491,1.9952032785017874e+66
492,2.7955524548026284e+66
493,3.916968890691749e+66
494,5.4882586390381645e+66
495,7.689905054489158e+66
496,1.0774802945561755e+67
497,1.509731218823978e+67
498,2.1153969107848022e+67
499,2.9640533547800436e+67
500,4.153192674792692e+67
501,5.819424570009502e+67
502,8.154172587256088e+67
503,1.1425668977746206e+68
504,1.600977575243718e+68
505,2.2433173928046027e+68
506,3.143388444126066e+68
507,4.404607619707608e+68
508,6.171890818638747e+68
509,8.648306444298341e+68
510,1.2118412249434459e+69
511,1.6980957807612797e+69
512,2.3794711436094894e+69
513,3.3342679042248025e+69
514,4.672209655296203e+69
515,6.547054037681222e+69
516,9.174265237351451e+69
517,1.285577944327771e+70
518,1.8014710199096622e+70
519,2.524398331904849e+70
520,3.537449248311948e+70
521,4.957061091529878e+70
522,6.946403974133268e+70
523,9.734138137507536e+70
524,1.3640700344114554e+71
525,1.9115141562986954e+71
526,2.6786751399201184e+71
527,3.753740496692802e+71
528,5.260295071937975e+71
529,7.371529715475598e+71
530,1.0330153635971818e+72
531,1.4476300126494104e+72
532,2.028663456019127e+72
533,2.8429161805939664e+72
534,3.984003567000389e+72
535,5.583120328663917e+72
536,7.824126358947569e+72
537,1.0964688898152805e+73
538,1.536591247439633e+73
539,2.1533864277690203e+73
540,3.0177770784719794e+73
541,4.2291578940738463e+73
542,5.926826259582924e+73
543,8.306002132539976e+73
544,1.1640279751326404e+74
545,1.6313093589594792e+74
546,2.286181787620042e+74
547,3.203957225422875e+74
548,4.490184295035494e+74
549,6.292788349333146e+74
550,8.819085998358069e+74
551,1.2359631348869018e+75
552,1.7321637148970772e+75
553,2.4275815568831844e+75
554,3.402202723039393e+75
555,4.768129096211219e+75
556,6.68247395760761e+75
557,9.365435771103994e+75
558,1.3125629556996831e+76
559,1.8395590275214838e+76
560,2.5781533021123224e+76
561,3.613309524402017e+76
562,5.064108539677708e+76
563,7.097448499651815e+76
564,9.947246786668632e+76
565,1.3941353113091523e+77
566,1.9539270589760247e+77
567,2.738502526902348e+77
568,3.8381267887509266e+77
569,5.379313488436609e+77
570,7.539382045618195e+77
571,1.0566861158216336e+78
572,1.481008660804975e+78
573,2.075728442150157e+78
574,2.9092752257991793e+78
575,4.077560463538183e+78
576,5.715014450515309e+78
577,8.010056367251709e+78
578,1.1226777659703028e+79
579,1.5735334348680735e+79
580,2.2054546249883412e+79
581,3.0911606113446263e+79
