frequency_Hz,amplitude
0.0,0.0
2.0000000000000003e+18,4.840001857954819e+282
4.0000000000000005e+18,4.835045142946189e+282
6.000000000000001e+18,4.826806690674715e+282
8.000000000000001e+18,4.815320364402733e+282
1.0000000000000002e+19,4.80063308583907e+282
1.2000000000000002e+19,4.78280435943554e+282
1.4000000000000002e+19,4.761905676321358e+282
1.6000000000000002e+19,4.738019808889393e+282
1.8000000000000002e+19,4.711240008808377e+282
2.0000000000000004e+19,4.681669122630188e+282
2.2000000000000004e+19,4.649418640164508e+282
2.4000000000000004e+19,4.614607691392347e+282
2.6000000000000004e+19,4.577362007889192e+282
2.8000000000000004e+19,4.5378128645449156e+282
3.0000000000000004e+19,4.496096016831054e+282
3.2000000000000004e+19,4.452350648016514e+282
3.4000000000000004e+19,4.4067183396180506e+282
3.6000000000000004e+19,4.359342077043858e+282
3.800000000000001e+19,4.3103653009031894e+282
4.000000000000001e+19,4.259931012866191e+282
4.200000000000001e+19,4.208180943319294e+282
4.400000000000001e+19,4.155254786421074e+282
4.600000000000001e+19,4.1012895065646243e+282
4.800000000000001e+19,4.0464187187322084e+282
5.000000000000001e+19,3.990772143816141e+282
5.200000000000001e+19,3.9344751386992656e+282
5.400000000000001e+19,3.877648299754961e+282
5.600000000000001e+19,3.8204071374495503e+282
5.800000000000001e+19,3.7628618189129415e+282
6.000000000000001e+19,3.7051169746842833e+282
6.200000000000001e+19,3.6472715653328265e+282
6.400000000000001e+19,3.589418803290298e+282
6.600000000000001e+19,3.531646124998413e+282
6.800000000000001e+19,3.47403520835985e+282
7.000000000000001e+19,3.4166620304685653e+282
7.200000000000001e+19,3.359596960670922e+282
7.400000000000002e+19,3.3029048841577557e+282
7.600000000000002e+19,3.2466453514950987e+282
7.800000000000002e+19,3.190872749754687e+282
8.000000000000002e+19,3.1356364911919524e+282
8.200000000000002e+19,3.0809812157287015e+282
8.400000000000002e+19,3.026947003819912e+282
8.600000000000002e+19,2.973569596611317e+282
8.800000000000002e+19,2.920880620619527e+282
9.000000000000002e+19,2.868907814483916e+282
9.200000000000002e+19,2.8176752556448636e+282
9.400000000000002e+19,2.7672035850927826e+282
9.600000000000002e+19,2.7175102286042906e+282
9.800000000000002e+19,2.66860961313419e+282
1.0000000000000002e+20,2.620513377263747e+282
1.0200000000000002e+20,2.5732305748166274e+282
1.0400000000000002e+20,2.526767870944016e+282
1.0600000000000002e+20,2.4811297301503006e+282
1.0800000000000002e+20,2.4363185958810833e+282
1.1000000000000002e+20,2.39233506142715e+282
1.1200000000000002e+20,2.3491780320126385e+282
1.1400000000000002e+20,2.3068448780341044e+282
1.1600000000000002e+20,2.2653315795009588e+282
1.1800000000000002e+20,2.2246328617979944e+282
1.2000000000000002e+20,2.1847423229488902e+282
1.2200000000000002e+20,2.145652552606815e+282
1.2400000000000002e+20,2.1073552430358926e+282
1.2600000000000002e+20,2.069841292376281e+282
1.2800000000000002e+20,2.0331009005072805e+282
1.3000000000000002e+20,1.9971236578379508e+282
1.3200000000000002e+20,1.9618986273642958e+282
1.3400000000000002e+20,1.9274144203368242e+282
1.3600000000000002e+20,1.8936592658830717e+282
1.3800000000000002e+20,1.860621074927092e+282
1.4000000000000002e+20,1.8282874987425227e+282
1.4200000000000002e+20,1.796645982468298e+282
1.4400000000000002e+20,1.765683813906594e+282
1.4600000000000002e+20,1.7353881679119375e+282
1.4800000000000003e+20,1.7057461466684363e+282
1.5000000000000003e+20,1.676744816139647e+282
1.5200000000000003e+20,1.6483712389624368e+282
1.5400000000000003e+20,1.6206125040428844e+282
1.5600000000000003e+20,1.5934557530988153e+282
1.5800000000000003e+20,1.5668882043801283e+282
1.6000000000000003e+20,1.5408971737848652e+282
1.6200000000000003e+20,1.5154700935760013e+282
1.6400000000000003e+20,1.4905945288912978e+282
1.6600000000000003e+20,1.466258192226347e+282
1.6800000000000003e+20,1.442448956059194e+282
1.7000000000000003e+20,1.4191548637736382e+282
1.7200000000000003e+20,1.3963641390275087e+282
1.7400000000000003e+20,1.374065193702054e+282
1.7600000000000003e+20,1.3522466345587432e+282
1.7800000000000003e+20,1.33089726872071e+282
1.8000000000000003e+20,1.3100061080872886e+282
1.8200000000000003e+20,1.2895623727819873e+282
1.8400000000000003e+20,1.2695554937265616e+282
1.8600000000000003e+20,1.2499751144266475e+282
1.8800000000000003e+20,1.2308110920477094e+282
1.9000000000000003e+20,1.2120534978537571e+282
1.9200000000000003e+20,1.193692617075427e+282
1.9400000000000003e+20,1.1757189482685894e+282
1.9600000000000003e+20,1.1581232022195428e+282
1.9800000000000003e+20,1.1408963004481485e+282
2.0000000000000003e+20,1.1240293733559118e+282
2.0200000000000003e+20,1.1075137580619313e+282
2.0400000000000003e+20,1.0913409959659162e+282
2.0600000000000003e+20,1.0755028300739978e+282
2.0800000000000003e+20,1.0599912021198644e+282
2.1000000000000003e+20,1.0447982495107854e+282
2.1200000000000003e+20,1.0299163021253934e+282
2.1400000000000003e+20,1.0153378789875503e+282
2.1600000000000003e+20,1.0010556848383677e+282
2.1800000000000003e+20,9.870626066262786e+281
2.2000000000000003e+20,9.73351709933148e+281
2.2200000000000003e+20,9.599162353526135e+281
2.2400000000000003e+20,9.467495948351902e+281
2.2600000000000003e+20,9.3384536801321e+281
2.2800000000000003e+20,9.211972985172632e+281
2.3000000000000003e+20,9.087992902945468e+281
2.3200000000000003e+20,8.966454039384138e+281
2.3400000000000003e+20,8.847298530373274e+281
2.3600000000000003e+20,8.730470005504964e+281
2.3800000000000003e+20,8.615913552165829e+281
2.4000000000000003e+20,8.503575680010806e+281
2.4200000000000003e+20,8.393404285872525e+281
2.4400000000000003e+20,8.285348619148408e+281
2.4600000000000003e+20,8.179359247701938e+281
2.4800000000000003e+20,8.075388024308886e+281
2.5000000000000003e+20,7.973388053674569e+281
2.5200000000000003e+20,7.873313660043782e+281
2.5400000000000003e+20,7.775120355421078e+281
2.5600000000000003e+20,7.678764808415321e+281
2.5800000000000003e+20,7.584204813719465e+281
2.6000000000000003e+20,7.491399262233482e+281
2.6200000000000003e+20,7.400308111835687e+281
2.6400000000000003e+20,7.310892358805513e+281
2.6600000000000003e+20,7.223114009898643e+281
2.6800000000000003e+20,7.136936055073699e+281
2.7000000000000003e+20,7.05232244086775e+281
2.7200000000000003e+20,6.969238044416727e+281
2.7400000000000003e+20,6.887648648115638e+281
2.7600000000000003e+20,6.807520914911802e+281
2.7800000000000003e+20,6.728822364224215e+281
2.8000000000000003e+20,6.65152134848045e+281
2.8200000000000003e+20,6.575587030262382e+281
2.8400000000000003e+20,6.500989360051048e+281
2.8600000000000003e+20,6.427699054560646e+281
2.8800000000000003e+20,6.355687575651127e+281
