frequency_Hz,amplitude
0.0,1.789931494904685e+249
2.0000000000000003e+18,6.240120816149908e+281
4.0000000000000005e+18,6.23372885095377e+281
6.000000000000001e+18,6.22310490638988e+281
8.000000000000001e+18,6.208292661402754e+281
1.0000000000000002e+19,6.189352638368291e+281
1.2000000000000002e+19,6.166361589343712e+281
1.4000000000000002e+19,6.139411727032817e+281
1.6000000000000002e+19,6.108609814680412e+281
1.8000000000000002e+19,6.074076131381358e+281
2.0000000000000004e+19,6.035943331089353e+281
2.2000000000000004e+19,5.9943552149046e+281
2.4000000000000004e+19,5.949465436992633e+281
2.6000000000000004e+19,5.90143616474249e+281
2.8000000000000004e+19,5.850436713534953e+281
3.0000000000000004e+19,5.796642175798499e+281
3.2000000000000004e+19,5.7402320629333925e+281
3.4000000000000004e+19,5.681388977245043e+281
3.6000000000000004e+19,5.620297329313591e+281
3.800000000000001e+19,5.557142114309112e+281
4.000000000000001e+19,5.492107758711229e+281
4.200000000000001e+19,5.425377046777017e+281
4.400000000000001e+19,5.3571301339838687e+281
4.600000000000001e+19,5.2875436526109253e+281
4.800000000000001e+19,5.216789912661115e+281
5.000000000000001e+19,5.145036199504239e+281
5.200000000000001e+19,5.072444167969454e+281
5.400000000000001e+19,4.99916933115366e+281
5.600000000000001e+19,4.925360640951795e+281
5.800000000000001e+19,4.851160156261671e+281
6.000000000000001e+19,4.7767027939660134e+281
6.200000000000001e+19,4.702116157141427e+281
6.400000000000001e+19,4.6275204344752284e+281
6.600000000000001e+19,4.553028364571187e+281
6.800000000000001e+19,4.478745258677384e+281
7.000000000000001e+19,4.404769075353562e+281
7.200000000000001e+19,4.3311905406935256e+281
7.400000000000002e+19,4.258093307910332e+281
7.600000000000002e+19,4.1855541503602044e+281
7.800000000000002e+19,4.1136431824083524e+281
8.000000000000002e+19,4.042424102909917e+281
8.200000000000002e+19,3.971954456478728e+281
8.400000000000002e+19,3.9022859081324497e+281
8.600000000000002e+19,3.83346452732498e+281
8.800000000000002e+19,3.765531077796488e+281
9.000000000000002e+19,3.6985213100809666e+281
9.200000000000002e+19,3.632466253905261e+281
9.400000000000002e+19,3.56739250808738e+281
9.600000000000002e+19,3.503322525892599e+281
9.800000000000002e+19,3.440274894131428e+281
1.0000000000000002e+20,3.378264604582387e+281
1.0200000000000002e+20,3.3173033165945234e+281
1.0400000000000002e+20,3.2573996099699034e+281
1.0600000000000002e+20,3.198559227445198e+281
1.0800000000000002e+20,3.140785306285505e+281
1.1000000000000002e+20,3.0840785986735137e+281
1.1200000000000002e+20,3.028437680724857e+281
