step,num_pos,num_neg,net_charge,total_vortices
0,2221,2229,-8,4450
1,1948,1957,-9,3905
2,1696,1703,-7,3399
3,1479,1488,-9,2967
4,1316,1321,-5,2637
5,1172,1173,-1,2345
6,1020,1021,-1,2041
7,931,931,0,1862
8,838,836,2,1674
9,759,759,0,1518
10,671,671,0,1342
11,617,617,0,1234
12,566,562,4,1128
13,531,526,5,1057
14,486,484,2,970
15,461,459,2,920
16,436,433,3,869
17,412,409,3,821
18,388,385,3,773
19,364,361,3,725
20,349,346,3,695
21,329,326,3,655
22,315,313,2,628
23,299,296,3,595
24,287,285,2,572
25,278,276,2,554
26,274,272,2,546
27,268,267,1,535
28,255,254,1,509
29,242,241,1,483
30,236,235,1,471
31,226,225,1,451
32,214,213,1,427
33,209,208,1,417
34,205,204,1,409
35,195,194,1,389
36,189,188,1,377
37,187,186,1,373
38,185,184,1,369
39,179,179,0,358
40,169,169,0,338
41,163,163,0,326
42,160,160,0,320
43,154,154,0,308
44,148,148,0,296
45,142,141,1,283
46,138,139,-1,277
47,134,135,-1,269
48,132,133,-1,265
49,130,131,-1,261
50,126,127,-1,253
51,123,123,0,246
52,117,118,-1,235
53,117,116,1,233
54,117,116,1,233
55,114,112,2,226
56,111,110,1,221
57,108,107,1,215
58,108,107,1,215
59,107,105,2,212
60,107,105,2,212
61,103,101,2,204
62,102,100,2,202
63,103,101,2,204
64,101,99,2,200
65,99,97,2,196
66,99,97,2,196
67,97,95,2,192
68,95,94,1,189
69,93,92,1,185
70,92,92,0,184
71,90,90,0,180
72,87,87,0,174
73,86,86,0,172
74,87,85,2,172
75,87,85,2,172
76,84,83,1,167
77,84,83,1,167
78,83,82,1,165
79,82,81,1,163
80,81,80,1,161
81,79,78,1,157
82,77,76,1,153
83,75,74,1,149
84,74,73,1,147
85,72,72,0,144
86,71,71,0,142
87,71,71,0,142
88,71,71,0,142
89,70,70,0,140
90,69,69,0,138
91,69,69,0,138
92,68,68,0,136
93,67,67,0,134
94,66,66,0,132
95,66,66,0,132
96,66,66,0,132
97,66,66,0,132
98,66,66,0,132
99,67,67,0,134
100,67,67,0,134
101,66,66,0,132
102,65,65,0,130
103,62,62,0,124
104,62,62,0,124
105,62,62,0,124
106,61,61,0,122
107,60,60,0,120
108,58,58,0,116
109,58,58,0,116
110,58,58,0,116
111,57,57,0,114
112,57,57,0,114
113,56,56,0,112
114,55,55,0,110
115,53,51,2,104
116,53,51,2,104
117,53,51,2,104
118,53,51,2,104
119,53,51,2,104
120,53,51,2,104
121,52,50,2,102
122,52,50,2,102
123,50,48,2,98
124,49,47,2,96
125,49,47,2,96
126,48,46,2,94
127,48,46,2,94
128,47,45,2,92
129,47,45,2,92
130,47,45,2,92
131,47,45,2,92
132,48,46,2,94
133,48,46,2,94
134,48,46,2,94
135,48,46,2,94
136,48,46,2,94
137,48,46,2,94
138,48,46,2,94
139,48,46,2,94
140,48,46,2,94
141,47,46,1,93
142,47,46,1,93
143,45,45,0,90
144,45,46,-1,91
145,45,46,-1,91
146,46,47,-1,93
147,46,47,-1,93
148,46,47,-1,93
149,46,47,-1,93
150,46,47,-1,93
151,46,46,0,92
152,46,46,0,92
153,46,46,0,92
154,46,46,0,92
155,45,45,0,90
156,44,44,0,88
157,44,44,0,88
158,44,43,1,87
159,42,41,1,83
160,42,41,1,83
161,42,41,1,83
162,42,41,1,83
163,41,40,1,81
164,41,40,1,81
165,39,38,1,77
166,39,38,1,77
167,39,38,1,77
168,39,38,1,77
169,38,37,1,75
