step,central_amplitude
0,1.0012015139749124
1,0.8341224086327471
2,0.7130262981066869
3,0.6216749739995573
4,0.5601440650858667
5,0.5178315906578828
6,0.4831145638019306
7,0.46505499585664917
8,0.452205621583506
9,0.4423427043665444
10,0.44944792539035355
11,0.4637545653240889
12,0.4860674480762045
13,0.5062292098331919
14,0.5335317018961722
15,0.5729007285056431
16,0.6274801438563361
17,0.6914294635519082
18,0.765278239460087
19,0.8542325550497122
20,0.9457716239524769
21,1.0549619240273094
22,1.1911427376941037
23,1.3615799296774125
24,1.5647324275100047
25,1.8147838742853164
26,2.1142565633971744
27,2.469955715292187
28,2.9033153598252834
29,3.440024352431378
30,4.086403091317056
31,4.8827691949173895
32,5.862085084165048
33,7.077095042689582
34,8.593553195956703
35,10.492893278465143
36,12.883575299772275
37,15.920374088311302
38,19.816508138384137
39,24.85893787671593
40,31.51243544928968
41,40.464345078382664
42,52.93474478720253
43,69.75102967956964
44,92.04758917403393
45,121.72882916853136
46,161.23830772140596
47,213.89766542597602
48,284.1498619229188
49,377.96343880919414
50,503.37372771264074
51,671.1719215079947
52,895.9304573946687
53,1197.4250780711668
54,1602.4431989933144
55,2147.2720841474566
56,2881.1680791697854
57,3871.031034529217
58,5207.825705664909
59,7015.318788956869
60,9462.094995452122
61,12777.953177166542
62,17276.392112879057
63,23385.383423567546
64,31689.65234191537
65,42988.58701732012
66,58375.779186401225
67,79348.25208435592
68,107956.49242262017
69,147010.69639739508
70,200364.32753792772
71,273304.19315251824
72,373087.2420211693
73,509679.43556680845
74,696773.3931446974
75,953190.1188022448
76,1304810.6522848678
77,1787238.7612585966
78,2449472.4131374676
79,3358967.6982808337
80,4608625.361073474
81,6326432.399099429
82,8688771.308474181
83,11938796.723392785
84,16411815.174267692
85,22570344.831940502
86,31052558.67474995
87,42739234.46681387
88,58846301.79393003
89,81052799.25947757
90,111677826.18323907
91,153925296.2552604
92,212222537.21911332
93,292688806.0319581
94,403783682.29020643
95,557204557.1211838
96,769129123.5886035
97,1061935773.0920119
98,1466586099.0267313
99,2025924839.752607
100,2799251237.7080054
101,3868652610.490957
102,5347780717.641886
103,7394014801.995515
104,10225320497.789534
105,14143620715.624971
106,19567198103.01122
107,27075625069.946365
108,37472072670.44924
109,51869731084.40985
110,71811686577.44933
111,99437226759.05838
112,137712582459.97415
113,190751109089.30447
114,264257625062.92084
115,366145118968.5045
116,507390782564.81525
117,703224369485.9268
118,974778063622.5824
119,1351377320144.8196
120,1873722012486.0203
121,2598304322451.8457
122,3603544774141.642
123,4998315412185.099
124,6933779910569.535
125,9619842950399.615
126,13348005275560.75
127,18523121719757.35
128,25707534117940.363
129,35682406382219.22
130,49532974022887.21
131,68767042187770.04
132,95479713136245.61
133,132582397093221.38
134,184121217893010.03
135,255719743677477.6
136,355194634567417.25
