y,x,dominant_freq_Hz,energy_J,mass_kg,mass_ratio
0,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
0,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
20,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
40,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
60,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
80,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
100,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,0,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,20,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,40,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,60,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,80,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,100,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
120,120,2.0000000000000003e+18,1.3252140300000002e-15,1.4744994647625418e-32,0.016186599840160226
