frequency_Hz,amplitude
0.0,6.991919901971426e+248
2.0000000000000003e+18,2.5953843014967077e+281
4.0000000000000005e+18,2.5927558668954236e+281
6.000000000000001e+18,2.5883870674056743e+281
8.000000000000001e+18,2.5822956627994118e+281
1.0000000000000002e+19,2.574506264248987e+281
1.2000000000000002e+19,2.5650500875400805e+281
1.4000000000000002e+19,2.5539646437533984e+281
1.6000000000000002e+19,2.5412933730693078e+281
1.8000000000000002e+19,2.5270852282572434e+281
2.0000000000000004e+19,2.5113942151335656e+281
2.2000000000000004e+19,2.4942788977940128e+281
2.4000000000000004e+19,2.4758018767435762e+281
2.6000000000000004e+19,2.456029248158917e+281
2.8000000000000004e+19,2.4350300524350592e+281
3.0000000000000004e+19,2.412875719903561e+281
3.2000000000000004e+19,2.3896395211839225e+281
3.4000000000000004e+19,2.3653960290673e+281
3.6000000000000004e+19,2.3402205981583206e+281
3.800000000000001e+19,2.3141888677447433e+281
4.000000000000001e+19,2.2873762925536452e+281
4.200000000000001e+19,2.2598577052137984e+281
4.400000000000001e+19,2.2317069134016878e+281
4.600000000000001e+19,2.2029963338254754e+281
4.800000000000001e+19,2.173796664416293e+281
5.000000000000001e+19,2.1441765953649987e+281
5.200000000000001e+19,2.114202558976991e+281
5.400000000000001e+19,2.0839385177264223e+281
5.600000000000001e+19,2.0534457893790768e+281
5.800000000000001e+19,2.0227829076227188e+281
6.000000000000001e+19,1.9920055162940513e+281
6.200000000000001e+19,1.9611662950200825e+281
6.400000000000001e+19,1.9303149138939767e+281
6.600000000000001e+19,1.8994980146756656e+281
6.800000000000001e+19,1.8687592159387584e+281
7.000000000000001e+19,1.8381391395703244e+281
7.200000000000001e+19,1.8076754560613387e+281
7.400000000000002e+19,1.7774029460954824e+281
7.600000000000002e+19,1.7473535760452498e+281
7.800000000000002e+19,1.717556585110167e+281
8.000000000000002e+19,1.6880385819759763e+281
8.200000000000002e+19,1.6588236490303582e+281
8.400000000000002e+19,1.629933452335014e+281
8.600000000000002e+19,1.601387355721516e+281
8.800000000000002e+19,1.5732025375456156e+281
9.000000000000002e+19,1.5453941087985987e+281
9.200000000000002e+19,1.5179752314325597e+281
9.400000000000002e+19,1.4909572359071474e+281
9.600000000000002e+19,1.464349737107152e+281
9.800000000000002e+19,1.438160747912308e+281
1.0000000000000002e+20,1.4123967898223079e+281
1.0200000000000002e+20,1.3870630001509659e+281
1.0400000000000002e+20,1.3621632354039018e+281
1.0600000000000002e+20,1.3377001705439535e+281
1.0800000000000002e+20,1.313675393928479e+281
1.1000000000000002e+20,1.2900894977729183e+281
1.1200000000000002e+20,1.2669421640563047e+281
1.1400000000000002e+20,1.2442322458372918e+281
1.1600000000000002e+20,1.2219578439943983e+281
1.1800000000000002e+20,1.200116379442278e+281
1.2000000000000002e+20,1.1787046609075056e+281
1.2200000000000002e+20,1.1577189483733199e+281
1.2400000000000002e+20,1.1371550123235662e+281
1.2600000000000002e+20,1.1170081889323667e+281
1.2800000000000002e+20,1.097273431358353e+281
1.3000000000000002e+20,1.0779453573110938e+281
1.3200000000000002e+20,1.059018293063201e+281
1.3400000000000002e+20,1.0404863140848591e+281
1.3600000000000002e+20,1.0223432824785823e+281
1.3800000000000002e+20,1.0045828813912845e+281
1.4000000000000002e+20,9.871986465784689e+280
1.4200000000000002e+20,9.701839952918531e+280
1.4400000000000002e+20,9.53532252657231e+280
1.4600000000000002e+20,9.372366757041185e+280
1.4800000000000003e+20,9.212904752028322e+280
1.5000000000000003e+20,9.056868354583361e+280
1.5200000000000003e+20,8.904189322035832e+280
1.5400000000000003e+20,8.754799487282675e+280
1.5600000000000003e+20,8.608630903720143e+280
1.5800000000000003e+20,8.465615975041491e+280
1.6000000000000003e+20,8.32568757105323e+280
1.6200000000000003e+20,8.188779130596063e+280
1.6400000000000003e+20,8.054824752590534e+280
1.6600000000000003e+20,7.923759276164063e+280
1.6800000000000003e+20,7.795518350754773e+280
1.7000000000000003e+20,7.67003849702818e+280
1.7200000000000003e+20,7.547257159386764e+280
1.7400000000000003e+20,7.427112750798315e+280
1.7600000000000003e+20,7.309544690618155e+280
1.7800000000000003e+20,7.194493436031506e+280
1.8000000000000003e+20,7.0819005076969956e+280
1.8200000000000003e+20,6.971708510128631e+280
1.8400000000000003e+20,6.8638611473134084e+280
1.8600000000000003e+20,6.758303234023501e+280
1.8800000000000003e+20,6.6549807032461885e+280
1.9000000000000003e+20,6.553840610121481e+280
1.9200000000000003e+20,6.4548311327461815e+280
1.9400000000000003e+20,6.357901570174107e+280
1.9600000000000003e+20,6.263002337915053e+280
1.9800000000000003e+20,6.170084961210126e+280
2.0000000000000003e+20,6.07910206633762e+280
2.0200000000000003e+20,5.9900073701819055e+280
2.0400000000000003e+20,5.902755668277971e+280
2.0600000000000003e+20,5.817302821525372e+280
2.0800000000000003e+20,5.733605741748617e+280
2.1000000000000003e+20,5.651622376264646e+280
2.1200000000000003e+20,5.571311691603972e+280
2.1400000000000003e+20,5.49263365651823e+280
2.1600000000000003e+20,5.4155492243945404e+280
2.1800000000000003e+20,5.3400203151858214e+280
2.2000000000000003e+20,5.266009796955436e+280
2.2200000000000003e+20,5.193481467125204e+280
2.2400000000000003e+20,5.1224000335066566e+280
2.2600000000000003e+20,5.052731095187573e+280
