step,central_amplitude
0,0.6902567512745211
1,0.5744517291649885
2,0.4885339515338341
3,0.42330657490057466
4,0.362047881005144
5,0.3314285120462164
6,0.3071107459232826
7,0.28970845723950744
8,0.28250447300148607
9,0.28214919615680545
10,0.276916694045538
11,0.2811934957375202
12,0.28756851642230613
13,0.2967797368636939
14,0.31397294700591855
15,0.341376639197214
16,0.3632358112692416
17,0.3784586498665933
18,0.4192523711669236
19,0.45846664387224584
20,0.5092850897428726
21,0.5710942580862408
22,0.635079644598134
23,0.7063863148452372
24,0.8004055975659481
25,0.9074195029826106
26,1.0348391955165421
27,1.1907688874222322
28,1.38242035711052
29,1.6013944646462057
30,1.876970246656251
31,2.2036665916999496
32,2.614652784895189
33,3.110749021133388
34,3.7264556625938527
35,4.479020427200671
36,5.415498877097871
37,6.574151293105501
38,8.028332823600605
39,9.856853476017525
40,12.170680887054328
41,15.107263515544329
42,18.8843423161108
43,23.781459826921548
44,30.234066967605077
45,38.91370286022972
46,50.79353190978755
47,66.33453972838042
48,86.85044893749638
49,113.98609407988103
50,149.89623825059758
51,197.47211390932847
52,260.5803062896015
53,344.3857233187925
54,455.80304523087136
55,604.1560850206954
56,801.9591035084721
57,1066.136526886341
58,1419.6083128835487
59,1893.3583439035635
60,2529.412004759336
61,3384.769147574855
62,4536.905255437803
63,6091.171338385144
64,8191.038765562599
65,11032.059340963344
66,14881.066554567287
67,20102.489277073408
68,27194.482709766686
69,36838.616606604584
70,49968.085854428005
71,67861.64307030677
72,92272.75736443709
73,125607.4867233826
74,171169.47445154685
75,233497.39412834035
76,318830.1899722679
77,435748.4947546504
78,596059.2120700923
79,816016.0497175347
80,1118003.6787797501
81,1532862.471413275
82,2103098.0944690653
83,2887313.624989634
84,3966330.90869802
85,5451646.638617028
86,7497115.079199168
87,10315090.966085391
88,14198737.930627171
89,19552860.510498606
90,26936520.283042215
91,37121944.53800981
92,51175961.65796202
93,70572583.46349986
94,97348654.11179146
95,134319046.98790637
96,185374198.13454902
97,255891484.7987669
98,353304012.23241764
99,487887036.2274398
100,673845283.4068818
101,930816269.2799402
102,1285948716.8407876
103,1776775988.874575
104,2455188478.272499
105,3392925009.2597246
106,4689163718.351361
107,6481014493.9241085
108,8958021169.841072
109,12382204472.85655
110,17115760631.307129
111,23659336859.799706
112,32704918219.05961
113,45208897300.45207
114,62493019765.86688
115,86383826997.15976
116,119405258137.84746
117,165044649787.95898
118,228120064515.38974
119,315287491357.5557
120,435741098144.68445
121,602179900128.9357
122,832142040748.789
123,1149846249229.4172
124,1588732927349.4314
125,2194970205997.4473
126,3032290747899.2256
127,4188663443593.133
128,5785494747931.999
129,7990316901339.008
130,11034281727407.473
131,15236276302499.932
132,21036161711639.496
133,29040578663580.945
134,40086060589052.11
135,55325978794588.734
136,76350297726544.02
137,105350491971274.6
138,145346614302500.8
139,200499878127382.34
140,276542876158065.78
141,381371589199706.56
142,525859864177385.2
143,724979731257325.6
144,999342078683903.1
145,1377314952592140.5
146,1897935402105509.5
147,2614911243274321.5
148,3602119441688613.5
149,4961159063333033.0
150,6831724038033564.0
151,9405845005875324.0
152,1.294743856384407e+16
153,1.7819134973042044e+16
154,2.4519084683250284e+16
155,3.373144209719003e+16
156,4.639559046450133e+16
157,6.380103933563756e+16
158,8.771747943510549e+16
159,1.205729699509718e+17
160,1.6569800222317405e+17
161,2.2765969821716954e+17
162,3.12719298063278e+17
163,4.294582352410347e+17
164,5.896346719299539e+17
165,8.093549797888248e+17
166,1.1106754946120791e+18
167,1.523791931431494e+18
168,2.0900311833032087e+18
169,2.865938374735962e+18
170,3.928858531605463e+18
171,5.384557318382073e+18
172,7.377622944182385e+18
173,1.0105660568987808e+19
174,1.3838657258732282e+19
175,1.89453950540079e+19
176,2.59294701850315e+19
177,3.5478403596997788e+19
178,4.853059149583279e+19
179,6.6366567297661256e+19
180,9.073339615718534e+19
181,1.2401423047443477e+20
182,1.6945943573009977e+20
183,2.3150168589265437e+20
184,3.16185626636791e+20
185,4.317539423491774e+20
186,5.8944708929820597e+20
187,8.04595170890468e+20
188,1.0981096605130861e+21
189,1.4985230410733684e+21
190,2.044780304433013e+21
191,2.790063802142904e+21
192,3.8070408711863093e+21
193,5.195074323253882e+21
194,7.090146844114205e+21
195,9.67854664437027e+21
196,1.3215779137574985e+22
197,1.8052759289000261e+22
198,2.4672175182422584e+22
199,3.373910103876773e+22
200,4.617162942245504e+22
201,6.323970633543006e+22
202,8.670380374839515e+22
203,1.1901000384069204e+23
204,1.6356514718253763e+23
205,2.251258456209081e+23
206,3.103497174148122e+23
207,4.285780853932712e+23
208,5.92949337907703e+23
209,8.219851264528827e+23
210,1.1418532062835438e+24
211,1.5895991001933495e+24
212,2.2177654570150041e+24
213,3.1009995615468394e+24
214,4.345509662156817e+24
215,6.102603579631345e+24
216,8.588077038222128e+24
217,1.210998381452115e+25
218,1.7108414490845103e+25
219,2.4212477327917182e+25
220,3.4321916408304586e+25
221,4.872400848471718e+25
222,6.926096455732691e+25
223,9.85696155003389e+25
224,1.4042452543936507e+26
225,2.002290535757928e+26
226,2.8571798803348285e+26
227,4.079626462955869e+26
228,5.8280825620745684e+26
229,8.329289575047086e+26
230,1.1907649579225421e+27
231,1.7027192945560283e+27
232,2.4351526020564113e+27
233,3.48294364088e+27
234,4.981710066002781e+27
235,7.12524923056239e+27
236,1.019042132039651e+28
237,1.4572640111412485e+28
238,2.0836478533529947e+28
239,2.9787805253022373e+28
240,4.257658365318408e+28
241,6.084332535622921e+28
242,8.692767880677165e+28
243,1.2416543374225247e+29
244,1.773113059113287e+29
245,2.5314061153963132e+29
246,3.613053034378551e+29
247,5.1555159447370655e+29
248,7.354514739192396e+29
249,1.0488644071446386e+30
250,1.4954363092016468e+30
251,2.1315717104048146e+30
252,3.0374977779418734e+30
253,4.327298039538351e+30
254,6.163161176129403e+30
255,8.775611302748637e+30
256,1.249222474823429e+31
257,1.777838511780794e+31
258,2.529511172041367e+31
259,3.5981097959581945e+31
260,5.1169073211442235e+31
261,7.27508180465155e+31
262,1.0341113349288266e+32
263,1.4695951921184772e+32
264,2.088002840560777e+32
265,2.9659875403920125e+32
266,4.212252201801257e+32
267,5.98092199372343e+32
268,8.49048590631814e+32
269,1.2050622293633139e+33
270,1.7100184191680806e+33
271,2.4260979095841926e+33
272,3.4413899625813255e+33
273,4.8806678916458313e+33
274,6.92063866294579e+33
275,9.81152130127407e+33
276,1.390757661503675e+34
277,1.971029591459996e+34
278,2.792948998609738e+34
279,3.956968667568783e+34
280,5.60523074124404e+34
281,7.938841894431095e+34
282,1.1242296763690425e+35
283,1.591800356914219e+35
284,2.2535085034135774e+35
285,3.1898349483292872e+35
286,4.514575835385812e+35
287,6.388614941321723e+35
288,9.03938220043932e+35
289,1.2788343341946467e+36
290,1.8089831495059403e+36
291,2.5585895057053286e+36
292,3.6183760470417324e+36
293,5.116522435413715e+36
294,7.234112188600263e+36
295,1.022694261529993e+37
296,1.4456316336736918e+37
297,2.0432509387069346e+37
298,2.8876129555101316e+37
299,4.080472093212815e+37
300,5.765499244248221e+37
301,8.145531023664643e+37
302,1.150691048859037e+38
303,1.625383214506796e+38
304,2.2956799463943506e+38
305,3.2420988748764236e+38
306,4.5782689896500076e+38
307,6.464534548756187e+38
308,9.12714337652242e+38
309,1.2885310077706599e+39
310,1.818938347553587e+39
311,2.5674670847871546e+39
312,3.6237336651580937e+39
313,5.1141422118327204e+39
314,7.216973677874869e+39
315,1.0183659376467533e+40
316,1.4368771772135553e+40
317,2.0272302085247438e+40
318,2.859925495228351e+40
319,4.034364842522323e+40
320,5.690690712689692e+40
321,8.026472127391676e+40
322,1.13202198844677e+41
323,1.5964524448615082e+41
324,2.2512751738656866e+41
325,3.1744840399222163e+41
326,4.47600094951587e+41
327,6.310737612553613e+41
328,8.89699758934122e+41
329,1.2542400725087953e+42
330,1.7680403215937706e+42
331,2.4921741433994258e+42
332,3.512689466039963e+42
333,4.950814994544512e+42
334,6.977335552200485e+42
335,9.832838152590486e+42
336,1.3856225095718276e+43
337,1.952486800908149e+43
338,2.7511153042604557e+43
339,3.8762104869979413e+43
340,5.461150444848349e+43
341,7.693775451356595e+43
342,1.083861505108928e+44
343,1.5268182056761352e+44
344,2.1507030325297246e+44
345,3.029377986416153e+44
346,4.2668433291518465e+44
347,6.009529189333016e+44
348,8.463597918615263e+44
349,1.1919298985548158e+45
350,1.6785249844126883e+45
351,2.36366864762024e+45
352,3.328337399763459e+45
353,4.6865184727044036e+45
354,6.598661121128322e+45
355,9.290606860890618e+45
356,1.3080229435598783e+46
357,1.8414923252363747e+46
358,2.5924356387216693e+46
359,3.649470128055092e+46
360,5.137308426304277e+46
361,7.231455133503273e+46
362,1.0178885027371457e+47
363,1.4327136622466507e+47
364,2.0165244652942573e+47
365,2.8381327387379415e+47
366,3.994360308552456e+47
367,5.621436444752823e+47
368,7.911031414011146e+47
369,1.1132811342057499e+48
370,1.5666165937797485e+48
371,2.2044838415623315e+48
372,3.101970269868931e+48
373,4.364706461135823e+48
374,6.141286144865065e+48
375,8.640734981552882e+48
376,1.2157079957425797e+49
377,1.7103904757289588e+49
378,2.406294863616697e+49
379,3.3852454512023827e+49
380,4.762328954011345e+49
381,6.69941200535528e+49
382,9.42415045166712e+49
383,1.3256721015347423e+50
384,1.8647411628488994e+50
385,2.62294801670656e+50
386,3.689348166020455e+50
387,5.1891781094986974e+50
388,7.2985507582651056e+50
389,1.0265118044052172e+51
390,1.4437123139451308e+51
391,2.0304247872683177e+51
392,2.8555043015186283e+51
393,4.0157671988219105e+51
394,5.647342965295713e+51
395,7.94163369533324e+51
396,1.1167750867518337e+52
397,1.570405771144185e+52
398,2.2082511678675443e+52
399,3.105100022089404e+52
400,4.366096958850193e+52
401,6.139060715722723e+52
402,8.631799924933122e+52
403,1.2136453534003729e+53
404,1.7063705005990634e+53
405,2.3990874796012838e+53
406,3.3729519373382792e+53
407,4.74204471233905e+53
408,6.666726864775074e+53
409,9.372410625114208e+53
410,1.3175942166705161e+54
411,1.8522682277011677e+54
412,2.6038621959920432e+54
413,3.660362795046938e+54
414,5.1454383502461295e+54
415,7.23290612901735e+54
416,1.0167064346737111e+55
417,1.4291265878906407e+55
418,2.008807390387106e+55
419,2.823569320170626e+55
420,3.968727270052799e+55
421,5.578234722272929e+55
422,7.840344133872309e+55
423,1.1019613428262585e+56
424,1.5487829810477112e+56
425,2.1767463720357645e+56
426,3.0592729218029234e+56
427,4.299538331125279e+56
428,6.042528571689284e+56
429,8.491979951984106e+56
430,1.1934181590825043e+57
431,1.6771419818774266e+57
432,2.356896966271922e+57
433,3.312111999105007e+57
434,4.654394063569654e+57
435,6.54056210904524e+57
436,9.190959537271104e+57
437,1.2915182789059398e+58
438,1.8148228930157463e+58
439,2.5501280886215865e+58
440,3.58330568697285e+58
441,5.035004977136172e+58
442,7.074735266371245e+58
443,9.940650113172477e+58
444,1.3967341399946592e+59
445,1.962488566778151e+59
446,2.7573697512794033e+59
447,3.87415883408366e+59
448,5.443201831361033e+59
449,7.647616677018176e+59
450,1.0744655578539923e+60
451,1.509571383883876e+60
452,2.1208484380944478e+60
453,2.9796173185893576e+60
454,4.1860679736963436e+60
455,5.880944013076052e+60
456,8.261955429931768e+60
457,1.1606832999712069e+61
458,1.630571169892731e+61
459,2.290661771118901e+61
460,3.2179360622258096e+61
461,4.5205277148150173e+61
462,6.350328503530042e+61
463,8.920693650938969e+61
464,1.2531310262597817e+62
465,1.7603126517812469e+62
466,2.472741134069715e+62
467,3.4734660365085317e+62
468,4.87913758240322e+62
469,6.853599475396382e+62
470,9.626979967585689e+62
471,1.3522504964139398e+63
472,1.8994156282593015e+63
473,2.667956117938169e+63
474,3.747427295806084e+63
475,5.263609337465501e+63
476,7.39315856292233e+63
477,1.0384183918239792e+64
478,1.4585144628372233e+64
479,2.048543379308306e+64
480,2.8772373158545527e+64
481,4.041125477588416e+64
482,5.67577481006367e+64
483,7.971575851628629e+64
484,1.1195911370591048e+65
485,1.5724288338488403e+65
486,2.208405701143621e+65
487,3.10158058111354e+65
488,4.355957776392877e+65
489,6.11759428072209e+65
490,8.591601637313659e+65
491,1.2066021019368729e+66
492,1.6945349882883223e+66
493,2.37976215356701e+66
494,3.3420515831529934e+66
495,4.693419335778151e+66
496,6.5911654482142415e+66
497,9.256179007674128e+66
498,1.299864203808567e+67
499,1.825412252015768e+67
500,2.5634255344389758e+67
501,3.599790682155037e+67
502,5.055110087268322e+67
503,7.098733024425793e+67
504,9.968457303644578e+67
505,1.3998192964932345e+68
506,1.965680547550219e+68
507,2.760265597045876e+68
508,3.876018144403765e+68
509,5.4427420673444265e+68
510,7.642698999871494e+68
511,1.0731806521599826e+69
512,1.506940190861304e+69
513,2.116003228883711e+69
