step,center_y,center_x,size
0,126.62818955042528,127.91757796678817,4938
1,126.6421367202092,129.10795666791185,2677
2,128.66820885657634,127.08592200925314,1513
3,128.92995689655172,126.4084051724138,928
4,129.5086956521739,126.99420289855072,690
5,129.09865470852017,128.02391629297458,669
6,129.25775978407557,128.2294197031039,741
7,128.72871287128712,130.3970297029703,1010
8,130.77734119187951,130.5540275049116,1527
9,130.24683544303798,130.06286919831223,2370
10,129.73528599060515,129.25531914893617,3619
11,128.56899775617052,129.56881077038145,5348
12,128.2349315068493,129.4586301369863,7300
13,128.4077018377039,129.82407598595913,9686
14,127.94312449145647,129.98576078112288,12290
15,127.84079403144152,129.40187849720223,15012
16,127.51010044642857,129.432421875,17920
17,126.99661566328233,129.28595261928595,20979
18,126.9268312962501,128.878107591253,24054
19,127.19532309496756,128.66972107172964,27283
20,127.06920301738275,128.53476549688423,30490
21,127.08467777876817,128.23287874736312,33657
22,127.06558625190341,128.1859908636067,36776
23,127.11737739603537,127.95307422986826,39701
24,127.25157780708365,127.93264883195177,42464
25,127.29806966940315,127.89003771910362,45070
26,127.32215117990998,127.85367854288478,47546
27,127.3664718523428,127.80576811070274,49791
28,127.46507228752871,127.67452274789122,51807
29,127.37629941503036,127.63757964156638,53678
30,127.3536788089043,127.62518068806013,55344
31,127.30690591179892,127.66656678534918,56734
32,127.33888074502026,127.71566784513236,57985
33,127.37563985219838,127.61264788636903,58998
34,127.4066023887369,127.59594982318009,59948
35,127.35766447368421,127.4653947368421,60800
36,127.36256359410302,127.47088080880322,61523
37,127.35576923076923,127.53362968689602,62088
38,127.36883349027244,127.5315926392901,62657
39,127.37547157848017,127.54627017087785,63086
40,127.42521236190566,127.53778387152695,63453
41,127.43873455822411,127.51415626763655,63788
42,127.46736076423576,127.50432380119881,64064
43,127.48159957693025,127.49558265414048,64292
44,127.45517562223773,127.48459331627511,64485
45,127.45071838413833,127.47444284631683,64659
46,127.45912541661524,127.4995216639921,64808
47,127.47546059523076,127.50546860558259,64916
48,127.49266266728196,127.48209506229811,65010
49,127.4861913246498,127.48605308429589,65104
50,127.48546355533054,127.48745800156487,65181
51,127.49390701880777,127.48883336654455,65239
52,127.50565084226646,127.49514548238898,65300
53,127.50372626134329,127.4993649287649,65347
54,127.49508372199709,127.51023778576344,65395
55,127.49934274883834,127.51378698948398,65424
56,127.49833445388424,127.49428519039178,65444
57,127.49228560080657,127.50397176988176,65462
58,127.50267224529685,127.50525287075494,65488
59,127.50296165119687,127.50079384465072,65504
60,127.49690919913915,127.50350290764229,65517
61,127.48959811957202,127.49866446876383,65517
62,127.4896224399475,127.49575740927266,65526
63,127.49572688703721,127.49719195433873,65526
64,127.49656635331462,127.49841289219876,65528
65,127.49951167404242,127.49830611933466,65530
66,127.49890894663757,127.49770344711824,65533
67,127.49817654688334,127.4993209735256,65535
68,127.49817654688334,127.4993209735256,65535
69,127.5,127.5,65536
70,127.5,127.5,65536
71,127.5,127.5,65536
72,127.5,127.5,65536
73,127.5,127.5,65536
74,127.5,127.5,65536
75,127.5,127.5,65536
76,127.5,127.5,65536
77,127.5,127.5,65536
78,127.5,127.5,65536
79,127.5,127.5,65536
80,127.5,127.5,65536
81,127.5,127.5,65536
82,127.5,127.5,65536
83,127.5,127.5,65536
84,127.5,127.5,65536
85,127.5,127.5,65536
86,127.5,127.5,65536
87,127.5,127.5,65536
88,127.5,127.5,65536
89,127.5,127.5,65536
90,127.5,127.5,65536
91,127.5,127.5,65536
92,127.5,127.5,65536
93,127.5,127.5,65536
94,127.5,127.5,65536
95,127.5,127.5,65536
96,127.5,127.5,65536
97,127.5,127.5,65536
98,127.5,127.5,65536
99,127.5,127.5,65536
100,127.5,127.5,65536
101,127.5,127.5,65536
102,127.5,127.5,65536
103,127.5,127.5,65536
104,127.5,127.5,65536
105,127.5,127.5,65536
106,127.5,127.5,65536
107,127.5,127.5,65536
108,127.5,127.5,65536
109,127.5,127.5,65536
110,127.5,127.5,65536
111,127.5,127.5,65536
112,127.5,127.5,65536
113,127.5,127.5,65536
114,127.5,127.5,65536
115,127.5,127.5,65536
116,127.5,127.5,65536
117,127.5,127.5,65536
118,127.5,127.5,65536
119,127.5,127.5,65536
120,127.5,127.5,65536
121,127.5,127.5,65536
122,127.5,127.5,65536
123,127.5,127.5,65536
124,127.5,127.5,65536
125,127.5,127.5,65536
126,127.5,127.5,65536
127,127.5,127.5,65536
128,127.5,127.5,65536
129,127.5,127.5,65536
130,127.5,127.5,65536
131,127.5,127.5,65536
132,127.5,127.5,65536
133,127.5,127.5,65536
134,127.5,127.5,65536
135,127.5,127.5,65536
136,127.5,127.5,65536
137,127.5,127.5,65536
138,127.5,127.5,65536
139,127.5,127.5,65536
140,127.5,127.5,65536
141,127.5,127.5,65536
142,127.5,127.5,65536
143,127.5,127.5,65536
144,127.5,127.5,65536
145,127.5,127.5,65536
146,127.5,127.5,65536
147,127.5,127.5,65536
148,127.5,127.5,65536
149,127.5,127.5,65536
150,127.5,127.5,65536
151,127.5,127.5,65536
152,127.5,127.5,65536
153,127.5,127.5,65536
154,127.5,127.5,65536
155,127.5,127.5,65536
156,127.5,127.5,65536
157,127.5,127.5,65536
158,127.5,127.5,65536
159,127.5,127.5,65536
160,127.5,127.5,65536
161,127.5,127.5,65536
162,127.5,127.5,65536
163,127.5,127.5,65536
164,127.5,127.5,65536
165,127.5,127.5,65536
166,127.5,127.5,65536
167,127.5,127.5,65536
168,127.5,127.5,65536
169,127.5,127.5,65536
170,127.5,127.5,65536
171,127.5,127.5,65536
172,127.5,127.5,65536
173,127.5,127.5,65536
174,127.5,127.5,65536
175,127.5,127.5,65536
176,127.5,127.5,65536
177,127.5,127.5,65536
