y,x,phi,curl
0,0,2829.856914616563,0.0
0,20,2817.476770885937,5.637851296924623e-17
0,40,2823.422037231114,0.0
0,60,2819.983034688055,3.469446951953614e-18
0,80,2829.36648236429,8.673617379884035e-19
0,100,2825.3266201995934,8.673617379884035e-19
0,120,2828.9172022013804,3.469446951953614e-18
0,140,2834.2358313583322,4.336808689942018e-19
0,160,2833.0952461802185,8.673617379884035e-19
0,180,2845.0400687239216,-4.336808689942018e-19
0,200,2864.4079039158287,0.0
0,220,2824.10142863798,-3.469446951953614e-18
0,240,2824.5458851174685,0.0
20,0,2827.9842089738586,-8.673617379884035e-19
20,20,2820.0991294939145,-1.734723475976807e-18
20,40,2829.9399617617123,-3.469446951953614e-18
20,60,2818.1001298331253,0.0
20,80,2821.0611134526353,0.0
20,100,2820.5768726769015,-1.0842021724855044e-19
20,120,2805.6556685391815,1.734723475976807e-18
20,140,2814.8795942198353,0.0
20,160,2807.445082520703,0.0
20,180,2800.4997107765844,0.0
20,200,2814.2212736754173,-8.673617379884035e-19
20,220,2825.8640310632536,0.0
20,240,2808.711783946463,8.673617379884035e-19
40,0,2832.2891850651686,0.0
40,20,2822.890514543787,0.0
40,40,2814.042943166794,0.0
40,60,2822.843526277563,2.168404344971009e-19
40,80,2818.0081504830277,5.204170427930421e-18
40,100,2824.5788952905723,0.0
40,120,2825.118808419921,-8.673617379884035e-19
40,140,2822.0784608557383,0.0
40,160,2820.90805976095,0.0
40,180,2814.9035771565573,0.0
40,200,2816.915871718163,8.673617379884035e-19
40,220,2803.9107979483438,-6.071532165918825e-18
40,240,2812.208220431952,0.0
60,0,2825.9083974882947,0.0
60,20,2814.9502643817355,1.734723475976807e-18
60,40,2819.4079447485933,4.336808689942018e-19
60,60,2819.0844786735374,0.0
60,80,2813.0223753598116,0.0
60,100,2814.3865615097093,4.336808689942018e-19
60,120,2823.405392208115,0.0
60,140,2818.959178111656,0.0
60,160,2812.029427602134,8.673617379884035e-19
60,180,2818.7984829305,0.0
60,200,2816.520217510127,2.6020852139652106e-18
60,220,2831.0006376444658,0.0
60,240,2815.0537492698486,0.0
80,0,2814.8183753067287,-8.673617379884035e-19
80,20,2817.93100304227,0.0
80,40,2817.4222594778316,8.673617379884035e-19
80,60,2817.9743246281664,0.0
80,80,2812.4395322185933,3.469446951953614e-18
80,100,2834.8106026164764,0.0
80,120,2812.782200512833,0.0
80,140,2811.7876390852757,1.1102230246251565e-16
80,160,2819.5850422122116,-5.421010862427522e-20
80,180,2810.598979805301,0.0
80,200,2817.6823410749025,0.0
80,220,2810.635468077546,0.0
80,240,2811.8628987685947,6.938893903907228e-18
100,0,2813.8830352842424,-3.469446951953614e-18
100,20,2800.583444880877,0.0
100,40,2806.5227206731165,0.0
100,60,2816.287509462354,0.0
100,80,2809.3702569146485,0.0
100,100,2822.2364769307014,5.204170427930421e-18
100,120,2822.3787111763327,0.0
100,140,2821.4832025529454,-1.6805133673525319e-18
100,160,2825.4473944043175,0.0
100,180,2817.9567493354334,3.469446951953614e-18
100,200,2826.1413727495055,0.0
100,220,2813.504512622243,0.0
100,240,2825.9808663347153,0.0
120,0,2809.8087024427055,0.0
120,20,2814.0445641154975,4.336808689942018e-19
120,40,2803.9832928950873,0.0
120,60,2816.0742830691215,3.469446951953614e-18
120,80,2816.8312769160307,8.673617379884035e-19
120,100,2817.8111752344407,0.0
120,120,2811.7107228478144,-5.204170427930421e-17
120,140,2817.268187880572,0.0
120,160,2803.780656048465,1.734723475976807e-18
120,180,2809.4242726307098,-1.734723475976807e-18
120,200,2823.007401312495,0.0
120,220,2819.5849694410617,0.0
120,240,2827.977923519387,0.0
140,0,2823.8180301199013,-2.6020852139652106e-18
140,20,2817.70117478127,0.0
140,40,2816.022110833654,2.168404344971009e-19
140,60,2820.051786056731,0.0
140,80,2814.1527309428157,0.0
140,100,2805.776224272078,0.0
140,120,2824.4573534842343,0.0
140,140,2824.83265291212,0.0
140,160,2823.7736414914657,-1.734723475976807e-18
140,180,2802.3539399369365,-6.418476861114186e-17
140,200,2814.5653704746355,0.0
140,220,2827.2549653572282,-2.168404344971009e-19
140,240,2820.1659689684543,0.0
160,0,2826.3043716932734,0.0
160,20,2815.0687203481702,0.0
160,40,2812.1883964349527,-3.469446951953614e-18
160,60,2819.422233766823,3.469446951953614e-18
160,80,2821.2205511156203,1.734723475976807e-18
160,100,2811.1299534926547,0.0
160,120,2811.0943975432842,0.0
160,140,2826.7568969601075,0.0
160,160,2816.8808732767848,-8.673617379884035e-19
160,180,2814.5263757823463,-2.0816681711721685e-17
160,200,2826.220537557189,3.469446951953614e-18
160,220,2827.2056098736575,1.734723475976807e-18
160,240,2811.065181210781,4.336808689942018e-19
180,0,2817.5663427151135,0.0
180,20,2818.763121253546,0.0
180,40,2805.7000158946466,0.0
180,60,2809.6378620001533,0.0
180,80,2813.576839834946,6.938893903907228e-18
180,100,2813.4115155808267,1.734723475976807e-18
180,120,2822.3229936093867,0.0
180,140,2810.069310852651,0.0
180,160,2813.819553981771,0.0
180,180,2804.8423266303244,-1.734723475976807e-18
180,200,2823.0519605634936,1.734723475976807e-18
180,220,2809.2199718299044,0.0
180,240,2810.0043033594065,-5.551115123125783e-17
200,0,2811.747450568092,-3.469446951953614e-18
200,20,2803.1892843452356,0.0
200,40,2811.6071216025734,-1.734723475976807e-18
200,60,2818.8113031706484,0.0
200,80,2822.886250065748,0.0
200,100,2815.25359129968,1.0842021724855044e-19
200,120,2809.7029727724357,0.0
200,140,2812.5783574288034,1.3877787807814457e-17
200,160,2821.415099863933,0.0
200,180,2821.1253778978194,0.0
200,200,2814.6983745333964,-1.734723475976807e-18
200,220,2813.295246314445,0.0
200,240,2807.711744349735,5.551115123125783e-17
220,0,2819.60953553573,-5.0306980803327406e-17
220,20,2813.4798762141854,0.0
220,40,2816.301183661446,0.0
220,60,2834.1281834085776,0.0
220,80,2815.6847489138618,3.469446951953614e-18
220,100,2813.379021096922,0.0
220,120,2824.5920060417116,-1.3010426069826053e-18
220,140,2820.194182124285,0.0
220,160,2805.4240459444504,-5.551115123125783e-17
220,180,2820.8408248922947,-8.673617379884035e-19
220,200,2817.9321035551666,-5.551115123125783e-17
220,220,2814.343882828042,0.0
220,240,2837.826889889267,-8.673617379884035e-19
240,0,2816.7454891220145,-1.3010426069826053e-18
240,20,2804.0667657574863,0.0
240,40,2830.4494152198204,-4.336808689942018e-19
240,60,2826.1046938638196,-3.469446951953614e-18
240,80,2814.8917660146367,0.0
240,100,2817.0264467251122,-1.734723475976807e-18
240,120,2820.636730451963,0.0
240,140,2818.014525208707,0.0
240,160,2819.4193280175878,0.0
240,180,2818.528510776489,0.0
240,200,2820.401582051347,0.0
240,220,2814.8965809847305,-3.469446951953614e-18
240,240,2814.210981431732,8.673617379884035e-19
