y,x,phi
0,0,2829.856914616563
0,20,2817.476770885937
0,40,2823.422037231114
0,60,2819.983034688055
0,80,2829.36648236429
0,100,2825.3266201995934
0,120,2828.9172022013804
0,140,2834.2358313583322
0,160,2833.0952461802185
0,180,2845.0400687239216
0,200,2864.4079039158287
0,220,2824.10142863798
0,240,2824.5458851174685
20,0,2827.9842089738586
20,20,2820.0991294939145
20,40,2829.9399617617123
20,60,2818.1001298331253
20,80,2821.0611134526353
20,100,2820.5768726769015
20,120,2805.6556685391815
20,140,2814.8795942198353
20,160,2807.445082520703
20,180,2800.4997107765844
20,200,2814.2212736754173
20,220,2825.8640310632536
20,240,2808.711783946463
40,0,2832.2891850651686
40,20,2822.890514543787
40,40,2814.042943166794
40,60,2822.843526277563
40,80,2818.0081504830277
40,100,2824.5788952905723
40,120,2825.118808419921
40,140,2822.0784608557383
40,160,2820.90805976095
40,180,2814.9035771565573
40,200,2816.915871718163
40,220,2803.9107979483438
40,240,2812.208220431952
60,0,2825.9083974882947
60,20,2814.9502643817355
60,40,2819.4079447485933
60,60,2819.0844786735374
60,80,2813.0223753598116
60,100,2814.3865615097093
60,120,2823.405392208115
60,140,2818.959178111656
60,160,2812.029427602134
60,180,2818.7984829305
60,200,2816.520217510127
60,220,2831.0006376444658
60,240,2815.0537492698486
80,0,2814.8183753067287
80,20,2817.93100304227
80,40,2817.4222594778316
80,60,2817.9743246281664
80,80,2812.4395322185933
80,100,2834.8106026164764
80,120,2812.782200512833
80,140,2811.7876390852757
80,160,2819.5850422122116
80,180,2810.598979805301
80,200,2817.6823410749025
80,220,2810.635468077546
80,240,2811.8628987685947
100,0,2813.8830352842424
100,20,2800.583444880877
100,40,2806.5227206731165
100,60,2816.287509462354
100,80,2809.3702569146485
100,100,2822.2364769307014
100,120,2822.3787111763327
100,140,2821.4832025529454
100,160,2825.4473944043175
100,180,2817.9567493354334
100,200,2826.1413727495055
100,220,2813.504512622243
100,240,2825.9808663347153
120,0,2809.8087024427055
120,20,2814.0445641154975
120,40,2803.9832928950873
120,60,2816.0742830691215
120,80,2816.8312769160307
120,100,2817.8111752344407
120,120,2811.7107228478144
120,140,2817.268187880572
120,160,2803.780656048465
120,180,2809.4242726307098
120,200,2823.007401312495
120,220,2819.5849694410617
120,240,2827.977923519387
140,0,2823.8180301199013
140,20,2817.70117478127
140,40,2816.022110833654
140,60,2820.051786056731
140,80,2814.1527309428157
140,100,2805.776224272078
140,120,2824.4573534842343
140,140,2824.83265291212
140,160,2823.7736414914657
140,180,2802.3539399369365
140,200,2814.5653704746355
140,220,2827.2549653572282
140,240,2820.1659689684543
160,0,2826.3043716932734
160,20,2815.0687203481702
160,40,2812.1883964349527
160,60,2819.422233766823
160,80,2821.2205511156203
160,100,2811.1299534926547
160,120,2811.0943975432842
160,140,2826.7568969601075
160,160,2816.8808732767848
160,180,2814.5263757823463
160,200,2826.220537557189
160,220,2827.2056098736575
160,240,2811.065181210781
180,0,2817.5663427151135
180,20,2818.763121253546
180,40,2805.7000158946466
180,60,2809.6378620001533
180,80,2813.576839834946
180,100,2813.4115155808267
180,120,2822.3229936093867
180,140,2810.069310852651
180,160,2813.819553981771
180,180,2804.8423266303244
180,200,2823.0519605634936
180,220,2809.2199718299044
180,240,2810.0043033594065
200,0,2811.747450568092
200,20,2803.1892843452356
200,40,2811.6071216025734
200,60,2818.8113031706484
200,80,2822.886250065748
200,100,2815.25359129968
200,120,2809.7029727724357
200,140,2812.5783574288034
200,160,2821.415099863933
200,180,2821.1253778978194
200,200,2814.6983745333964
200,220,2813.295246314445
200,240,2807.711744349735
220,0,2819.60953553573
220,20,2813.4798762141854
220,40,2816.301183661446
220,60,2834.1281834085776
220,80,2815.6847489138618
220,100,2813.379021096922
220,120,2824.5920060417116
220,140,2820.194182124285
220,160,2805.4240459444504
220,180,2820.8408248922947
220,200,2817.9321035551666
220,220,2814.343882828042
220,240,2837.826889889267
240,0,2816.7454891220145
240,20,2804.0667657574863
240,40,2830.4494152198204
240,60,2826.1046938638196
240,80,2814.8917660146367
240,100,2817.0264467251122
240,120,2820.636730451963
240,140,2818.014525208707
240,160,2819.4193280175878
240,180,2818.528510776489
240,200,2820.401582051347
240,220,2814.8965809847305
240,240,2814.210981431732
