frequency_Hz,amplitude
0.0,7.15972597961874e+249
1.0000000000000001e+18,5.822524882129874e+282
2.0000000000000003e+18,5.816576123047065e+282
3.0000000000000005e+18,5.806688750377085e+282
4.0000000000000005e+18,5.792903309166999e+282
5.000000000000001e+18,5.775275980946569e+282
6.000000000000001e+18,5.753878015484469e+282
7.000000000000001e+18,5.728795018723574e+282
8.000000000000001e+18,5.700126110022161e+282
9.000000000000001e+18,5.667982963927939e+282
1.0000000000000002e+19,5.632488753377104e+282
1.1000000000000002e+19,5.593777012410106e+282
1.2000000000000002e+19,5.551990437214538e+282
1.3000000000000002e+19,5.507279644548008e+282
1.4000000000000002e+19,5.459801906380384e+282
1.5000000000000002e+19,5.409719878960964e+282
1.6000000000000002e+19,5.357200343508792e+282
1.7000000000000002e+19,5.30241297440046e+282
1.8000000000000002e+19,5.245529149151422e+282
1.9000000000000004e+19,5.18672081271936e+282
2.0000000000000004e+19,5.126159406767035e+282
2.1000000000000004e+19,5.06401487256983e+282
2.2000000000000004e+19,5.000454734298007e+282
2.3000000000000004e+19,4.93564326749669e+282
2.4000000000000004e+19,4.869740755772652e+282
2.5000000000000004e+19,4.802902837010775e+282
2.6000000000000004e+19,4.735279938912758e+282
2.7000000000000004e+19,4.667016802295123e+282
2.8000000000000004e+19,4.5982520894136966e+282
2.9000000000000004e+19,4.5291180736024587e+282
3.0000000000000004e+19,4.459740405723607e+282
3.1000000000000004e+19,4.39023795231606e+282
3.2000000000000004e+19,4.3207226998908056e+282
3.3000000000000004e+19,4.2512997195387486e+282
3.4000000000000004e+19,4.1820671858747684e+282
3.5000000000000004e+19,4.113116444322533e+282
3.6000000000000004e+19,4.0445321208310005e+282
3.700000000000001e+19,3.976392268287574e+282
3.800000000000001e+19,3.908768544137699e+282
3.900000000000001e+19,3.8417264140206143e+282
4.000000000000001e+19,3.775325376571152e+282
4.100000000000001e+19,3.709619204905154e+282
4.200000000000001e+19,3.644656200689813e+282
4.300000000000001e+19,3.580479457089899e+282
4.400000000000001e+19,3.517127127268604e+282
4.500000000000001e+19,3.454632695500655e+282
4.600000000000001e+19,3.3930252483199765e+282
4.700000000000001e+19,3.3323297434707107e+282
4.800000000000001e+19,3.2725672747554875e+282
4.900000000000001e+19,3.2137553311769414e+282
5.000000000000001e+19,3.1559080490459725e+282
5.100000000000001e+19,3.099036455982967e+282
5.200000000000001e+19,3.043148705966249e+282
5.300000000000001e+19,2.988250304785756e+282
5.400000000000001e+19,2.9343443254405717e+282
5.500000000000001e+19,2.8814316131773273e+282
5.600000000000001e+19,2.829510980004323e+282
5.700000000000001e+19,2.77857938863474e+282
5.800000000000001e+19,2.728632125913142e+282
5.900000000000001e+19,2.679662965864298e+282
6.000000000000001e+19,2.6316643225734843e+282
6.100000000000001e+19,2.5846273931646156e+282
6.200000000000001e+19,2.538542291188099e+282
6.300000000000001e+19,2.493398170765599e+282
6.400000000000001e+19,2.449183341865222e+282
6.500000000000001e+19,2.405885377099186e+282
6.600000000000001e+19,2.3634912104478344e+282
6.700000000000001e+19,2.321987228319983e+282
6.800000000000001e+19,2.2813593533607742e+282
6.900000000000001e+19,2.241593121415472e+282
