frequency_Hz,amplitude
0.0,1.3704163007863995e+249
1.0000000000000001e+18,1.9781426838483067e+281
2.0000000000000003e+18,1.97612003939924e+281
3.0000000000000005e+18,1.972758229535701e+281
4.0000000000000005e+18,1.9680710505869863e+281
5.000000000000001e+18,1.9620776193855788e+281
6.000000000000001e+18,1.954802179768311e+281
7.000000000000001e+18,1.9462738601080927e+281
8.000000000000001e+18,1.93652638634925e+281
9.000000000000001e+18,1.925597755734892e+281
1.0000000000000002e+19,1.9135298769819272e+281
1.1000000000000002e+19,1.9003681830676823e+281
1.2000000000000002e+19,1.886161223036527e+281
1.3000000000000002e+19,1.8709602393170393e+281
1.4000000000000002e+19,1.8548187369669165e+281
1.5000000000000002e+19,1.8377920510463344e+281
1.6000000000000002e+19,1.819936917976647e+281
1.7000000000000002e+19,1.8013110562897093e+281
1.8000000000000002e+19,1.7819727616348248e+281
1.9000000000000004e+19,1.761980520307765e+281
2.0000000000000004e+19,1.741392644921591e+281
2.1000000000000004e+19,1.7202669351737026e+281
2.2000000000000004e+19,1.6986603659972472e+281
2.3000000000000004e+19,1.676628804735368e+281
2.4000000000000004e+19,1.6542267583587783e+281
2.5000000000000004e+19,1.6315071511730257e+281
2.6000000000000004e+19,1.608521132940596e+281
2.7000000000000004e+19,1.5853179168817092e+281
2.8000000000000004e+19,1.5619446466194722e+281
2.9000000000000004e+19,1.5384462908019555e+281
3.0000000000000004e+19,1.5148655638647225e+281
3.1000000000000004e+19,1.4912428711902906e+281
3.2000000000000004e+19,1.4676162767719044e+281
3.3000000000000004e+19,1.4440214913932985e+281
3.4000000000000004e+19,1.4204918792881781e+281
3.5000000000000004e+19,1.3970584812370926e+281
3.6000000000000004e+19,1.3737500520892172e+281
3.700000000000001e+19,1.3505931107561647e+281
3.800000000000001e+19,1.3276120008087048e+281
3.900000000000001e+19,1.3048289599096417e+281
4.000000000000001e+19,1.2822641964322375e+281
4.100000000000001e+19,1.2599359717389464e+281
4.200000000000001e+19,1.2378606867260637e+281
4.300000000000001e+19,1.2160529713726837e+281
4.400000000000001e+19,1.1945257761645417e+281
4.500000000000001e+19,1.1732904643923021e+281
4.600000000000001e+19,1.1523569044481238e+281
4.700000000000001e+19,1.1317335613622542e+281
4.800000000000001e+19,1.111427586932111e+281
4.900000000000001e+19,1.091444907899119e+281
5.000000000000001e+19,1.0717903117229832e+281
5.100000000000001e+19,1.0524675295890821e+281
5.200000000000001e+19,1.033479316362213e+281
5.300000000000001e+19,1.0148275272692255e+281
5.400000000000001e+19,9.965131911544666e+280
5.500000000000001e+19,9.785365802058246e+280
5.600000000000001e+19,9.608972760959831e+280
5.700000000000001e+19,9.435942325237723e+280
5.800000000000001e+19,9.266258341747475e+280
5.900000000000001e+19,9.099899521489078e+280
6.000000000000001e+19,8.936839959273158e+280
6.100000000000001e+19,8.77704961968709e+280
6.200000000000001e+19,8.620494790427152e+280
6.300000000000001e+19,8.467138504181486e+280
6.400000000000001e+19,8.316940930338553e+280
6.500000000000001e+19,8.169859737857752e+280
6.600000000000001e+19,8.025850430678985e+280
6.700000000000001e+19,7.884866657068162e+280
6.800000000000001e+19,7.746860494299465e+280
6.900000000000001e+19,7.611782710065423e+280
7.000000000000001e+19,7.479583001984486e+280
7.100000000000001e+19,7.35021021654548e+280
7.200000000000001e+19,7.223612548790416e+280
7.300000000000001e+19,7.099737723993658e+280
7.400000000000002e+19,6.978533162547654e+280
7.500000000000002e+19,6.859946129214452e+280
7.600000000000002e+19,6.743923867849207e+280
7.700000000000002e+19,6.630413722647785e+280
7.800000000000002e+19,6.519363246915894e+280
7.900000000000002e+19,6.410720300302611e+280
8.000000000000002e+19,6.304433135387517e+280
8.100000000000002e+19,6.200450474457757e+280
8.200000000000002e+19,6.098721577260067e+280
8.300000000000002e+19,5.999196300463033e+280
8.400000000000002e+19,5.901825149516988e+280
8.500000000000002e+19,5.806559323553026e+280
8.600000000000002e+19,5.713350753918689e+280
8.700000000000002e+19,5.622152136906215e+280
8.800000000000002e+19,5.532916961189499e+280
