frequency_Hz,amplitude
0.0,1.789931494904685e+249
1.0000000000000001e+18,4.531952930154713e+282
2.0000000000000003e+18,4.527315211850739e+282
3.0000000000000005e+18,4.519606941166598e+282
4.0000000000000005e+18,4.5088597781573356e+282
5.000000000000001e+18,4.4951175920659356e+282
6.000000000000001e+18,4.4784360169024316e+282
7.000000000000001e+18,4.458881894564767e+282
8.000000000000001e+18,4.4365326157836734e+282
9.000000000000001e+18,4.411475370817378e+282
1.0000000000000002e+19,4.383806323125261e+282
1.1000000000000002e+19,4.353629720186751e+282
1.2000000000000002e+19,4.3210569561926057e+282
1.3000000000000002e+19,4.2862056015227676e+282
1.4000000000000002e+19,4.2491984137550797e+282
1.5000000000000002e+19,4.2101623444495676e+282
1.6000000000000002e+19,4.169227555161362e+282
1.7000000000000002e+19,4.1265264550956857e+282
1.8000000000000002e+19,4.082192771579776e+282
1.9000000000000004e+19,4.036360663140689e+282
2.0000000000000004e+19,3.989163883495143e+282
2.1000000000000004e+19,3.940735003228117e+282
2.2000000000000004e+19,3.8912046944052277e+282
2.3000000000000004e+19,3.840701081871039e+282
2.4000000000000004e+19,3.789349163565652e+282
2.5000000000000004e+19,3.737270300872966e+282
2.6000000000000004e+19,3.684581778817508e+282
2.7000000000000004e+19,3.631396434867366e+282
2.8000000000000004e+19,3.5778223541873504e+282
2.9000000000000004e+19,3.523962628422256e+282
3.0000000000000004e+19,3.469915174473454e+282
3.1000000000000004e+19,3.415772609257683e+282
3.2000000000000004e+19,3.3616221760958425e+282
3.3000000000000004e+19,3.3075457181610085e+282
3.4000000000000004e+19,3.2536196943061457e+282
3.5000000000000004e+19,3.1999152325792547e+282
3.6000000000000004e+19,3.146498216803318e+282
3.700000000000001e+19,3.0934294017364285e+282
3.800000000000001e+19,3.040764552520619e+282
3.900000000000001e+19,2.98855460436395e+282
4.000000000000001e+19,2.936845838667625e+282
4.100000000000001e+19,2.885680072098535e+282
4.200000000000001e+19,2.8350948554083745e+282
4.300000000000001e+19,2.7851236791058934e+282
4.400000000000001e+19,2.7357961833924087e+282
4.500000000000001e+19,2.687138370067241e+282
4.600000000000001e+19,2.639172814394962e+282
4.700000000000001e+19,2.591918875197228e+282
4.800000000000001e+19,2.545392901686085e+282
4.900000000000001e+19,2.4996084357914993e+282
5.000000000000001e+19,2.454576408952641e+282
5.100000000000001e+19,2.4103053325396147e+282
5.200000000000001e+19,2.366801481250266e+282
5.300000000000001e+19,2.324069068985539e+282
5.400000000000001e+19,2.2821104168476434e+282
5.500000000000001e+19,2.2409261130286845e+282
5.600000000000001e+19,2.200515164464727e+282
5.700000000000001e+19,2.1608751402224565e+282
5.800000000000001e+19,2.1220023066640963e+282
5.900000000000001e+19,2.0838917545020476e+282
6.000000000000001e+19,2.046537517909255e+282
6.100000000000001e+19,2.0099326858956364e+282
6.200000000000001e+19,1.9740695061961714e+282
6.300000000000001e+19,1.9389394819435454e+282
6.400000000000001e+19,1.90453346141859e+282
6.500000000000001e+19,1.8708417211859307e+282
6.600000000000001e+19,1.837854042931338e+282
6.700000000000001e+19,1.8055597843218268e+282
6.800000000000001e+19,1.7739479442102898e+282
6.900000000000001e+19,1.7430072225041955e+282
7.000000000000001e+19,1.7127260750128363e+282
7.100000000000001e+19,1.6830927635806572e+282
7.200000000000001e+19,1.6540954018053806e+282
7.300000000000001e+19,1.625721996629684e+282
7.400000000000002e+19,1.597960486084105e+282
7.500000000000002e+19,1.5707987734471804e+282
7.600000000000002e+19,1.5442247580765645e+282
7.700000000000002e+19,1.518226363152513e+282
7.800000000000002e+19,1.4927915605624446e+282
7.900000000000002e+19,1.4679083931428814e+282
8.000000000000002e+19,1.4435649944826033e+282
8.100000000000002e+19,1.4197496064788517e+282
8.200000000000002e+19,1.3964505948264985e+282
8.300000000000002e+19,1.3736564626087962e+282
8.400000000000002e+19,1.3513558621472458e+282
8.500000000000002e+19,1.3295376052576227e+282
8.600000000000002e+19,1.3081906720491334e+282
8.700000000000002e+19,1.287304218394062e+282
8.800000000000002e+19,1.2668675821862228e+282
8.900000000000002e+19,1.2468702884978937e+282
9.000000000000002e+19,1.227302053736812e+282
9.100000000000002e+19,1.2081527888971865e+282
9.200000000000002e+19,1.1894126019914718e+282
9.300000000000002e+19,1.1710717997429542e+282
9.400000000000002e+19,1.1531208886129065e+282
9.500000000000002e+19,1.1355505752301488e+282
9.600000000000002e+19,1.1183517662854241e+282
9.700000000000002e+19,1.1015155679478639e+282
9.800000000000002e+19,1.0850332848560541e+282
9.900000000000002e+19,1.0688964187318273e+282
1.0000000000000002e+20,1.0530966666608238e+282
1.0100000000000002e+20,1.0376259190800187e+282
1.0200000000000002e+20,1.0224762575089787e+282
1.0300000000000002e+20,1.007639952058297e+282
1.0400000000000002e+20,9.931094587457293e+281
1.0500000000000002e+20,9.7887741664771e+281
1.0600000000000002e+20,9.649366449114519e+281
1.0700000000000002e+20,9.512801396504469e+281
1.0800000000000002e+20,9.379010707440256e+281
1.0900000000000002e+20,9.247927785596713e+281
1.1000000000000002e+20,9.11948770614928e+281
1.1100000000000002e+20,8.993627181940992e+281
1.1200000000000002e+20,8.870284529333855e+281
1.1300000000000002e+20,8.749399633866855e+281
1.1400000000000002e+20,8.630913915830422e+281
1.1500000000000002e+20,8.514770295854853e+281
1.1600000000000002e+20,8.400913160599887e+281
1.1700000000000002e+20,8.289288328622517e+281
1.1800000000000002e+20,8.17984301649134e+281
1.1900000000000002e+20,8.072525805207426e+281
1.2000000000000002e+20,7.967286606984352e+281
1.2100000000000002e+20,7.864076632433311e+281
1.2200000000000002e+20,7.762848358192951e+281
1.2300000000000002e+20,7.663555495038104e+281
1.2400000000000002e+20,7.566152956496475e+281
1.2500000000000002e+20,7.47059682799783e+281
1.2600000000000002e+20,7.376844336576048e+281
1.2700000000000002e+20,7.284853821140654e+281
1.2800000000000002e+20,7.194584703331125e+281
1.2900000000000002e+20,7.105997458964254e+281
1.3000000000000002e+20,7.019053590081972e+281
1.3100000000000002e+20,6.933715597604863e+281
1.3200000000000002e+20,6.849946954594228e+281
1.3300000000000002e+20,6.767712080123563e+281
1.3400000000000002e+20,6.686976313758815e+281
1.3500000000000002e+20,6.607705890645046e+281
1.3600000000000002e+20,6.529867917195796e+281
1.3700000000000002e+20,6.453430347380343e+281
1.3800000000000002e+20,6.378361959602924e+281
1.3900000000000002e+20,6.304632334167052e+281
1.4000000000000002e+20,6.232211831317361e+281
1.4100000000000002e+20,6.161071569850569e+281
1.4200000000000002e+20,6.091183406286786e+281
1.4300000000000002e+20,6.022519914591624e+281
1.4400000000000002e+20,5.955054366439472e+281
1.4500000000000002e+20,5.888760712007589e+281
1.4600000000000002e+20,5.823613561290738e+281
1.4700000000000002e+20,5.759588165925668e+281
1.4800000000000003e+20,5.696660401514601e+281
1.4900000000000003e+20,5.6348067504368574e+281
1.5000000000000003e+20,5.574004285137631e+281
1.5100000000000003e+20,5.5142306518828054e+281
1.5200000000000003e+20,5.455464054968887e+281
1.5300000000000003e+20,5.397683241377006e+281
1.5400000000000003e+20,5.340867485860071e+281
1.5500000000000003e+20,5.284996576452175e+281
1.5600000000000003e+20,5.2300508003895405e+281
1.5700000000000003e+20,5.176010930432401e+281
1.5800000000000003e+20,5.1228582115771676e+281
1.5900000000000003e+20,5.070574348148754e+281
1.6000000000000003e+20,5.0191414912626423e+281
1.6100000000000003e+20,4.9685422266468016e+281
1.6200000000000003e+20,4.9187595628136163e+281
1.6300000000000003e+20,4.8697769195720453e+281
1.6400000000000003e+20,4.821578116870701e+281
1.6500000000000003e+20,4.774147363962448e+281
1.6600000000000003e+20,4.727469248881474e+281
1.6700000000000003e+20,4.681528728224052e+281
1.6800000000000003e+20,4.636311117224128e+281
1.6900000000000003e+20,4.59180208011548e+281
1.7000000000000003e+20,4.5479876207719896e+281
1.7100000000000003e+20,4.504854073618098e+281
1.7200000000000003e+20,4.462388094801493e+281
1.7300000000000003e+20,4.4205766536204345e+281
1.7400000000000003e+20,4.3794070241981756e+281
1.7500000000000003e+20,4.338866777397307e+281
1.7600000000000003e+20,4.298943772966816e+281
1.7700000000000003e+20,4.259626151915149e+281
1.7800000000000003e+20,4.220902329102402e+281
1.7900000000000003e+20,4.182760986045299e+281
1.8000000000000003e+20,4.1451910639284705e+281
1.8100000000000003e+20,4.108181756816013e+281
1.8200000000000003e+20,4.071722505057281e+281
1.8300000000000003e+20,4.03580298888112e+281
1.8400000000000003e+20,4.000413122172943e+281
1.8500000000000003e+20,3.9655430464291194e+281
1.8600000000000003e+20,3.9311831248833984e+281
1.8700000000000003e+20,3.897323936800233e+281
1.8800000000000003e+20,3.863956271929928e+281
1.8900000000000003e+20,3.831071125120849e+281
1.9000000000000003e+20,3.798659691083945e+281
1.9100000000000003e+20,3.7667133593049386e+281
1.9200000000000003e+20,3.735223709099927e+281
1.9300000000000003e+20,3.7041825048099144e+281
1.9400000000000003e+20,3.673581691130244e+281
1.9500000000000003e+20,3.643413388570801e+281
1.9600000000000003e+20,3.6136698890431214e+281
1.9700000000000003e+20,3.584343651570604e+281
1.9800000000000003e+20,3.555427298118091e+281
1.9900000000000003e+20,3.5269136095373584e+281
2.0000000000000003e+20,3.4987955216249416e+281
2.0100000000000003e+20,3.471066121288992e+281
2.0200000000000003e+20,3.443718642821961e+281
2.0300000000000003e+20,3.416746464275865e+281
2.0400000000000003e+20,3.3901431039371895e+281
2.0500000000000003e+20,3.363902216898382e+281
2.0600000000000003e+20,3.3380175917231025e+281
2.0700000000000003e+20,3.3124831472024894e+281
2.0800000000000003e+20,3.287292929199725e+281
2.0900000000000003e+20,3.2624411075802266e+281
2.1000000000000003e+20,3.237921973225063e+281
2.1100000000000003e+20,3.213729935125061e+281
2.1200000000000003e+20,3.189859517553233e+281
2.1300000000000003e+20,3.1663053573132667e+281
2.1400000000000003e+20,3.143062201061815e+281
2.1500000000000003e+20,3.120124902702446e+281
2.1600000000000003e+20,3.097488420849138e+281
2.1700000000000003e+20,3.075147816357337e+281
2.1800000000000003e+20,3.05309824992054e+281
2.1900000000000003e+20,3.031334979730593e+281
2.2000000000000003e+20,3.009853359199764e+281
2.2100000000000003e+20,2.9886488347428545e+281
2.2200000000000003e+20,2.967716943617643e+281
2.2300000000000003e+20,2.9470533118219135e+281
2.2400000000000003e+20,2.926653652045462e+281
2.2500000000000003e+20,2.906513761675558e+281
2.2600000000000003e+20,2.8866295208542473e+281
2.2700000000000003e+20,2.8669968905860692e+281
2.2800000000000003e+20,2.847611910894738e+281
2.2900000000000003e+20,2.8284706990273986e+281
2.3000000000000003e+20,2.8095694477050725e+281
2.3100000000000003e+20,2.7909044234180314e+281
2.3200000000000003e+20,2.772471964764821e+281
2.3300000000000003e+20,2.754268480833652e+281
2.3400000000000003e+20,2.736290449625057e+281
2.3500000000000003e+20,2.718534416514555e+281
2.3600000000000003e+20,2.7009969927542596e+281
2.3700000000000003e+20,2.6836748540123713e+281
2.3800000000000003e+20,2.6665647389494007e+281
2.3900000000000003e+20,2.6496634478301874e+281
2.4000000000000003e+20,2.6329678411707102e+281
2.4100000000000003e+20,2.616474838418647e+281
2.4200000000000003e+20,2.6001814166668835e+281
2.4300000000000003e+20,2.5840846093989137e+281
2.4400000000000003e+20,2.5681815052654104e+281
2.4500000000000003e+20,2.5524692468909562e+281
2.4600000000000003e+20,2.5369450297102255e+281
2.4700000000000003e+20,2.521606100832771e+281
2.4800000000000003e+20,2.5064497579356163e+281
2.4900000000000003e+20,2.4914733481829314e+281
2.5000000000000003e+20,2.4766742671720526e+281
2.5100000000000003e+20,2.462049957905096e+281
2.5200000000000003e+20,2.4475979097855453e+281
2.5300000000000003e+20,2.4333156576390513e+281
2.5400000000000003e+20,2.4192007807579053e+281
2.5500000000000003e+20,2.4052509019684267e+281
2.5600000000000003e+20,2.3914636867207448e+281
2.5700000000000003e+20,2.377836842200363e+281
2.5800000000000003e+20,2.3643681164608805e+281
2.5900000000000003e+20,2.3510552975773717e+281
2.6000000000000003e+20,2.337896212819821e+281
2.6100000000000003e+20,2.3248887278461377e+281
2.6200000000000003e+20,2.3120307459141895e+281
2.6300000000000003e+20,2.2993202071123725e+281
2.6400000000000003e+20,2.286755087608265e+281
2.6500000000000003e+20,2.2743333989148192e+281
2.6600000000000003e+20,2.262053187173706e+281
2.6700000000000003e+20,2.2499125324553373e+281
2.6800000000000003e+20,2.2379095480751183e+281
2.6900000000000003e+20,2.226042379925554e+281
2.7000000000000003e+20,2.2143092058237345e+281
2.7100000000000003e+20,2.2027082348738853e+281
2.7200000000000003e+20,2.1912377068445283e+281
2.7300000000000003e+20,2.1798958915599107e+281
2.7400000000000003e+20,2.1686810883053256e+281
2.7500000000000003e+20,2.157591625246007e+281
2.7600000000000003e+20,2.1466258588591777e+281
2.7700000000000003e+20,2.1357821733790048e+281
2.7800000000000003e+20,2.1250589802540688e+281
2.7900000000000003e+20,2.1144547176170932e+281
2.8000000000000003e+20,2.1039678497665374e+281
2.8100000000000003e+20,2.0935968666598566e+281
2.8200000000000003e+20,2.083340283418079e+281
2.8300000000000003e+20,2.0731966398414165e+281
2.8400000000000003e+20,2.063164499935661e+281
2.8500000000000003e+20,2.0532424514490658e+281
2.8600000000000003e+20,2.0434291054195046e+281
2.8700000000000003e+20,2.033723095731594e+281
2.8800000000000003e+20,2.024123078683562e+281
2.8900000000000003e+20,2.0146277325636426e+281
2.9000000000000003e+20,2.005235757235731e+281
2.9100000000000003e+20,1.9959458737340796e+281
2.9200000000000003e+20,1.9867568238668424e+281
2.9300000000000003e+20,1.9776673698281962e+281
2.9400000000000003e+20,1.9686762938189116e+281
2.9500000000000003e+20,1.959782397675085e+281
2.9600000000000007e+20,1.950984502504885e+281
2.9700000000000007e+20,1.9422814483331257e+281
2.9800000000000007e+20,1.9336720937534385e+281
