step,vortices_pos,vortices_neg,net_local_charge
0,19,19,0
1,15,15,0
2,13,13,0
3,14,12,2
4,10,9,1
5,9,11,-2
6,6,4,2
7,7,6,1
8,8,8,0
9,7,6,1
10,8,8,0
11,7,7,0
12,6,5,1
13,4,4,0
14,4,4,0
15,5,4,1
16,3,3,0
17,3,3,0
18,3,3,0
19,3,3,0
20,3,3,0
21,3,3,0
22,3,3,0
23,2,2,0
24,2,2,0
25,2,2,0
26,2,2,0
27,3,2,1
28,3,2,1
29,3,1,2
30,3,1,2
31,3,1,2
32,3,1,2
33,3,1,2
34,2,1,1
35,2,1,1
36,2,1,1
37,2,1,1
38,2,1,1
39,2,1,1
40,2,1,1
41,2,1,1
42,2,1,1
43,1,0,1
44,1,0,1
45,1,0,1
46,1,0,1
47,1,0,1
48,1,0,1
49,1,0,1
50,2,0,2
51,2,0,2
52,1,0,1
53,2,0,2
54,2,0,2
55,2,0,2
56,1,0,1
57,1,0,1
58,2,0,2
59,1,0,1
60,1,0,1
61,1,0,1
62,2,0,2
63,1,0,1
64,1,0,1
65,2,0,2
66,2,0,2
67,2,0,2
68,2,0,2
69,2,0,2
70,2,0,2
71,2,0,2
72,2,0,2
73,2,0,2
74,2,0,2
75,2,0,2
76,2,0,2
77,2,0,2
78,2,0,2
79,2,0,2
80,2,0,2
81,2,0,2
82,2,0,2
83,2,0,2
84,2,0,2
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,2,0,2
91,2,0,2
92,2,0,2
93,2,0,2
94,2,0,2
95,2,0,2
96,2,0,2
97,2,0,2
98,2,0,2
99,2,0,2
100,2,0,2
101,2,0,2
102,2,0,2
103,2,0,2
104,2,0,2
105,2,0,2
106,2,0,2
107,2,0,2
108,2,0,2
109,2,0,2
110,2,0,2
111,2,0,2
112,2,0,2
113,2,0,2
114,2,0,2
115,2,0,2
116,2,0,2
117,2,0,2
118,2,0,2
119,2,0,2
120,2,0,2
121,2,0,2
122,2,0,2
123,2,0,2
124,2,0,2
125,2,0,2
126,2,0,2
127,2,0,2
128,2,0,2
129,2,0,2
130,2,0,2
131,2,0,2
132,2,0,2
133,2,0,2
134,2,0,2
135,2,0,2
136,2,0,2
137,2,0,2
138,2,0,2
139,2,0,2
140,2,0,2
141,2,0,2
142,2,0,2
143,2,0,2
144,2,0,2
145,2,0,2
146,2,0,2
147,2,0,2
148,2,0,2
149,2,0,2
150,2,1,1
151,2,1,1
152,2,1,1
153,2,1,1
154,2,1,1
155,2,1,1
156,2,1,1
157,2,1,1
158,2,1,1
159,2,1,1
160,2,1,1
161,2,1,1
162,2,1,1
163,2,1,1
164,2,1,1
165,1,1,0
166,1,1,0
167,1,1,0
168,1,1,0
169,1,1,0
170,1,1,0
171,1,1,0
172,1,1,0
173,1,1,0
174,1,1,0
175,1,1,0
176,1,1,0
177,1,1,0
178,1,1,0
179,1,1,0
180,1,1,0
181,1,1,0
182,1,1,0
183,1,1,0
184,1,1,0
185,1,1,0
186,1,1,0
187,1,1,0
188,1,1,0
189,1,1,0
190,1,1,0
191,1,1,0
192,1,1,0
193,1,1,0
194,1,1,0
195,1,1,0
196,1,1,0
197,1,1,0
198,1,1,0
199,1,1,0
200,1,1,0
201,1,1,0
202,1,1,0
203,1,1,0
204,1,1,0
205,1,1,0
206,1,1,0
207,1,1,0
208,1,1,0
209,1,1,0
210,1,1,0
211,1,1,0
212,1,1,0
213,1,1,0
214,1,1,0
215,1,1,0
216,1,1,0
217,1,1,0
218,1,1,0
219,1,1,0
220,1,1,0
221,1,1,0
222,1,1,0
223,1,1,0
224,1,1,0
225,1,1,0
226,1,1,0
227,1,1,0
228,1,1,0
229,1,1,0
230,1,1,0
231,1,1,0
232,1,1,0
233,1,1,0
234,1,1,0
235,1,1,0
236,1,1,0
237,1,1,0
238,1,1,0
239,1,1,0
240,1,1,0
241,1,1,0
242,1,1,0
243,1,1,0
244,1,1,0
245,1,1,0
246,1,1,0
247,1,1,0
248,1,1,0
249,1,1,0
250,1,1,0
251,1,1,0
252,1,1,0
253,1,1,0
254,1,1,0
255,1,1,0
256,1,1,0
257,1,1,0
258,1,1,0
259,1,1,0
260,1,1,0
261,1,1,0
262,1,1,0
263,1,1,0
264,1,1,0
265,1,1,0
266,1,1,0
267,1,1,0
268,1,1,0
269,1,1,0
270,1,1,0
271,1,1,0
272,1,1,0
273,1,1,0
274,1,1,0
275,1,1,0
276,1,1,0
277,1,1,0
278,1,1,0
279,1,1,0
280,1,1,0
281,1,1,0
282,1,1,0
283,1,1,0
284,1,1,0
285,1,1,0
286,1,1,0
287,1,1,0
288,1,1,0
289,1,1,0
290,1,1,0
291,1,1,0
292,1,1,0
293,1,1,0
294,1,1,0
295,1,1,0
296,1,1,0
297,1,1,0
298,1,1,0
299,1,1,0
300,1,1,0
301,1,1,0
302,1,1,0
303,1,1,0
304,1,1,0
305,1,1,0
306,1,1,0
307,1,1,0
308,1,1,0
309,1,1,0
310,1,1,0
311,1,1,0
312,1,1,0
313,1,1,0
314,1,1,0
315,1,1,0
316,1,1,0
317,1,1,0
318,1,1,0
319,1,1,0
320,1,1,0
321,1,1,0
322,1,1,0
323,1,1,0
324,1,1,0
325,1,1,0
326,1,1,0
327,1,1,0
328,1,1,0
329,1,1,0
330,1,1,0
331,1,1,0
332,1,1,0
333,1,1,0
334,1,1,0
335,1,1,0
336,1,1,0
337,1,1,0
338,1,1,0
339,1,1,0
340,1,1,0
341,1,1,0
342,1,1,0
343,1,1,0
344,1,1,0
345,1,1,0
346,1,1,0
347,1,1,0
348,1,1,0
349,1,1,0
350,1,1,0
351,1,1,0
352,1,1,0
353,1,1,0
354,1,1,0
355,1,1,0
356,1,1,0
357,1,1,0
358,1,1,0
359,1,1,0
360,1,1,0
361,1,1,0
362,1,1,0
363,1,1,0
364,1,1,0
365,1,1,0
366,1,1,0
367,1,1,0
368,1,1,0
369,1,1,0
370,1,1,0
371,1,1,0
372,1,1,0
373,1,1,0
374,1,1,0
375,1,1,0
376,1,1,0
377,1,1,0
378,1,1,0
379,1,1,0
380,1,1,0
381,1,1,0
382,1,1,0
383,1,1,0
384,1,1,0
385,1,1,0
386,1,1,0
387,1,1,0
388,1,1,0
389,1,1,0
390,1,1,0
391,1,1,0
392,1,1,0
393,1,1,0
394,1,1,0
395,1,1,0
396,1,1,0
397,1,1,0
398,1,1,0
399,1,1,0
400,1,1,0
401,1,1,0
402,1,1,0
403,1,1,0
404,1,1,0
405,1,1,0
406,1,1,0
407,1,1,0
408,1,1,0
409,1,1,0
410,1,1,0
411,1,1,0
412,1,1,0
413,1,1,0
414,1,1,0
415,1,1,0
416,1,1,0
417,1,1,0
418,1,1,0
419,1,1,0
420,1,1,0
421,1,1,0
422,1,1,0
423,1,1,0
424,1,1,0
425,1,1,0
426,1,1,0
427,1,1,0
428,1,1,0
429,1,1,0
430,1,1,0
431,1,1,0
432,1,1,0
433,1,1,0
434,1,1,0
435,1,1,0
436,1,1,0
437,1,1,0
438,1,1,0
439,1,1,0
440,1,1,0
441,1,1,0
442,1,1,0
443,1,1,0
444,1,1,0
445,1,1,0
446,1,1,0
447,1,1,0
448,1,1,0
449,1,1,0
450,1,1,0
451,1,1,0
452,1,1,0
453,1,1,0
454,1,1,0
455,1,1,0
456,1,1,0
457,1,1,0
458,1,1,0
459,1,1,0
460,1,1,0
461,1,1,0
462,1,1,0
463,1,1,0
464,1,1,0
465,1,1,0
466,1,1,0
467,1,1,0
468,1,1,0
469,1,1,0
470,1,1,0
471,1,1,0
472,1,1,0
473,1,1,0
474,1,1,0
475,1,1,0
476,1,1,0
477,1,1,0
478,1,1,0
479,1,1,0
480,1,1,0
481,1,1,0
482,1,1,0
483,1,1,0
484,1,1,0
485,1,1,0
486,1,1,0
487,1,1,0
488,1,1,0
489,1,1,0
490,1,1,0
491,1,1,0
492,1,1,0
493,1,1,0
494,1,1,0
495,1,1,0
496,1,1,0
497,1,1,0
498,1,1,0
499,1,1,0
500,1,1,0
501,1,1,0
502,1,1,0
503,1,1,0
504,1,1,0
505,1,1,0
506,1,1,0
507,1,1,0
508,1,1,0
509,1,1,0
510,1,1,0
511,1,1,0
512,1,1,0
513,1,1,0
514,1,1,0
515,1,1,0
516,1,1,0
517,1,1,0
518,1,1,0
519,1,1,0
520,1,1,0
521,1,1,0
522,1,1,0
523,1,1,0
524,0,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,0,0,0
543,0,0,0
544,0,0,0
545,0,0,0
546,0,0,0
547,0,0,0
548,0,0,0
549,0,0,0
550,0,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,0,0,0
560,0,0,0
561,0,0,0
562,0,0,0
563,0,0,0
564,0,0,0
565,0,0,0
566,0,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
612,0,0,0
613,0,0,0
614,0,0,0
615,0,0,0
616,0,0,0
617,0,0,0
618,0,0,0
619,0,0,0
620,0,0,0
621,0,0,0
622,0,0,0
623,0,0,0
624,0,0,0
625,0,0,0
626,0,0,0
627,0,0,0
628,0,0,0
629,0,0,0
630,0,0,0
631,0,0,0
632,0,0,0
633,0,0,0
634,0,0,0
635,0,0,0
636,0,0,0
637,0,0,0
638,0,0,0
639,0,0,0
640,0,0,0
641,0,0,0
642,0,0,0
643,0,0,0
644,0,0,0
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,0,0,0
655,0,0,0
656,0,0,0
657,0,0,0
658,0,0,0
659,0,0,0
660,0,0,0
661,0,0,0
662,0,0,0
663,0,0,0
664,0,0,0
665,0,0,0
666,0,0,0
667,0,0,0
668,0,0,0
669,0,0,0
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,0,0,0
682,0,0,0
683,0,0,0
684,0,0,0
685,0,0,0
686,0,0,0
687,0,0,0
688,0,0,0
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,0,0,0
701,0,0,0
702,0,0,0
703,0,0,0
