step,num_pos,num_neg,net_charge,total_vortices
0,2308,2303,5,4611
1,1990,1984,6,3974
2,1700,1695,5,3395
3,1493,1487,6,2980
4,1314,1307,7,2621
5,1169,1160,9,2329
6,1048,1040,8,2088
7,922,913,9,1835
8,817,810,7,1627
9,755,749,6,1504
10,698,693,5,1391
11,637,632,5,1269
12,595,589,6,1184
13,564,561,3,1125
14,523,521,2,1044
15,483,482,1,965
16,439,440,-1,879
17,407,410,-3,817
18,392,395,-3,787
19,378,380,-2,758
20,365,368,-3,733
21,340,343,-3,683
22,328,330,-2,658
23,316,319,-3,635
24,305,308,-3,613
25,287,291,-4,578
26,265,269,-4,534
27,253,257,-4,510
28,239,242,-3,481
29,234,236,-2,470
30,229,230,-1,459
31,221,222,-1,443
32,218,218,0,436
33,205,206,-1,411
34,195,196,-1,391
35,189,190,-1,379
36,182,183,-1,365
37,171,172,-1,343
38,164,164,0,328
39,162,163,-1,325
40,153,154,-1,307
41,151,152,-1,303
42,149,151,-2,300
43,146,148,-2,294
44,142,144,-2,286
45,135,138,-3,273
46,127,130,-3,257
47,124,126,-2,250
48,122,124,-2,246
49,117,118,-1,235
50,117,118,-1,235
51,114,115,-1,229
52,112,113,-1,225
53,110,111,-1,221
54,109,110,-1,219
55,108,109,-1,217
56,105,106,-1,211
57,103,104,-1,207
58,102,102,0,204
59,100,100,0,200
60,99,99,0,198
61,94,95,-1,189
62,94,94,0,188
63,96,95,1,191
64,96,95,1,191
65,91,91,0,182
66,89,89,0,178
67,87,87,0,174
68,87,87,0,174
69,88,87,1,175
70,88,87,1,175
71,88,86,2,174
72,88,86,2,174
73,90,88,2,178
74,89,88,1,177
75,87,86,1,173
76,86,85,1,171
77,85,84,1,169
78,84,83,1,167
79,83,82,1,165
80,81,80,1,161
81,79,78,1,157
82,77,76,1,153
83,77,76,1,153
84,76,76,0,152
85,74,74,0,148
86,72,72,0,144
87,70,70,0,140
88,70,70,0,140
89,70,70,0,140
90,69,69,0,138
91,68,68,0,136
92,68,68,0,136
93,68,68,0,136
94,68,68,0,136
95,68,68,0,136
96,67,67,0,134
97,66,66,0,132
98,65,65,0,130
99,64,64,0,128
100,64,64,0,128
101,63,63,0,126
102,63,63,0,126
103,61,61,0,122
104,60,60,0,120
105,60,60,0,120
106,59,59,0,118
107,58,58,0,116
108,57,57,0,114
109,56,56,0,112
110,55,55,0,110
111,55,55,0,110
112,54,54,0,108
113,53,53,0,106
114,51,51,0,102
115,51,51,0,102
116,51,51,0,102
117,50,50,0,100
118,50,50,0,100
119,50,50,0,100
120,49,49,0,98
121,49,49,0,98
122,49,49,0,98
123,49,49,0,98
124,49,49,0,98
125,48,48,0,96
126,48,48,0,96
127,47,47,0,94
128,47,47,0,94
129,46,46,0,92
130,46,46,0,92
131,45,45,0,90
132,45,45,0,90
133,45,45,0,90
134,45,45,0,90
135,45,45,0,90
136,45,45,0,90
137,44,44,0,88
138,45,45,0,90
139,44,44,0,88
140,43,43,0,86
141,43,43,0,86
142,43,43,0,86
143,43,43,0,86
144,43,43,0,86
145,43,43,0,86
146,43,43,0,86
147,43,43,0,86
148,43,43,0,86
149,43,43,0,86
150,43,43,0,86
151,43,43,0,86
152,43,43,0,86
153,43,43,0,86
154,42,42,0,84
155,42,42,0,84
156,41,41,0,82
157,41,41,0,82
158,41,41,0,82
159,41,41,0,82
160,41,41,0,82
161,40,40,0,80
162,40,40,0,80
163,39,39,0,78
164,39,39,0,78
165,39,39,0,78
166,38,38,0,76
167,38,38,0,76
168,38,38,0,76
169,35,35,0,70
170,34,34,0,68
171,34,34,0,68
172,34,34,0,68
173,34,34,0,68
174,34,34,0,68
175,34,34,0,68
176,34,34,0,68
177,34,34,0,68
178,33,33,0,66
179,33,33,0,66
180,33,33,0,66
181,33,33,0,66
