frequency_Hz,amplitude
0.0,1.1455561567389984e+251
1.0000000000000001e+18,6.001176788831586e+282
2.0000000000000003e+18,5.995030565020706e+282
3.0000000000000005e+18,5.984815056866403e+282
4.0000000000000005e+18,5.970572256770965e+282
5.000000000000001e+18,5.952360350320453e+282
6.000000000000001e+18,5.930253126342515e+282
7.000000000000001e+18,5.904339237699165e+282
8.000000000000001e+18,5.874721326474457e+282
9.000000000000001e+18,5.841515029399964e+282
1.0000000000000002e+19,5.804847881091153e+282
1.1000000000000002e+19,5.764858133911436e+282
1.2000000000000002e+19,5.721693514024066e+282
1.3000000000000002e+19,5.675509933438733e+282
1.4000000000000002e+19,5.626470177631713e+282
1.5000000000000002e+19,5.574742587653032e+282
1.6000000000000002e+19,5.520499754580097e+282
1.7000000000000002e+19,5.463917242794484e+282
1.8000000000000002e+19,5.405172356911583e+282
1.9000000000000004e+19,5.344442965350245e+282
2.0000000000000004e+19,5.281906391559094e+282
2.1000000000000004e+19,5.217738381883721e+282
2.2000000000000004e+19,5.152112157024313e+282
2.3000000000000004e+19,5.085197552050402e+282
2.4000000000000004e+19,5.017160248054057e+282
2.5000000000000004e+19,4.948161096772004e+282
2.6000000000000004e+19,4.87835553791893e+282
2.7000000000000004e+19,4.807893107568962e+282
2.8000000000000004e+19,4.736917034710477e+282
2.9000000000000004e+19,4.665563922086427e+282
3.0000000000000004e+19,4.5939635066151984e+282
3.1000000000000004e+19,4.5222384940588184e+282
3.2000000000000004e+19,4.450504462154435e+282
3.3000000000000004e+19,4.378869826136317e+282
3.4000000000000004e+19,4.307435860433069e+282
3.5000000000000004e+19,4.236296770309295e+282
3.6000000000000004e+19,4.165539807314831e+282
3.700000000000001e+19,4.0952454225891836e+282
3.800000000000001e+19,4.0254874523264317e+282
3.900000000000001e+19,3.9563333300199335e+282
4.000000000000001e+19,3.8878443204619616e+282
4.100000000000001e+19,3.8200757708570503e+282
4.200000000000001e+19,3.753077374807559e+282
4.300000000000001e+19,3.686893445335765e+282
4.400000000000001e+19,3.6215631935100666e+282
4.500000000000001e+19,3.557121009636386e+282
4.600000000000001e+19,3.493596744354791e+282
4.700000000000001e+19,3.4310159873405893e+282
4.800000000000001e+19,3.3694003416464317e+282
4.900000000000001e+19,3.3087676920348723e+282
5.000000000000001e+19,3.2491324659382117e+282
5.100000000000001e+19,3.1905058859439713e+282
5.200000000000001e+19,3.1328962129401746e+282
5.300000000000001e+19,3.076308979265155e+282
5.400000000000001e+19,3.0207472113931376e+282
5.500000000000001e+19,2.9662116418503065e+282
5.600000000000001e+19,2.912700910198149e+282
5.700000000000001e+19,2.860211753043052e+282
5.800000000000001e+19,2.8087391831348035e+282
5.900000000000001e+19,2.7582766577039336e+282
6.000000000000001e+19,2.708816236259809e+282
6.100000000000001e+19,2.6603487281300177e+282
6.200000000000001e+19,2.612863830068205e+282
6.300000000000001e+19,2.566350254293497e+282
6.400000000000001e+19,2.5207958473514304e+282
6.500000000000001e+19,2.47618770020506e+282
6.600000000000001e+19,2.4325122499767073e+282
6.700000000000001e+19,2.3897553737667497e+282
6.800000000000001e+19,2.3479024749767546e+282
6.900000000000001e+19,2.3069385625610997e+282
7.000000000000001e+19,2.2668483236245e+282
7.100000000000001e+19,2.2276161897735016e+282
7.200000000000001e+19,2.189226397618268e+282
7.300000000000001e+19,2.151663043807704e+282
7.400000000000002e+19,2.1149101349661919e+282
7.500000000000002e+19,2.0789516328847366e+282
7.600000000000002e+19,2.0437714953029755e+282
7.700000000000002e+19,2.0093537126020701e+282
7.800000000000002e+19,1.9756823407117169e+282
7.900000000000002e+19,1.9427415305179722e+282
8.000000000000002e+19,1.9105155540420932e+282
8.100000000000002e+19,1.8789888276445678e+282
8.200000000000002e+19,1.8481459324928511e+282
8.300000000000002e+19,1.8179716325161272e+282
8.400000000000002e+19,1.7884508900559112e+282
8.500000000000002e+19,1.7595688794072586e+282
8.600000000000002e+19,1.7313109984320038e+282
8.700000000000002e+19,1.7036628784127962e+282
8.800000000000002e+19,1.6766103923045902e+282
8.900000000000002e+19,1.650139661528856e+282
9.000000000000002e+19,1.6242370614450533e+282
9.100000000000002e+19,1.5988892256237687e+282
9.200000000000002e+19,1.5740830490363707e+282
9.300000000000002e+19,1.5498056902671804e+282
9.400000000000002e+19,1.5260445728457974e+282
9.500000000000002e+19,1.5027873857893938e+282
9.600000000000002e+19,1.480022083437577e+282
9.700000000000002e+19,1.4577368846556271e+282
9.800000000000002e+19,1.4359202714756205e+282
9.900000000000002e+19,1.4145609872391244e+282
1.0000000000000002e+20,1.3936480342997336e+282
1.0100000000000002e+20,1.3731706713386387e+282
1.0200000000000002e+20,1.3531184103418954e+282
1.0300000000000002e+20,1.333481013283599e+282
1.0400000000000002e+20,1.3142484885553763e+282
1.0500000000000002e+20,1.2954110871787935e+282
1.0600000000000002e+20,1.276959298834014e+282
1.0700000000000002e+20,1.258883847734885e+282
1.0800000000000002e+20,1.241175688377766e+282
1.0900000000000002e+20,1.223826001188815e+282
1.1000000000000002e+20,1.2068261880920105e+282
1.1100000000000002e+20,1.1901678680179747e+282
1.1200000000000002e+20,1.1738428723716427e+282
1.1300000000000002e+20,1.1578432404749597e+282
1.1400000000000002e+20,1.1421612149990676e+282
1.1500000000000002e+20,1.1267892373989073e+282
1.1600000000000002e+20,1.1117199433617257e+282
1.1700000000000002e+20,1.0969461582796832e+282
1.1800000000000002e+20,1.0824608927555628e+282
1.1900000000000002e+20,1.0682573381495166e+282
1.2000000000000002e+20,1.0543288621737901e+282
1.2100000000000002e+20,1.040669004541464e+282
1.2200000000000002e+20,1.0272714726744716e+282
1.2300000000000002e+20,1.0141301374753759e+282
1.2400000000000002e+20,1.0012390291667317e+282
1.2500000000000002e+20,9.885923332012885e+281
1.2600000000000002e+20,9.761843862456717e+281
1.2700000000000002e+20,9.640096722397756e+281
1.2800000000000002e+20,9.520628185335647e+281
1.2900000000000002e+20,9.403385921026665e+281
1.3000000000000002e+20,9.288318958436977e+281
1.3100000000000002e+20,9.1753776495002e+281
1.3200000000000002e+20,9.064513633682726e+281
1.3300000000000002e+20,8.955679803358024e+281
1.3400000000000002e+20,8.848830269988877e+281
1.3500000000000002e+20,8.74392033111428e+281
1.3600000000000002e+20,8.640906438136001e+281
1.3700000000000002e+20,8.539746164898433e+281
1.3800000000000002e+20,8.440398177053656e+281
1.3900000000000002e+20,8.342822202202613e+281
1.4000000000000002e+20,8.24697900080227e+281
1.4100000000000002e+20,8.152830337827588e+281
1.4200000000000002e+20,8.060338955176556e+281
1.4300000000000002e+20,7.969468544805624e+281
1.4400000000000002e+20,7.880183722582677e+281
1.4500000000000002e+20,7.79245000284384e+281
1.4600000000000002e+20,7.706233773640403e+281
1.4700000000000002e+20,7.621502272661667e+281
