frequency_Hz,amplitude
0.0,5.481665203145598e+249
1.0000000000000001e+18,7.960246125886713e+281
2.0000000000000003e+18,7.952097329266531e+281
3.0000000000000005e+18,7.938553370178748e+281
4.0000000000000005e+18,7.919669897675936e+281
5.000000000000001e+18,7.895524020656339e+281
6.000000000000001e+18,7.866213526406443e+281
7.000000000000001e+18,7.831855901410749e+281
8.000000000000001e+18,7.7925871725155e+281
9.000000000000001e+18,7.748560589424331e+281
1.0000000000000002e+19,7.699945171795054e+281
1.1000000000000002e+19,7.646924145854882e+281
1.2000000000000002e+19,7.589693296436516e+281
1.3000000000000002e+19,7.528459260665569e+281
1.4000000000000002e+19,7.46343778922937e+281
1.5000000000000002e+19,7.394852000277159e+281
1.6000000000000002e+19,7.322930649608011e+281
1.7000000000000002e+19,7.247906438972536e+281
1.8000000000000002e+19,7.170014382135254e+281
1.9000000000000004e+19,7.089490245905254e+281
2.0000000000000004e+19,7.006569080734588e+281
2.1000000000000004e+19,6.921483852792775e+281
2.2000000000000004e+19,6.83446418673182e+281
2.3000000000000004e+19,6.745735225730436e+281
2.4000000000000004e+19,6.65551661290925e+281
2.5000000000000004e+19,6.56402159588941e+281
2.6000000000000004e+19,6.471456254163592e+281
2.7000000000000004e+19,6.378018847086015e+281
2.8000000000000004e+19,6.283899278682506e+281
2.9000000000000004e+19,6.189278674138936e+281
3.0000000000000004e+19,6.09432906174282e+281
3.1000000000000004e+19,5.999213153219891e+281
3.2000000000000004e+19,5.904084214808756e+281
3.3000000000000004e+19,5.809086021033591e+281
3.4000000000000004e+19,5.714352882944444e+281
3.5000000000000004e+19,5.620009742573488e+281
3.6000000000000004e+19,5.526172325478823e+281
3.700000000000001e+19,5.432947343490819e+281
3.800000000000001e+19,5.3404327401165635e+281
3.900000000000001e+19,5.2487179714732546e+281
4.000000000000001e+19,5.1578843160920655e+281
4.100000000000001e+19,5.0680052074417086e+281
4.200000000000001e+19,4.9791465835500705e+281
4.300000000000001e+19,4.8913672486395745e+281
4.400000000000001e+19,4.804719242225796e+281
4.500000000000001e+19,4.719248211650243e+281
4.600000000000001e+19,4.63499378451983e+281
4.700000000000001e+19,4.5519899380017544e+281
4.800000000000001e+19,4.470265362369183e+281
4.900000000000001e+19,4.389843816607774e+281
5.000000000000001e+19,4.310744474274005e+281
5.100000000000001e+19,4.232982258142815e+281
5.200000000000001e+19,4.156568162494706e+281
5.300000000000001e+19,4.0815095621715025e+281
5.400000000000001e+19,4.007810507777405e+281
5.500000000000001e+19,3.935472006618605e+281
5.600000000000001e+19,3.864492289163256e+281
5.700000000000001e+19,3.7948670609656384e+281
5.800000000000001e+19,3.7265897401358916e+281
5.900000000000001e+19,3.6596516805525433e+281
6.000000000000001e+19,3.5940423811105806e+281
6.100000000000001e+19,3.5297496813756656e+281
6.200000000000001e+19,3.466759944076973e+281
6.300000000000001e+19,3.405058224919022e+281
6.400000000000001e+19,3.3446284302284296e+281
6.500000000000001e+19,3.2854534629764516e+281
6.600000000000001e+19,3.2275153577340196e+281
6.700000000000001e+19,3.1707954051237916e+281
6.800000000000001e+19,3.1152742663352013e+281
6.900000000000001e+19,3.0609320782642027e+281
7.000000000000001e+19,3.0077485498306925e+281
7.100000000000001e+19,2.955703050014183e+281
7.200000000000001e+19,2.904774688132867e+281
7.300000000000001e+19,2.854942386873582e+281
7.400000000000002e+19,2.8061849485607427e+281
7.500000000000002e+19,2.7584811151317206e+281
7.600000000000002e+19,2.711809622264677e+281
7.700000000000002e+19,2.6661492480829273e+281
7.800000000000002e+19,2.621478856837844e+281
