step,num_pos,num_neg,net_charge,total_vortices
0,2270,2267,3,4537
1,1946,1944,2,3890
2,1675,1673,2,3348
3,1469,1469,0,2938
4,1299,1302,-3,2601
5,1166,1167,-1,2333
6,1021,1021,0,2042
7,932,932,0,1864
8,831,830,1,1661
9,761,759,2,1520
10,696,693,3,1389
11,638,635,3,1273
12,575,571,4,1146
13,532,528,4,1060
14,502,498,4,1000
15,478,473,5,951
16,454,450,4,904
17,429,425,4,854
18,400,398,2,798
19,369,368,1,737
20,356,354,2,710
21,328,327,1,655
22,318,317,1,635
23,307,306,1,613
24,294,293,1,587
25,285,284,1,569
26,275,273,2,548
27,270,267,3,537
28,261,257,4,518
29,251,248,3,499
30,243,240,3,483
31,231,228,3,459
32,221,217,4,438
33,217,213,4,430
34,211,207,4,418
35,207,204,3,411
36,206,203,3,409
37,199,197,2,396
38,193,191,2,384
39,185,182,3,367
40,177,175,2,352
41,175,172,3,347
42,175,171,4,346
43,171,166,5,337
44,165,162,3,327
45,158,156,2,314
46,156,155,1,311
47,154,153,1,307
48,147,146,1,293
49,144,143,1,287
50,142,141,1,283
51,136,135,1,271
52,132,131,1,263
53,131,129,2,260
54,130,127,3,257
55,124,121,3,245
56,122,119,3,241
57,121,118,3,239
58,120,117,3,237
59,122,119,3,241
60,119,116,3,235
61,116,113,3,229
62,109,106,3,215
63,105,103,2,208
64,104,102,2,206
65,105,103,2,208
66,104,102,2,206
67,103,101,2,204
68,101,99,2,200
69,98,97,1,195
70,101,100,1,201
71,100,100,0,200
72,99,98,1,197
73,94,93,1,187
74,91,90,1,181
75,87,86,1,173
76,84,83,1,167
77,82,81,1,163
78,80,79,1,159
79,80,79,1,159
80,79,78,1,157
81,77,76,1,153
82,76,75,1,151
83,76,75,1,151
84,76,75,1,151
85,76,75,1,151
86,76,75,1,151
87,75,74,1,149
88,75,74,1,149
89,74,73,1,147
90,74,73,1,147
91,73,72,1,145
92,72,72,0,144
93,72,72,0,144
94,72,72,0,144
95,71,71,0,142
96,71,71,0,142
97,71,71,0,142
98,71,71,0,142
99,70,70,0,140
100,69,69,0,138
101,69,69,0,138
102,71,71,0,142
103,68,68,0,136
104,67,67,0,134
105,66,66,0,132
106,64,64,0,128
107,61,61,0,122
108,61,61,0,122
109,60,60,0,120
110,59,59,0,118
111,59,59,0,118
112,59,59,0,118
113,59,59,0,118
114,60,60,0,120
115,59,59,0,118
116,58,58,0,116
117,58,58,0,116
118,57,57,0,114
119,57,57,0,114
120,57,57,0,114
121,57,57,0,114
122,57,57,0,114
123,57,57,0,114
124,55,55,0,110
125,55,55,0,110
126,54,54,0,108
127,53,53,0,106
128,52,52,0,104
129,52,52,0,104
130,51,51,0,102
131,50,50,0,100
132,49,49,0,98
133,47,47,0,94
134,46,46,0,92
135,45,45,0,90
136,45,45,0,90
137,44,44,0,88
138,43,44,-1,87
139,43,44,-1,87
140,45,46,-1,91
141,45,46,-1,91
142,45,46,-1,91
143,46,47,-1,93
144,45,46,-1,91
145,45,46,-1,91
146,45,46,-1,91
147,44,45,-1,89
148,44,45,-1,89
149,43,44,-1,87
150,43,44,-1,87
151,42,43,-1,85
152,43,44,-1,87
153,42,43,-1,85
154,42,43,-1,85
155,42,43,-1,85
156,42,43,-1,85
157,42,43,-1,85
158,41,42,-1,83
159,41,42,-1,83
160,40,41,-1,81
161,40,41,-1,81
162,40,41,-1,81
163,40,41,-1,81
164,40,41,-1,81
165,40,41,-1,81
166,40,41,-1,81
167,40,41,-1,81
168,40,41,-1,81
169,40,41,-1,81
170,40,41,-1,81
171,40,41,-1,81
172,40,41,-1,81
173,40,41,-1,81
174,40,41,-1,81
175,40,41,-1,81
176,40,40,0,80
177,40,40,0,80
178,40,40,0,80
179,39,39,0,78
180,40,39,1,79
181,40,39,1,79
182,40,39,1,79
183,40,39,1,79
184,40,39,1,79
185,41,40,1,81
186,41,40,1,81
187,41,40,1,81
188,41,40,1,81
189,41,40,1,81
190,41,40,1,81
191,41,40,1,81
192,41,40,1,81
193,41,40,1,81
194,41,40,1,81
195,41,40,1,81
196,41,40,1,81
197,40,39,1,79
198,40,39,1,79
199,40,39,1,79
200,40,39,1,79
201,40,39,1,79
202,40,39,1,79
203,40,39,1,79
204,40,39,1,79
205,39,38,1,77
206,39,38,1,77
207,39,38,1,77
208,39,38,1,77
209,38,37,1,75
210,38,37,1,75
211,38,37,1,75
212,38,37,1,75
213,38,37,1,75
214,38,37,1,75
215,37,36,1,73
216,36,36,0,72
217,36,35,1,71
218,35,34,1,69
219,35,34,1,69
220,35,34,1,69
221,35,34,1,69
222,35,34,1,69
223,35,34,1,69
224,35,34,1,69
225,35,34,1,69
226,35,34,1,69
227,35,34,1,69
228,34,33,1,67
229,33,32,1,65
230,33,32,1,65
231,33,32,1,65
232,33,32,1,65
233,33,32,1,65
234,33,32,1,65
235,33,32,1,65
236,33,32,1,65
237,33,32,1,65
238,33,32,1,65
239,33,32,1,65
240,33,32,1,65
241,33,32,1,65
242,33,32,1,65
243,33,32,1,65
244,33,32,1,65
245,32,31,1,63
246,32,31,1,63
247,32,31,1,63
248,32,31,1,63
249,32,31,1,63
250,32,31,1,63
251,32,31,1,63
252,32,31,1,63
253,32,31,1,63
254,32,31,1,63
255,32,31,1,63
256,32,31,1,63
257,32,31,1,63
258,32,31,1,63
259,32,31,1,63
260,31,30,1,61
261,30,29,1,59
262,30,29,1,59
263,30,29,1,59
264,30,29,1,59
265,30,29,1,59
266,30,29,1,59
267,29,28,1,57
268,29,28,1,57
269,29,28,1,57
270,29,28,1,57
271,29,28,1,57
272,29,28,1,57
273,29,28,1,57
274,29,28,1,57
275,29,28,1,57
276,29,28,1,57
277,29,28,1,57
278,29,28,1,57
279,30,29,1,59
280,30,29,1,59
281,29,28,1,57
282,29,28,1,57
283,29,28,1,57
284,29,28,1,57
285,28,27,1,55
286,28,27,1,55
287,28,27,1,55
288,28,27,1,55
289,28,27,1,55
290,28,27,1,55
291,28,27,1,55
292,28,27,1,55
293,28,27,1,55
294,28,27,1,55
295,28,27,1,55
296,28,27,1,55
297,28,27,1,55
298,28,27,1,55
299,28,27,1,55
300,27,26,1,53
301,27,26,1,53
302,27,26,1,53
303,27,26,1,53
304,27,26,1,53
305,27,26,1,53
306,26,25,1,51
307,26,25,1,51
308,26,25,1,51
309,26,25,1,51
310,26,25,1,51
311,26,25,1,51
312,26,25,1,51
313,26,25,1,51
314,26,25,1,51
315,26,25,1,51
316,26,25,1,51
317,26,25,1,51
318,25,24,1,49
319,25,24,1,49
320,25,24,1,49
321,25,24,1,49
322,24,23,1,47
323,24,23,1,47
324,24,23,1,47
325,24,23,1,47
326,24,23,1,47
327,24,23,1,47
328,24,23,1,47
329,24,23,1,47
330,24,23,1,47
331,24,23,1,47
332,24,23,1,47
333,24,23,1,47
334,24,24,0,48
335,24,24,0,48
336,24,24,0,48
337,24,24,0,48
338,24,24,0,48
339,24,24,0,48
340,24,24,0,48
341,24,24,0,48
342,24,24,0,48
343,24,24,0,48
344,24,24,0,48
345,24,24,0,48
346,24,24,0,48
347,24,24,0,48
348,24,24,0,48
349,23,23,0,46
350,23,23,0,46
351,23,23,0,46
352,23,23,0,46
353,23,23,0,46
354,23,23,0,46
355,23,23,0,46
356,23,23,0,46
357,23,23,0,46
358,23,22,1,45
359,23,22,1,45
360,23,22,1,45
361,23,22,1,45
362,23,22,1,45
363,23,22,1,45
364,23,22,1,45
365,23,22,1,45
366,23,22,1,45
367,23,22,1,45
368,23,22,1,45
369,23,22,1,45
370,23,22,1,45
371,23,22,1,45
372,23,22,1,45
373,23,22,1,45
374,23,22,1,45
375,22,21,1,43
376,22,21,1,43
377,22,21,1,43
378,21,21,0,42
379,21,21,0,42
380,21,21,0,42
381,21,21,0,42
382,21,21,0,42
383,21,21,0,42
384,21,21,0,42
385,21,21,0,42
386,21,21,0,42
387,21,21,0,42
388,21,21,0,42
389,21,21,0,42
390,21,21,0,42
391,21,21,0,42
392,21,21,0,42
393,21,21,0,42
394,21,21,0,42
395,21,21,0,42
396,20,20,0,40
397,20,20,0,40
398,20,20,0,40
399,20,20,0,40
400,20,20,0,40
401,20,20,0,40
402,20,20,0,40
403,20,20,0,40
404,19,19,0,38
405,19,19,0,38
406,19,19,0,38
407,19,19,0,38
408,19,19,0,38
409,19,19,0,38
410,19,19,0,38
411,19,19,0,38
412,19,19,0,38
413,19,19,0,38
414,19,19,0,38
415,19,19,0,38
416,19,19,0,38
417,19,19,0,38
418,19,19,0,38
419,19,19,0,38
420,19,19,0,38
421,19,19,0,38
422,19,19,0,38
423,19,19,0,38
424,19,19,0,38
425,18,18,0,36
426,18,18,0,36
427,18,18,0,36
428,18,18,0,36
429,18,18,0,36
430,18,18,0,36
431,18,18,0,36
432,18,18,0,36
433,18,18,0,36
434,18,18,0,36
435,18,18,0,36
436,18,18,0,36
437,18,18,0,36
438,18,18,0,36
439,18,18,0,36
440,18,18,0,36
441,18,18,0,36
442,18,18,0,36
443,18,18,0,36
444,18,18,0,36
445,18,18,0,36
446,18,18,0,36
447,18,18,0,36
448,18,18,0,36
449,18,18,0,36
450,18,18,0,36
451,18,18,0,36
452,18,18,0,36
453,18,18,0,36
454,18,18,0,36
455,18,18,0,36
456,18,18,0,36
457,18,18,0,36
458,18,18,0,36
459,18,18,0,36
460,18,18,0,36
461,18,18,0,36
462,18,18,0,36
463,18,18,0,36
464,18,18,0,36
465,18,18,0,36
466,18,18,0,36
467,18,18,0,36
468,18,18,0,36
469,18,18,0,36
470,18,18,0,36
471,18,18,0,36
472,18,18,0,36
473,18,18,0,36
474,18,18,0,36
475,18,18,0,36
476,18,18,0,36
477,18,18,0,36
478,18,18,0,36
479,18,18,0,36
480,18,18,0,36
481,18,18,0,36
482,18,18,0,36
483,18,18,0,36
484,18,18,0,36
485,18,18,0,36
486,18,18,0,36
487,18,18,0,36
488,18,18,0,36
489,18,18,0,36
490,18,18,0,36
491,18,18,0,36
492,18,18,0,36
493,18,18,0,36
494,18,18,0,36
495,18,18,0,36
496,18,18,0,36
497,18,18,0,36
498,18,18,0,36
499,18,18,0,36
500,18,18,0,36
501,18,18,0,36
502,18,18,0,36
503,18,18,0,36
504,17,17,0,34
505,17,17,0,34
506,17,17,0,34
507,17,17,0,34
508,17,17,0,34
509,17,17,0,34
510,17,17,0,34
511,17,17,0,34
512,17,17,0,34
513,17,17,0,34
514,17,17,0,34
515,17,17,0,34
516,17,17,0,34
517,17,17,0,34
518,17,17,0,34
519,17,17,0,34
520,17,17,0,34
521,17,17,0,34
522,17,17,0,34
523,17,17,0,34
524,17,17,0,34
525,17,17,0,34
526,17,17,0,34
527,16,16,0,32
528,16,16,0,32
529,16,16,0,32
530,16,16,0,32
531,15,15,0,30
532,14,14,0,28
533,14,14,0,28
534,14,14,0,28
535,14,14,0,28
536,14,14,0,28
537,14,14,0,28
538,14,14,0,28
539,14,14,0,28
540,14,14,0,28
541,14,14,0,28
542,14,14,0,28
543,14,14,0,28
544,14,14,0,28
545,14,14,0,28
546,14,14,0,28
547,14,14,0,28
548,14,14,0,28
549,13,13,0,26
550,13,13,0,26
551,13,13,0,26
552,13,13,0,26
553,13,13,0,26
554,13,13,0,26
555,13,13,0,26
556,13,13,0,26
557,13,13,0,26
558,13,13,0,26
559,13,13,0,26
560,13,13,0,26
561,13,13,0,26
562,12,12,0,24
563,12,12,0,24
564,12,12,0,24
565,12,12,0,24
566,11,12,-1,23
567,11,12,-1,23
568,11,12,-1,23
569,11,12,-1,23
570,11,12,-1,23
571,11,12,-1,23
572,11,12,-1,23
573,11,12,-1,23
574,11,12,-1,23
575,11,12,-1,23
576,11,12,-1,23
577,11,12,-1,23
578,11,12,-1,23
579,11,12,-1,23
580,11,12,-1,23
581,11,12,-1,23
582,11,12,-1,23
583,11,12,-1,23
584,11,12,-1,23
585,11,12,-1,23
586,11,12,-1,23
587,11,12,-1,23
588,11,12,-1,23
589,11,12,-1,23
590,11,12,-1,23
591,10,11,-1,21
592,10,11,-1,21
593,10,11,-1,21
594,10,11,-1,21
595,10,11,-1,21
596,10,11,-1,21
597,10,11,-1,21
598,10,10,0,20
599,10,10,0,20
600,10,10,0,20
601,10,10,0,20
602,10,10,0,20
603,10,10,0,20
604,10,10,0,20
605,10,10,0,20
606,10,10,0,20
607,10,10,0,20
608,10,10,0,20
609,10,10,0,20
610,10,10,0,20
611,10,10,0,20
612,10,10,0,20
613,10,10,0,20
614,10,10,0,20
615,10,10,0,20
616,10,10,0,20
617,10,10,0,20
618,10,10,0,20
619,10,10,0,20
620,10,10,0,20
621,10,10,0,20
622,10,10,0,20
623,10,10,0,20
624,10,10,0,20
625,10,10,0,20
626,10,10,0,20
627,10,10,0,20
628,10,10,0,20
629,10,10,0,20
630,10,10,0,20
631,10,10,0,20
632,10,10,0,20
633,10,10,0,20
634,10,10,0,20
635,10,10,0,20
636,10,10,0,20
637,10,10,0,20
638,10,10,0,20
639,10,10,0,20
640,10,10,0,20
641,10,10,0,20
642,10,10,0,20
643,10,10,0,20
644,10,10,0,20
645,10,10,0,20
646,10,10,0,20
647,10,10,0,20
648,10,10,0,20
649,10,10,0,20
650,10,10,0,20
651,10,10,0,20
652,10,10,0,20
653,10,10,0,20
654,10,10,0,20
655,10,10,0,20
656,10,10,0,20
657,10,10,0,20
658,10,10,0,20
659,10,10,0,20
660,10,10,0,20
661,10,10,0,20
662,10,10,0,20
663,10,10,0,20
664,10,10,0,20
665,10,10,0,20
666,10,10,0,20
667,9,9,0,18
668,9,9,0,18
669,9,9,0,18
670,9,9,0,18
671,9,9,0,18
672,8,8,0,16
673,8,8,0,16
674,8,8,0,16
675,8,8,0,16
676,8,8,0,16
677,8,8,0,16
678,8,8,0,16
679,8,8,0,16
680,9,9,0,18
681,9,9,0,18
682,9,9,0,18
683,9,9,0,18
684,9,9,0,18
685,9,9,0,18
686,9,9,0,18
687,9,9,0,18
688,9,9,0,18
689,9,9,0,18
690,9,9,0,18
691,9,9,0,18
692,9,9,0,18
693,9,9,0,18
694,9,9,0,18
695,9,9,0,18
696,9,9,0,18
697,9,9,0,18
698,9,9,0,18
699,9,9,0,18
700,9,9,0,18
701,9,9,0,18
702,9,9,0,18
703,9,9,0,18
704,9,9,0,18
705,9,9,0,18
706,9,9,0,18
707,9,9,0,18
708,9,9,0,18
709,9,9,0,18
710,9,9,0,18
711,9,9,0,18
712,9,9,0,18
713,9,9,0,18
714,9,9,0,18
715,9,9,0,18
716,9,9,0,18
717,9,9,0,18
718,9,9,0,18
719,9,9,0,18
720,9,9,0,18
721,9,9,0,18
722,9,9,0,18
723,9,9,0,18
724,9,9,0,18
725,9,9,0,18
726,9,9,0,18
727,9,9,0,18
728,9,9,0,18
729,9,9,0,18
730,9,9,0,18
731,9,9,0,18
732,9,9,0,18
733,9,9,0,18
734,9,9,0,18
735,9,9,0,18
736,9,9,0,18
737,9,9,0,18
738,9,9,0,18
739,9,9,0,18
740,9,9,0,18
741,9,9,0,18
742,9,9,0,18
743,9,9,0,18
744,9,9,0,18
745,8,9,-1,17
746,8,9,-1,17
747,8,9,-1,17
748,8,9,-1,17
749,8,9,-1,17
750,8,9,-1,17
751,8,9,-1,17
752,8,9,-1,17
753,8,9,-1,17
754,8,9,-1,17
755,8,9,-1,17
756,8,9,-1,17
757,8,9,-1,17
758,8,9,-1,17
759,8,9,-1,17
760,8,9,-1,17
761,8,9,-1,17
762,8,9,-1,17
763,8,9,-1,17
764,8,9,-1,17
765,8,9,-1,17
766,8,9,-1,17
767,8,9,-1,17
768,8,9,-1,17
769,8,9,-1,17
770,8,9,-1,17
771,8,9,-1,17
772,8,9,-1,17
773,8,9,-1,17
774,8,9,-1,17
775,8,9,-1,17
776,8,9,-1,17
777,8,9,-1,17
778,8,9,-1,17
779,8,9,-1,17
780,9,9,0,18
781,9,9,0,18
782,9,9,0,18
783,9,9,0,18
784,9,9,0,18
785,9,9,0,18
786,9,9,0,18
787,9,9,0,18
788,9,9,0,18
789,9,9,0,18
790,9,9,0,18
791,9,9,0,18
792,9,9,0,18
793,9,9,0,18
794,9,9,0,18
795,9,9,0,18
796,9,9,0,18
797,9,9,0,18
798,9,9,0,18
799,9,9,0,18
800,9,9,0,18
801,9,9,0,18
802,9,9,0,18
803,9,9,0,18
804,9,9,0,18
805,9,9,0,18
806,9,9,0,18
807,8,8,0,16
808,8,8,0,16
809,8,8,0,16
810,8,8,0,16
811,8,8,0,16
812,8,8,0,16
813,8,8,0,16
814,8,8,0,16
815,8,8,0,16
816,8,8,0,16
817,8,8,0,16
818,7,7,0,14
819,7,7,0,14
820,7,7,0,14
821,7,7,0,14
822,7,7,0,14
823,7,7,0,14
824,7,7,0,14
825,7,7,0,14
826,7,7,0,14
827,7,7,0,14
828,7,7,0,14
829,7,7,0,14
830,7,7,0,14
831,7,7,0,14
832,7,7,0,14
833,7,7,0,14
834,7,7,0,14
835,7,7,0,14
836,7,7,0,14
837,7,7,0,14
838,7,7,0,14
839,7,7,0,14
840,7,7,0,14
841,7,7,0,14
842,7,7,0,14
843,7,7,0,14
844,7,7,0,14
845,7,7,0,14
846,7,7,0,14
847,7,7,0,14
848,7,7,0,14
849,7,7,0,14
850,7,7,0,14
851,7,7,0,14
852,7,7,0,14
853,7,7,0,14
854,7,7,0,14
855,7,7,0,14
856,7,7,0,14
857,7,7,0,14
858,7,7,0,14
859,7,7,0,14
860,7,7,0,14
861,7,7,0,14
862,7,7,0,14
863,7,7,0,14
864,7,7,0,14
865,7,7,0,14
866,7,7,0,14
867,7,7,0,14
868,7,7,0,14
869,7,7,0,14
870,7,7,0,14
871,7,7,0,14
872,7,7,0,14
873,7,7,0,14
874,7,7,0,14
875,7,7,0,14
876,7,7,0,14
877,7,7,0,14
878,7,7,0,14
879,7,7,0,14
880,7,7,0,14
881,7,7,0,14
882,7,7,0,14
883,7,7,0,14
884,7,7,0,14
885,7,7,0,14
886,7,7,0,14
887,7,7,0,14
888,7,7,0,14
889,7,7,0,14
890,7,7,0,14
891,7,7,0,14
892,7,7,0,14
893,7,7,0,14
894,7,7,0,14
895,7,7,0,14
896,7,7,0,14
897,7,7,0,14
898,7,7,0,14
899,7,7,0,14
900,7,7,0,14
901,7,7,0,14
902,7,7,0,14
903,7,7,0,14
904,7,7,0,14
905,7,7,0,14
906,7,7,0,14
907,7,7,0,14
908,7,7,0,14
909,7,7,0,14
910,7,7,0,14
911,7,7,0,14
912,6,7,-1,13
913,6,7,-1,13
914,6,7,-1,13
915,6,7,-1,13
916,6,7,-1,13
917,6,7,-1,13
918,6,7,-1,13
919,6,7,-1,13
920,6,7,-1,13
921,6,7,-1,13
922,6,7,-1,13
923,6,6,0,12
924,6,6,0,12
925,6,6,0,12
926,6,6,0,12
927,6,6,0,12
928,6,6,0,12
929,6,6,0,12
930,6,6,0,12
931,6,6,0,12
932,6,6,0,12
933,6,6,0,12
934,6,6,0,12
935,6,6,0,12
936,6,6,0,12
937,6,6,0,12
938,6,6,0,12
939,6,6,0,12
940,6,6,0,12
941,6,6,0,12
942,6,6,0,12
943,6,6,0,12
944,6,6,0,12
945,6,6,0,12
946,6,6,0,12
947,6,6,0,12
948,6,6,0,12
949,6,6,0,12
950,6,6,0,12
951,6,6,0,12
952,6,6,0,12
953,6,6,0,12
954,6,6,0,12
955,6,6,0,12
956,6,6,0,12
957,6,6,0,12
958,6,6,0,12
959,6,6,0,12
960,6,6,0,12
961,6,6,0,12
962,6,6,0,12
963,6,6,0,12
964,6,6,0,12
965,6,6,0,12
966,6,6,0,12
967,6,6,0,12
968,6,6,0,12
969,6,6,0,12
970,6,6,0,12
971,6,6,0,12
972,6,6,0,12
973,6,6,0,12
974,6,6,0,12
975,6,6,0,12
976,6,6,0,12
977,6,6,0,12
978,6,6,0,12
979,6,6,0,12
980,6,6,0,12
981,6,6,0,12
982,6,6,0,12
983,6,6,0,12
984,6,6,0,12
985,6,6,0,12
986,6,6,0,12
987,6,6,0,12
988,6,6,0,12
989,6,6,0,12
990,6,6,0,12
991,6,6,0,12
992,6,6,0,12
993,6,6,0,12
994,6,6,0,12
995,6,6,0,12
996,6,6,0,12
997,6,6,0,12
998,6,6,0,12
999,6,6,0,12
