frequency_Hz,amplitude
0.0,19327352832.0
5.000000000000001e+18,7.056557001151799e+25
1.0000000000000002e+19,6.97135676051899e+25
1.5000000000000004e+19,6.8360622497198975e+25
2.0000000000000004e+19,6.65941735988407e+25
2.5000000000000004e+19,6.451499131789087e+25
3.000000000000001e+19,6.222388219662637e+25
3.500000000000001e+19,5.981192393511716e+25
4.000000000000001e+19,5.735503661440862e+25
4.500000000000001e+19,5.4912306734075705e+25
5.000000000000001e+19,5.2526869617291205e+25
5.500000000000001e+19,5.022815606666096e+25
6.000000000000002e+19,4.803460549058452e+25
6.500000000000002e+19,4.595629582561983e+25
7.000000000000002e+19,4.399722058087062e+25
7.500000000000002e+19,4.215712638405341e+25
8.000000000000002e+19,4.04329252890442e+25
8.500000000000002e+19,3.881974118811702e+25
9.000000000000002e+19,3.731166224354595e+25
9.500000000000002e+19,3.59022674926561e+25
1.0000000000000002e+20,3.4584985410389377e+25
1.0500000000000002e+20,3.3353330409047113e+25
1.1000000000000002e+20,3.220105240952932e+25
1.1500000000000002e+20,3.112222559556587e+25
1.2000000000000003e+20,3.011129536879393e+25
1.2500000000000003e+20,2.916309714177154e+25
1.3000000000000003e+20,2.827285662199623e+25
1.3500000000000003e+20,2.743617834023593e+25
1.4000000000000003e+20,2.6649027092558017e+25
1.4500000000000003e+20,2.590770548268327e+25
1.5000000000000003e+20,2.5208829705098864e+25
1.5500000000000003e+20,2.454930497688219e+25
1.6000000000000003e+20,2.392630151735667e+25
1.6500000000000003e+20,2.333723162431842e+25
1.7000000000000003e+20,2.2779728156842017e+25
1.7500000000000003e+20,2.225162457422692e+25
1.8000000000000003e+20,2.175093657479959e+25
1.8500000000000003e+20,2.1275845310298395e+25
1.9000000000000003e+20,2.082468210964119e+25
1.9500000000000003e+20,2.0395914621721935e+25
2.0000000000000003e+20,1.99881342747023e+25
2.0500000000000003e+20,1.960004494501222e+25
2.1000000000000003e+20,1.9230452730143236e+25
2.1500000000000003e+20,1.8878256723375148e+25
2.2000000000000003e+20,1.854244069449949e+25
2.2500000000000003e+20,1.8222065587495694e+25
2.3000000000000003e+20,1.7916262753387315e+25
2.3500000000000003e+20,1.7624227843767563e+25
2.4000000000000007e+20,1.7345215297494664e+25
2.4500000000000007e+20,1.707853335967554e+25
2.5000000000000007e+20,1.6823539578202296e+25
2.5500000000000007e+20,1.657963672875041e+25
2.6000000000000007e+20,1.6346269124285838e+25
2.6500000000000007e+20,1.6122919269776029e+25
2.7000000000000007e+20,1.5909104826985267e+25
2.7500000000000007e+20,1.570437585798805e+25
2.8000000000000007e+20,1.550831231939226e+25
2.8500000000000007e+20,1.5320521782262383e+25
2.9000000000000007e+20,1.5140637355404843e+25
2.9500000000000007e+20,1.4968315792058453e+25
3.0000000000000007e+20,1.4803235762150763e+25
3.0500000000000007e+20,1.4645096274166061e+25
3.1000000000000007e+20,1.4493615232346905e+25
3.1500000000000007e+20,1.434852811644298e+25
3.2000000000000007e+20,1.420958677254789e+25
3.2500000000000007e+20,1.4076558304746212e+25
3.3000000000000007e+20,1.3949224058345437e+25
3.3500000000000007e+20,1.3827378686405045e+25
3.4000000000000007e+20,1.3710829292111555e+25
3.4500000000000007e+20,1.3599394640294529e+25
3.5000000000000007e+20,1.3492904432045455e+25
3.5500000000000007e+20,1.3391198636997227e+25
3.6000000000000007e+20,1.3294126878355454e+25
3.6500000000000007e+20,1.3201547866250444e+25
3.7000000000000007e+20,1.3113328875407006e+25
3.7500000000000007e+20,1.3029345263513729e+25
3.8000000000000007e+20,1.2949480027018915e+25
3.8500000000000007e+20,1.2873623391390753e+25
3.9000000000000007e+20,1.2801672433159795e+25
3.9500000000000007e+20,1.2733530731313693e+25
4.0000000000000007e+20,1.266910804584251e+25
4.0500000000000007e+20,1.2608320021438765e+25
4.1000000000000007e+20,1.255108791454344e+25
4.1500000000000007e+20,1.2497338342098059e+25
4.2000000000000007e+20,1.2447003050517295e+25
4.2500000000000007e+20,1.2400018703536348e+25
4.3000000000000007e+20,1.2356326687715348e+25
4.3500000000000007e+20,1.2315872934499432e+25
4.4000000000000007e+20,1.2278607757840796e+25
4.4500000000000007e+20,1.2244485706486543e+25
4.5000000000000007e+20,1.2213465430127408e+25
4.5500000000000007e+20,1.2185509558685705e+25
4.6000000000000007e+20,1.2160584594098362e+25
4.6500000000000007e+20,1.213866081402352e+25
4.7000000000000007e+20,1.2119712186966257e+25
4.7500000000000007e+20,1.2103716298382469e+25
4.800000000000001e+20,1.2090654287379915e+25
4.850000000000001e+20,1.2080510793691878e+25
4.900000000000001e+20,1.2073273914653222e+25
4.950000000000001e+20,1.2068935171960436e+25
