frequency_Hz,amplitude
0.0,3221225472.0
5.000000000000001e+18,3.958468349527871e+25
1.0000000000000002e+19,3.91231253454435e+25
1.5000000000000004e+19,3.8388926950045113e+25
2.0000000000000004e+19,3.742805264002108e+25
2.5000000000000004e+19,3.629385119616117e+25
3.000000000000001e+19,3.504016045492619e+25
3.500000000000001e+19,3.3716117518620407e+25
4.000000000000001e+19,3.2363148483433777e+25
4.500000000000001e+19,3.10139044352098e+25
5.000000000000001e+19,2.9692571108511497e+25
5.500000000000001e+19,2.8415948695419937e+25
6.000000000000002e+19,2.7194829661180255e+25
6.500000000000002e+19,2.6035373239041255e+25
7.000000000000002e+19,2.4940319852312985e+25
7.500000000000002e+19,2.3909987292251907e+25
8.000000000000002e+19,2.294304736430889e+25
8.500000000000002e+19,2.203710896066036e+25
9.000000000000002e+19,2.118914274423525e+25
9.500000000000002e+19,2.0395782334367583e+25
1.0000000000000002e+20,1.9653532389603992e+25
1.0500000000000002e+20,1.8958908247941031e+25
1.1000000000000002e+20,1.8308526259290476e+25
1.1500000000000002e+20,1.7699159216249894e+25
1.2000000000000003e+20,1.7127767496852345e+25
1.2500000000000003e+20,1.6591513611510263e+25
1.3000000000000003e+20,1.6087765655396507e+25
1.3500000000000003e+20,1.5614093554960753e+25
1.4000000000000003e+20,1.5168260826682154e+25
1.4500000000000003e+20,1.4748213725338853e+25
1.5000000000000003e+20,1.4352069060340597e+25
1.5500000000000003e+20,1.3978101535582221e+25
1.6000000000000003e+20,1.3624731171526695e+25
1.6500000000000003e+20,1.3290511161743059e+25
1.7000000000000003e+20,1.297411637377471e+25
1.7500000000000003e+20,1.267433260720611e+25
1.8000000000000003e+20,1.239004665668819e+25
1.8500000000000003e+20,1.212023718489762e+25
1.9000000000000003e+20,1.1863966383146306e+25
1.9500000000000003e+20,1.1620372380811154e+25
2.0000000000000003e+20,1.13886623555279e+25
2.0500000000000003e+20,1.1168106291798447e+25
2.1000000000000003e+20,1.0958031334628568e+25
2.1500000000000003e+20,1.07578166858777e+25
2.2000000000000003e+20,1.0566888993360173e+25
2.2500000000000003e+20,1.0384718185835503e+25
2.3000000000000003e+20,1.0210813710490816e+25
2.3500000000000003e+20,1.004472113310313e+25
2.4000000000000007e+20,9.886019064610885e+24
2.4500000000000007e+20,9.734316381223526e+24
2.5000000000000007e+20,9.58924970839493e+24
2.5500000000000007e+20,9.450481141951431e+24
2.6000000000000007e+20,9.317696182385839e+24
2.6500000000000007e+20,9.190601860806387e+24
2.7000000000000007e+20,9.068925037272282e+24
2.7500000000000007e+20,8.952410854268922e+24
2.8000000000000007e+20,8.840821329891239e+24
2.8500000000000007e+20,8.733934076930721e+24
2.9000000000000007e+20,8.631541135515974e+24
2.9500000000000007e+20,8.533447908256386e+24
3.0000000000000007e+20,8.439472187997119e+24
3.0500000000000007e+20,8.349443269327668e+24
3.1000000000000007e+20,8.263201135907494e+24
3.1500000000000007e+20,8.180595716493315e+24
3.2000000000000007e+20,8.101486203284885e+24
3.2500000000000007e+20,8.025740426858586e+24
3.3000000000000007e+20,7.953234282540498e+24
3.3500000000000007e+20,7.88385120358991e+24
3.4000000000000007e+20,7.817481677028257e+24
3.4500000000000007e+20,7.75402279836292e+24
3.5000000000000007e+20,7.693377861825909e+24
3.5500000000000007e+20,7.635455983079052e+24
3.6000000000000007e+20,7.580171751634554e+24
3.6500000000000007e+20,7.527444910505856e+24
3.7000000000000007e+20,7.477200060842991e+24
3.7500000000000007e+20,7.429366389520933e+24
3.8000000000000007e+20,7.383877417842917e+24
3.8500000000000007e+20,7.340670769694124e+24
3.9000000000000007e+20,7.299687957637918e+24
3.9500000000000007e+20,7.260874185588185e+24
4.0000000000000007e+20,7.224178166819017e+24
4.0500000000000007e+20,7.189551956188536e+24
4.1000000000000007e+20,7.15695079555844e+24
4.1500000000000007e+20,7.126332971485792e+24
4.2000000000000007e+20,7.097659684350111e+24
4.2500000000000007e+20,7.070894928157547e+24
4.3000000000000007e+20,7.046005380335407e+24
4.3500000000000007e+20,7.022960300896601e+24
4.4000000000000007e+20,7.001731440413027e+24
4.4500000000000007e+20,6.982292956292936e+24
4.5000000000000007e+20,6.964621336907738e+24
4.5500000000000007e+20,6.948695333161221e+24
4.6000000000000007e+20,6.934495897137709e+24
4.6500000000000007e+20,6.922006127506325e+24
4.7000000000000007e+20,6.911211221396772e+24
4.7500000000000007e+20,6.902098432497609e+24
4.800000000000001e+20,6.894657035161687e+24
4.850000000000001e+20,6.88887829433584e+24
4.900000000000001e+20,6.884755441161747e+24
4.950000000000001e+20,6.882283654125046e+24
