step,num_pos,num_neg,net_charge,total_vortices
0,1399,1396,3,2795
1,1237,1233,4,2470
2,1085,1082,3,2167
3,960,956,4,1916
4,855,849,6,1704
5,771,769,2,1540
6,690,689,1,1379
7,614,615,-1,1229
8,551,552,-1,1103
9,502,504,-2,1006
10,465,464,1,929
11,436,434,2,870
12,392,390,2,782
13,360,359,1,719
14,330,330,0,660
15,306,306,0,612
16,286,286,0,572
17,268,269,-1,537
18,251,252,-1,503
19,239,240,-1,479
20,225,226,-1,451
21,211,211,0,422
22,203,203,0,406
23,199,199,0,398
24,195,195,0,390
25,190,190,0,380
26,179,179,0,358
27,168,169,-1,337
28,159,160,-1,319
29,155,156,-1,311
30,150,150,0,300
31,146,146,0,292
32,144,143,1,287
33,139,138,1,277
34,135,134,1,269
35,131,130,1,261
36,129,127,2,256
37,127,125,2,252
38,122,120,2,242
39,120,118,2,238
40,116,114,2,230
41,112,110,2,222
42,109,107,2,216
43,104,102,2,206
44,102,100,2,202
45,102,100,2,202
46,101,99,2,200
47,100,99,1,199
48,100,99,1,199
49,98,97,1,195
50,96,95,1,191
51,95,94,1,189
52,94,93,1,187
53,92,91,1,183
54,90,89,1,179
55,88,87,1,175
56,87,86,1,173
57,85,84,1,169
58,84,84,0,168
59,82,82,0,164
60,81,81,0,162
61,80,80,0,160
62,79,79,0,158
63,78,78,0,156
64,78,78,0,156
65,77,77,0,154
66,77,77,0,154
67,75,75,0,150
68,73,73,0,146
69,72,72,0,144
70,70,70,0,140
71,70,70,0,140
72,68,68,0,136
73,68,68,0,136
74,66,66,0,132
75,66,66,0,132
76,66,66,0,132
77,66,66,0,132
78,65,65,0,130
79,65,65,0,130
80,65,65,0,130
81,62,62,0,124
82,61,61,0,122
83,61,61,0,122
84,59,59,0,118
85,59,59,0,118
86,59,59,0,118
87,58,58,0,116
88,57,56,1,113
89,57,56,1,113
90,57,56,1,113
91,56,55,1,111
92,56,55,1,111
93,54,54,0,108
94,55,55,0,110
95,55,55,0,110
96,55,55,0,110
97,55,55,0,110
98,55,55,0,110
99,53,53,0,106
100,53,53,0,106
101,51,51,0,102
102,51,51,0,102
103,50,50,0,100
104,48,48,0,96
105,47,47,0,94
106,45,45,0,90
107,43,43,0,86
108,44,44,0,88
109,45,45,0,90
110,44,44,0,88
111,42,42,0,84
112,41,42,-1,83
113,41,42,-1,83
114,41,42,-1,83
115,40,41,-1,81
116,40,41,-1,81
117,39,40,-1,79
118,39,40,-1,79
119,39,40,-1,79
120,39,40,-1,79
121,39,40,-1,79
122,38,39,-1,77
123,37,38,-1,75
124,37,38,-1,75
125,36,37,-1,73
126,35,35,0,70
127,33,33,0,66
128,33,33,0,66
129,33,33,0,66
130,33,33,0,66
131,32,32,0,64
132,32,32,0,64
133,31,31,0,62
134,30,30,0,60
135,30,30,0,60
136,29,29,0,58
137,29,29,0,58
138,29,29,0,58
139,29,29,0,58
140,29,29,0,58
141,29,29,0,58
142,29,29,0,58
143,29,29,0,58
144,29,29,0,58
145,29,29,0,58
146,29,29,0,58
147,29,29,0,58
148,29,29,0,58
149,28,28,0,56
150,28,28,0,56
151,27,27,0,54
152,27,27,0,54
153,27,27,0,54
154,27,27,0,54
155,27,27,0,54
156,25,25,0,50
157,24,24,0,48
158,25,24,1,49
159,25,24,1,49
