step,central_amplitude
0,0.8341747442712054
1,0.6923121481098486
2,0.5887548955525435
3,0.512005290127334
4,0.4556111936520635
5,0.4142815744772556
6,0.3840566405502666
7,0.3624371178950728
8,0.3470549051190337
9,0.33786710894895877
10,0.33365077930706677
11,0.33308002444712137
12,0.3363672002019805
13,0.34306393038502364
14,0.3529145335608533
15,0.35496290671849257
16,0.3715376099917944
17,0.3908282643645614
18,0.4124875416574594
19,0.43648192909930794
20,0.4629898257518004
21,0.49152053656016303
22,0.5224886038322644
23,0.5447225124844389
24,0.5840800020681299
25,0.6269008604129039
26,0.6736233035504101
27,0.7247147478357231
28,0.780677711303889
29,0.8420718485454403
30,0.9095095983337912
31,0.9836822610088616
32,1.0653884869769261
33,1.1555466163957295
34,1.255210188653328
35,1.3655861777671612
36,1.4880741789826317
37,1.624301671706893
38,1.7761707268472249
39,1.9459277307209233
40,2.1362496792590573
41,2.3503556947901525
42,2.592160747914186
43,2.866487313128627
44,3.1793636522288296
45,3.538451915781868
46,3.9536742941007663
47,4.438163988027417
48,5.009737527119389
49,5.6921991583066776
50,6.515595373795695
51,7.516913026216558
52,8.66068972573611
53,9.970974373989511
54,11.471968246259369
55,13.191893015832926
56,15.163414377203575
57,17.42438035019023
58,20.018919174636544
59,22.99890133475318
60,26.425924851519007
61,30.374394983592683
62,34.9367418200852
63,40.226195459900104
64,46.35318463840287
65,53.45097887355264
66,61.67626384796757
67,71.20893653740026
68,82.25278676765014
69,95.04466338561676
70,109.92539718268763
71,127.30087097652508
72,147.66331596667135
73,171.60491743544273
74,199.84122449116956
75,233.18895518140818
76,272.5795244559204
77,319.11930158257235
78,374.12374136070605
79,439.1584994782059
80,516.0829689415523
81,607.1044481207879
82,714.8446599212602
83,842.418478558155
84,993.5277513901057
85,1172.573112170048
86,1384.7869221310611
87,1636.3917697633642
88,1934.7894554237585
89,2288.7862993594845
90,2708.861783084421
91,3207.4888947907766
92,3799.516195223611
93,4502.62356546785
94,5337.865924538178
95,6330.321982221759
96,7509.868417260962
97,8912.103848731871
98,10579.451724193788
99,12562.476934631648
100,14921.457766245814
101,17728.262932334586
102,21068.59315733539
103,25044.658423436515
104,29778.375913925993
105,35415.19034663199
106,42128.6383244602
107,50125.8021836903
108,59653.82736749421
109,71007.71151808785
110,84539.61437520332
111,100669.98651985041
112,119900.87360234797
113,142831.82284930302
114,170178.90264035884
115,202797.44651970532
116,241709.25343989398
117,288135.1202573727
118,343533.75522123656
119,409648.32806483394
120,488562.1600908776
121,582765.3544453596
122,695234.5223260266
123,829528.1868218518
124,989900.9564022087
125,1181440.171518242
126,1410229.4604262854
127,1683544.5182724935
128,2010087.4755605834
129,2400267.482981092
130,2866536.650727117
131,3423792.291646094
132,4089858.5885907533
133,4886063.408749952
134,5837929.10745807
135,6975999.90403076
136,8336832.896144161
137,9964185.155419964
138,11910435.793055043
139,14238289.613913625
140,17022818.246477276
141,20353905.751567565
142,24339179.043349307
143,29107519.443995174
144,34813270.869177245
145,41641283.14201747
146,49812956.52244366
147,59593486.634154424
148,71300548.67326115
149,85314707.41219348
150,102091896.65523149
151,122178380.36129847
152,146228689.90998387
153,175027130.6906074
154,209513569.6336591
155,250814357.43145657
156,300279409.75527936
157,359526676.466346
158,430495473.47758263
159,515510446.76466894
160,617358291.9093273
161,739379777.3261147
162,885580129.1948607
163,1060761448.1691945
164,1270681562.6626246
165,1522244605.5532281
166,1823729660.0716565
167,2185065091.965991
168,2618157711.4346337
169,3137287741.028798
170,3759582766.301341
171,4505586488.3548355
172,5399941270.433692
173,6472207281.004212
174,7757845611.54237
175,9299398242.479517
