y,x,phi
0,0,10000.280606916656
0,20,9999.991060028051
0,40,10011.011092406938
0,60,9999.990915806686
0,80,9999.991124923086
0,100,9999.989730347168
0,120,10000.000409961582
20,0,9999.992499936503
20,20,9999.9906013452
20,40,9999.988518551045
20,60,9999.989396486217
20,80,9999.991663668465
20,100,10011.161611366391
20,120,9999.99178271389
40,0,10012.89753895801
40,20,9999.993970197724
40,40,9999.989677247315
40,60,10000.044356683871
40,80,9999.990215616188
40,100,9999.991109328272
40,120,10000.15195222417
60,0,9999.997829331292
60,20,9999.991107792637
60,40,9999.990726014796
60,60,9999.989394949398
60,80,9999.990510761
60,100,9999.990204648648
60,120,9999.99268525123
80,0,9999.991897919788
80,20,9999.988667606114
80,40,9999.989724655683
80,60,9999.991325344685
80,80,9999.989451565187
80,100,9999.989549032103
80,120,9999.992151171127
100,0,9999.992843752318
100,20,9999.99123414883
100,40,9999.990021672937
100,60,9999.98992294586
100,80,9999.990095173984
100,100,9999.990179420949
100,120,9999.98918569974
120,0,10000.125422851557
120,20,9999.990517673203
120,40,9999.991723108296
120,60,9999.992134554454
120,80,9999.991794738253
120,100,9999.990693430154
120,120,9999.989454945824
