frequency_Hz,amplitude
0.0,3.2138760885179806e+61
1.0000000000000001e+18,3.7562295999756694e+77
2.0000000000000003e+18,3.749974049575442e+77
3.0000000000000005e+18,3.739617503594298e+77
4.0000000000000005e+18,3.725262015884879e+77
5.000000000000001e+18,3.707046565497297e+77
6.000000000000001e+18,3.6851434072467696e+77
7.000000000000001e+18,3.659753708451742e+77
8.000000000000001e+18,3.6311026800024165e+77
9.000000000000001e+18,3.599434419357235e+77
1.0000000000000002e+19,3.565006677548289e+77
1.1000000000000002e+19,3.528085743934518e+77
1.2000000000000002e+19,3.4889416143617364e+77
1.3000000000000002e+19,3.447843574120136e+77
1.4000000000000002e+19,3.405056290168822e+77
1.5000000000000002e+19,3.3608364706633055e+77
1.6000000000000002e+19,3.315430116368207e+77
1.7000000000000002e+19,3.269070359790642e+77
1.8000000000000002e+19,3.221975864793541e+77
1.9000000000000004e+19,3.1743497423322015e+77
2.0000000000000004e+19,3.1263789265591583e+77
2.1000000000000004e+19,3.078233949247323e+77
2.2000000000000004e+19,3.030069048457794e+77
2.3000000000000004e+19,2.9820225487085563e+77
2.4000000000000004e+19,2.934217453680459e+77
2.5000000000000004e+19,2.886762197906476e+77
2.6000000000000004e+19,2.8397515102311283e+77
2.7000000000000004e+19,2.793267348538319e+77
2.8000000000000004e+19,2.7473798719040847e+77
2.9000000000000004e+19,2.702148422636643e+77
3.0000000000000004e+19,2.657622496426628e+77
3.1000000000000004e+19,2.613842683938473e+77
3.2000000000000004e+19,2.5708415715878303e+77
3.3000000000000004e+19,2.5286445929757236e+77
3.4000000000000004e+19,2.487270825525829e+77
3.5000000000000004e+19,2.446733729354506e+77
3.6000000000000004e+19,2.4070418273620727e+77
3.700000000000001e+19,2.368199327039562e+77
3.800000000000001e+19,2.330206685607689e+77
3.900000000000001e+19,2.293061120909423e+77
4.000000000000001e+19,2.2567570710233562e+77
4.100000000000001e+19,2.2212866059040366e+77
4.200000000000001e+19,2.1866397945323168e+77
4.300000000000001e+19,2.152805031111148e+77
4.400000000000001e+19,2.1197693238016703e+77
4.500000000000001e+19,2.0875185493861936e+77
4.600000000000001e+19,2.0560376770895005e+77
4.700000000000001e+19,2.0253109646039557e+77
4.800000000000001e+19,1.9953221291598668e+77
4.900000000000001e+19,1.966054496270114e+77
5.000000000000001e+19,1.93749112856443e+77
5.100000000000001e+19,1.9096149369192186e+77
5.200000000000001e+19,1.8824087758871235e+77
5.300000000000001e+19,1.855855525239197e+77
5.400000000000001e+19,1.8299381592530925e+77
5.500000000000001e+19,1.804639805213941e+77
5.600000000000001e+19,1.779943792440847e+77
5.700000000000001e+19,1.7558336930111788e+77
5.800000000000001e+19,1.7322933552264952e+77
