frequency_Hz,amplitude
0.0,1.6069380442589903e+61
1.0000000000000001e+18,2.649153378638911e+77
2.0000000000000003e+18,2.644751021565388e+77
3.0000000000000005e+18,2.637462471775903e+77
4.0000000000000005e+18,2.627359393877539e+77
5.000000000000001e+18,2.614539388423801e+77
6.000000000000001e+18,2.5991234346087185e+77
7.000000000000001e+18,2.5812528322182644e+77
8.000000000000001e+18,2.5610857884310624e+77
9.000000000000001e+18,2.5387938017229665e+77
1.0000000000000002e+19,2.5145579913468605e+77
1.1000000000000002e+19,2.4885655081074096e+77
1.2000000000000002e+19,2.4610061425791877e+77
1.3000000000000002e+19,2.4320692229986626e+77
1.4000000000000002e+19,2.401940869262993e+77
1.5000000000000002e+19,2.3708016439858094e+77
1.6000000000000002e+19,2.3388246181370035e+77
1.7000000000000002e+19,2.3061738486421825e+77
1.8000000000000002e+19,2.2730032491181992e+77
1.9000000000000004e+19,2.239455822883198e+77
2.0000000000000004e+19,2.2056632193395929e+77
2.1000000000000004e+19,2.1717455703617823e+77
2.2000000000000004e+19,2.1378115618492356e+77
2.3000000000000004e+19,2.1039586964901248e+77
2.4000000000000004e+19,2.0702737063902094e+77
2.5000000000000004e+19,2.0368330779818922e+77
2.6000000000000004e+19,2.0037036560499817e+77
2.7000000000000004e+19,1.9709432984001218e+77
2.8000000000000004e+19,1.938601557354946e+77
2.9000000000000004e+19,1.9067203686810133e+77
3.0000000000000004e+19,1.8753347325896258e+77
3.1000000000000004e+19,1.8444733750406503e+77
3.2000000000000004e+19,1.8141593806800517e+77
3.3000000000000004e+19,1.784410791362275e+77
3.4000000000000004e+19,1.7552411663738852e+77
3.5000000000000004e+19,1.7266601022248136e+77
3.6000000000000004e+19,1.6986737112554736e+77
3.700000000000001e+19,1.6712850593716855e+77
3.800000000000001e+19,1.6444945640134982e+77
3.900000000000001e+19,1.6183003540345114e+77
4.000000000000001e+19,1.5926985935564075e+77
4.100000000000001e+19,1.56768377210576e+77
4.200000000000001e+19,1.5432489634680048e+77
4.300000000000001e+19,1.519386055733394e+77
4.400000000000001e+19,1.496085954983808e+77
4.500000000000001e+19,1.4733387649954069e+77
4.600000000000001e+19,1.4511339452248334e+77
4.700000000000001e+19,1.429460449217455e+77
4.800000000000001e+19,1.4083068454338727e+77
4.900000000000001e+19,1.3876614223425436e+77
5.000000000000001e+19,1.3675122794769193e+77
5.100000000000001e+19,1.3478474060087494e+77
5.200000000000001e+19,1.3286547482478825e+77
5.300000000000001e+19,1.3099222673446025e+77
5.400000000000001e+19,1.291637988344649e+77
5.500000000000001e+19,1.273790041629896e+77
5.600000000000001e+19,1.2563666976696974e+77
5.700000000000001e+19,1.2393563959089182e+77
5.800000000000001e+19,1.222747768528455e+77
5.900000000000001e+19,1.2065296597322498e+77
6.000000000000001e+19,1.1906911411408959e+77
6.100000000000001e+19,1.1752215238054003e+77
6.200000000000001e+19,1.1601103672949796e+77
6.300000000000001e+19,1.1453474862593341e+77
6.400000000000001e+19,1.130922954818154e+77
6.500000000000001e+19,1.1168271090880967e+77
6.600000000000001e+19,1.1030505481197056e+77
6.700000000000001e+19,1.0895841334831878e+77
6.800000000000001e+19,1.0764189877122239e+77
6.900000000000001e+19,1.0635464917886839e+77
7.000000000000001e+19,1.0509582818278516e+77
7.100000000000001e+19,1.0386462451032191e+77
7.200000000000001e+19,1.0266025155318195e+77
7.300000000000001e+19,1.0148194687250778e+77
7.400000000000002e+19,1.0032897166961623e+77
7.500000000000002e+19,9.920061023024416e+76
7.600000000000002e+19,9.809616934908219e+76
7.700000000000002e+19,9.701497774042461e+76
7.800000000000002e+19,9.595638543992644e+76
7.900000000000002e+19,9.491976320173259e+76
8.000000000000002e+19,9.390450189460272e+76
8.100000000000002e+19,9.291001190009899e+76
8.200000000000002e+19,9.193572251541714e+76
8.300000000000002e+19,9.098108136301663e+76
8.400000000000002e+19,9.004555380883705e+76
8.500000000000002e+19,8.912862239056688e+76
8.600000000000002e+19,8.822978625715193e+76
8.700000000000002e+19,8.73485606204915e+76
8.800000000000002e+19,8.648447622005964e+76
8.900000000000002e+19,8.563707880101129e+76
9.000000000000002e+19,8.480592860617848e+76
9.100000000000002e+19,8.399059988222765e+76
9.200000000000002e+19,8.319068040013907e+76
9.300000000000002e+19,8.240577099006998e+76
9.400000000000002e+19,8.163548509058388e+76
9.500000000000002e+19,8.087944831215855e+76
9.600000000000002e+19,8.01372980148273e+76
9.700000000000002e+19,7.940868289976244e+76
9.800000000000002e+19,7.869326261456711e+76
9.900000000000002e+19,7.799070737201289e+76
1.0000000000000002e+20,7.730069758193312e+76
1.0100000000000002e+20,7.662292349596128e+76
1.0200000000000002e+20,7.595708486479072e+76
1.0300000000000002e+20,7.5302890607617e+76
1.0400000000000002e+20,7.466005849342015e+76
1.0500000000000002e+20,7.402831483373601e+76
1.0600000000000002e+20,7.340739418656529e+76
1.0700000000000002e+20,7.279703907106894e+76
1.0800000000000002e+20,7.219699969269804e+76
1.0900000000000002e+20,7.160703367841274e+76
1.1000000000000002e+20,7.102690582164622e+76
1.1100000000000002e+20,7.045638783667715e+76
1.1200000000000002e+20,6.989525812207964e+76
1.1300000000000002e+20,6.934330153292682e+76
1.1400000000000002e+20,6.880030916143228e+76
1.1500000000000002e+20,6.826607812572068e+76
1.1600000000000002e+20,6.7740411366428e+76
1.1700000000000002e+20,6.722311745084065e+76
1.1800000000000002e+20,6.671401038429013e+76
1.1900000000000002e+20,6.621290942853026e+76
1.2000000000000002e+20,6.571963892683168e+76
