step,num_pos,num_neg,net_charge,total_vortices
0,2278,2279,-1,4557
1,1965,1962,3,3927
2,1689,1687,2,3376
3,1466,1467,-1,2933
4,1309,1310,-1,2619
5,1172,1173,-1,2345
6,1037,1039,-2,2076
7,946,948,-2,1894
8,861,862,-1,1723
9,789,787,2,1576
10,728,725,3,1453
11,662,659,3,1321
12,612,609,3,1221
13,570,567,3,1137
14,525,522,3,1047
15,498,496,2,994
16,467,466,1,933
17,446,444,2,890
18,411,409,2,820
19,392,390,2,782
20,372,370,2,742
21,354,351,3,705
22,330,328,2,658
23,308,308,0,616
24,302,302,0,604
25,296,296,0,592
26,284,284,0,568
27,274,274,0,548
28,262,262,0,524
29,254,253,1,507
30,251,250,1,501
31,245,244,1,489
32,245,245,0,490
33,236,236,0,472
34,230,231,-1,461
35,226,227,-1,453
36,220,221,-1,441
37,219,219,0,438
38,215,215,0,430
39,207,207,0,414
40,204,204,0,408
41,199,199,0,398
42,193,194,-1,387
43,187,188,-1,375
44,180,181,-1,361
45,174,175,-1,349
46,172,173,-1,345
47,169,168,1,337
48,165,164,1,329
49,164,162,2,326
50,162,160,2,322
51,162,159,3,321
52,159,156,3,315
53,154,152,2,306
54,149,147,2,296
55,141,139,2,280
56,139,137,2,276
57,135,133,2,268
58,129,129,0,258
59,127,127,0,254
60,126,125,1,251
61,126,124,2,250
62,126,124,2,250
63,125,123,2,248
64,122,120,2,242
65,123,121,2,244
66,121,119,2,240
67,118,116,2,234
68,117,115,2,232
69,113,112,1,225
70,111,110,1,221
71,111,110,1,221
72,106,106,0,212
73,106,106,0,212
74,104,104,0,208
75,105,105,0,210
76,107,107,0,214
77,107,107,0,214
78,102,101,1,203
79,101,100,1,201
80,97,96,1,193
81,95,94,1,189
82,96,95,1,191
83,94,93,1,187
84,93,92,1,185
85,92,91,1,183
86,93,92,1,185
87,91,91,0,182
88,91,91,0,182
89,91,91,0,182
90,91,91,0,182
91,91,91,0,182
92,91,91,0,182
93,91,91,0,182
94,89,89,0,178
95,87,87,0,174
96,84,84,0,168
97,85,86,-1,171
98,84,85,-1,169
99,83,84,-1,167
100,83,84,-1,167
101,82,83,-1,165
102,80,80,0,160
103,79,79,0,158
104,79,79,0,158
105,78,78,0,156
106,78,78,0,156
107,78,78,0,156
108,77,77,0,154
109,76,76,0,152
110,75,75,0,150
111,73,73,0,146
112,71,71,0,142
113,69,69,0,138
114,69,69,0,138
115,69,69,0,138
116,67,67,0,134
117,68,68,0,136
118,66,66,0,132
119,65,65,0,130
120,64,64,0,128
121,62,62,0,124
122,62,62,0,124
123,61,61,0,122
124,59,59,0,118
125,59,59,0,118
126,56,55,1,111
127,55,54,1,109
128,55,54,1,109
129,55,54,1,109
130,55,54,1,109
131,54,53,1,107
132,53,52,1,105
133,53,52,1,105
134,53,52,1,105
135,53,52,1,105
136,53,52,1,105
137,53,52,1,105
138,52,51,1,103
139,53,52,1,105
140,52,51,1,103
141,52,51,1,103
142,50,49,1,99
143,49,48,1,97
144,49,48,1,97
145,47,47,0,94
146,47,47,0,94
147,47,47,0,94
148,46,46,0,92
149,45,45,0,90
150,44,44,0,88
151,44,44,0,88
152,44,44,0,88
153,44,44,0,88
154,43,43,0,86
155,43,43,0,86
156,43,43,0,86
157,42,42,0,84
158,42,42,0,84
159,42,42,0,84
160,41,41,0,82
161,41,41,0,82
162,40,40,0,80
163,40,40,0,80
164,39,39,0,78
165,38,38,0,76
166,38,38,0,76
167,37,37,0,74
168,37,37,0,74
169,36,36,0,72
170,34,34,0,68
171,34,34,0,68
172,34,34,0,68
173,34,34,0,68
174,34,34,0,68
175,34,34,0,68
176,34,34,0,68
177,34,34,0,68
178,34,34,0,68
179,33,33,0,66
180,33,33,0,66
181,33,33,0,66
182,33,33,0,66
183,33,33,0,66
184,33,33,0,66
185,33,32,1,65
186,33,32,1,65
187,33,32,1,65
188,33,32,1,65
189,33,32,1,65
190,33,32,1,65
191,33,32,1,65
192,33,32,1,65
193,33,32,1,65
194,33,32,1,65
195,32,31,1,63
196,32,31,1,63
197,32,31,1,63
198,32,31,1,63
199,32,31,1,63
200,33,32,1,65
201,33,32,1,65
202,32,31,1,63
203,34,33,1,67
204,34,33,1,67
205,31,30,1,61
206,31,30,1,61
207,31,30,1,61
208,31,30,1,61
209,31,30,1,61
210,32,31,1,63
211,33,32,1,65
212,32,31,1,63
213,31,30,1,61
214,31,30,1,61
215,31,30,1,61
216,31,30,1,61
217,31,30,1,61
218,30,29,1,59
219,29,28,1,57
220,29,28,1,57
221,29,28,1,57
222,29,28,1,57
223,29,28,1,57
224,29,28,1,57
225,29,28,1,57
226,29,28,1,57
227,29,28,1,57
228,29,28,1,57
229,28,27,1,55
230,28,27,1,55
231,28,27,1,55
232,28,27,1,55
233,28,27,1,55
234,28,27,1,55
235,28,27,1,55
236,28,27,1,55
237,28,27,1,55
238,28,27,1,55
239,28,27,1,55
240,28,27,1,55
241,28,27,1,55
242,28,27,1,55
243,27,26,1,53
244,27,26,1,53
245,27,26,1,53
246,27,26,1,53
247,27,26,1,53
248,27,26,1,53
249,27,26,1,53
250,27,26,1,53
251,27,26,1,53
252,27,26,1,53
253,26,25,1,51
254,26,25,1,51
255,26,25,1,51
256,26,25,1,51
257,25,24,1,49
258,25,24,1,49
259,23,22,1,45
260,23,22,1,45
261,23,23,0,46
262,23,23,0,46
263,23,23,0,46
264,23,23,0,46
265,22,22,0,44
266,22,22,0,44
267,22,22,0,44
268,22,22,0,44
269,22,22,0,44
270,22,22,0,44
271,22,22,0,44
272,21,21,0,42
273,21,21,0,42
274,21,21,0,42
275,21,21,0,42
276,21,21,0,42
277,21,21,0,42
278,21,21,0,42
279,21,21,0,42
280,21,21,0,42
281,21,21,0,42
282,21,21,0,42
283,21,21,0,42
284,21,21,0,42
285,21,21,0,42
286,21,21,0,42
287,21,21,0,42
288,20,20,0,40
289,20,20,0,40
290,20,20,0,40
291,20,20,0,40
292,20,20,0,40
293,20,20,0,40
294,20,20,0,40
295,20,20,0,40
296,20,20,0,40
297,20,20,0,40
298,20,20,0,40
299,20,20,0,40
300,20,20,0,40
301,20,20,0,40
302,20,20,0,40
303,20,20,0,40
304,20,20,0,40
305,20,20,0,40
306,20,20,0,40
307,20,20,0,40
308,20,20,0,40
309,20,20,0,40
310,20,20,0,40
311,20,20,0,40
312,20,20,0,40
313,20,20,0,40
314,20,20,0,40
315,20,20,0,40
316,20,20,0,40
317,20,20,0,40
318,20,20,0,40
319,20,20,0,40
320,20,20,0,40
321,20,20,0,40
322,20,20,0,40
323,20,20,0,40
324,19,19,0,38
325,19,19,0,38
326,19,19,0,38
327,19,19,0,38
328,19,19,0,38
329,19,19,0,38
330,19,19,0,38
331,19,19,0,38
332,19,19,0,38
333,19,19,0,38
334,19,19,0,38
335,19,19,0,38
336,19,19,0,38
337,19,19,0,38
338,19,19,0,38
339,19,19,0,38
340,18,18,0,36
341,18,18,0,36
342,18,18,0,36
343,18,18,0,36
344,18,18,0,36
345,18,18,0,36
346,18,18,0,36
347,18,18,0,36
348,18,18,0,36
349,18,18,0,36
350,18,18,0,36
351,18,18,0,36
352,18,18,0,36
353,18,18,0,36
354,18,18,0,36
355,18,18,0,36
356,18,18,0,36
357,18,18,0,36
358,18,18,0,36
359,18,18,0,36
360,18,18,0,36
361,18,18,0,36
362,18,18,0,36
363,18,18,0,36
364,18,18,0,36
365,18,18,0,36
366,18,18,0,36
367,18,18,0,36
368,18,18,0,36
369,18,18,0,36
370,17,17,0,34
371,17,17,0,34
372,17,17,0,34
373,17,17,0,34
374,17,17,0,34
375,17,17,0,34
376,17,17,0,34
377,17,17,0,34
378,17,17,0,34
379,17,17,0,34
380,17,17,0,34
381,17,17,0,34
382,17,17,0,34
383,17,17,0,34
384,17,17,0,34
385,17,17,0,34
386,17,17,0,34
387,17,17,0,34
388,17,17,0,34
389,17,17,0,34
390,17,17,0,34
391,17,17,0,34
392,17,17,0,34
393,17,17,0,34
394,17,17,0,34
395,17,17,0,34
396,17,17,0,34
397,17,17,0,34
398,17,17,0,34
399,17,17,0,34
400,17,17,0,34
401,17,17,0,34
402,17,17,0,34
403,17,17,0,34
404,17,17,0,34
405,17,17,0,34
406,17,17,0,34
407,17,17,0,34
408,17,17,0,34
409,17,17,0,34
410,17,17,0,34
411,17,17,0,34
412,17,17,0,34
413,17,17,0,34
414,17,17,0,34
415,17,17,0,34
416,17,17,0,34
417,17,17,0,34
418,17,17,0,34
419,17,17,0,34
420,17,17,0,34
421,17,17,0,34
422,17,17,0,34
423,17,17,0,34
424,17,17,0,34
425,17,17,0,34
426,17,17,0,34
427,17,17,0,34
428,17,17,0,34
429,17,17,0,34
430,17,17,0,34
431,17,17,0,34
432,17,17,0,34
433,17,17,0,34
434,17,17,0,34
435,17,17,0,34
436,17,17,0,34
437,17,17,0,34
438,17,17,0,34
439,17,17,0,34
440,17,17,0,34
441,17,17,0,34
442,17,17,0,34
443,17,17,0,34
444,17,17,0,34
445,17,17,0,34
446,17,17,0,34
447,17,17,0,34
448,17,17,0,34
449,17,17,0,34
450,17,17,0,34
451,17,17,0,34
452,17,17,0,34
