step,center_y,center_x,size
0,63.77938808373591,63.63365539452496,1242
1,64.27836611195158,63.940998487140696,661
2,66.58238636363636,64.23863636363636,352
3,66.70892018779342,63.985915492957744,213
4,65.68027210884354,63.734693877551024,147
5,64.6068376068376,61.68376068376068,117
6,60.64705882352941,64.01960784313725,102
7,60.792792792792795,61.486486486486484,111
8,58.843283582089555,63.134328358208954,134
9,60.49738219895288,61.18324607329843,191
10,63.15384615384615,64.63545150501672,299
11,63.23725055432372,64.3569844789357,451
12,63.29710144927536,63.74202898550725,690
13,64.81147540983606,63.97233606557377,976
14,64.86591760299625,64.63895131086143,1335
15,65.41623188405796,64.48985507246377,1725
16,65.31190583974649,64.39112720688094,2209
17,65.11603221083455,64.55893118594436,2732
18,65.08313032886724,63.910779537149814,3284
19,64.65665896843726,64.04618937644342,3897
20,64.52183551318998,63.82642429616493,4511
21,64.28463622291022,63.76625386996904,5168
22,63.99116847826087,63.68919836956522,5888
23,63.92852798053528,63.42700729927007,6576
24,63.8701529219006,63.246859639541235,7324
25,63.810753756364086,63.245126039985095,8053
26,63.735499370781376,63.001830454181444,8741
27,63.81571413423815,63.1510974445976,9431
28,63.817447657028914,63.01535393818544,10030
29,63.84814884420222,62.960815636158614,10642
30,63.76174316842293,62.93731023397035,11198
31,63.673335603609736,62.913587604290825,11746
32,63.644034440344406,62.914555145551454,12195
33,63.67050836754026,62.83612251341964,12668
34,63.649785801713584,62.87905446756426,13072
35,63.674266130233946,62.87557741022202,13422
36,63.632702112163145,62.90888565185725,13730
37,63.60410263740977,62.955256950897,13991
38,63.618174151380984,62.96746081945323,14229
39,63.6252684075639,63.00187019463878,14437
40,63.62288019693654,63.06195295404814,14624
41,63.656596377399296,63.105095971884296,14796
42,63.70087643005285,63.174550076938516,14947
43,63.73083802583637,63.208148393507784,15095
44,63.68957361539977,63.24531896721635,15221
45,63.737638617090674,63.271167645140245,15330
46,63.711425053463806,63.27243859762815,15431
47,63.69333848730834,63.28810720268007,15522
48,63.65592362401487,63.30358172614852,15607
49,63.651960471788335,63.3148230793752,15685
50,63.62135922330097,63.294181102861856,15759
51,63.6003287394108,63.305537994689594,15818
52,63.56988976377953,63.32787401574803,15875
