step,central_amplitude
0,0.8341747442712054
1,0.6923269945951815
2,0.5887844019325239
3,0.5120440770840932
4,0.4556523851449088
5,0.4143177099887644
6,0.3840798748176869
7,0.3624385008138296
8,0.3470241202649163
9,0.3377922799749058
10,0.3335174264665966
11,0.33287053102144504
12,0.3360604290850959
13,0.34263402124155085
14,0.35233014259575196
15,0.35419079081927174
16,0.3705324675162324
17,0.38953596781230476
18,0.411273107343251
19,0.4353202239581404
20,0.4618376883354172
21,0.4903170887173125
22,0.521154012018189
23,0.543168328770854
24,0.5821860927074758
25,0.6245208776846346
26,0.6705837701320652
27,0.7208107348678557
28,0.7756677788257674
29,0.8356721639062162
30,0.9013870450552088
31,0.9734463473638717
32,1.0525818248097198
33,1.1396336232126068
34,1.2355636167294635
35,1.3414709872727175
36,1.4586281343364167
37,1.5885117936819
38,1.7328444426348881
39,1.8936567749138542
40,2.073365015629601
41,2.2748700557470274
42,2.5016875217144525
43,2.7581450253496285
44,3.049643234025038
45,3.3830302221575135
46,3.7671465022265807
47,4.213648833075154
48,4.7382756490473925
49,5.36286455885215
50,6.114674400532429
51,7.032332792314115
52,8.099805134441125
53,9.321533409292245
54,10.720884923055673
55,12.323841501420159
56,14.16070972012799
57,16.266540184892467
58,18.682172997331065
59,21.45556425709212
60,24.643640084645895
61,28.315081535879173
62,32.555015953764844
63,37.46959055615388
64,43.16060675154152
65,49.7509873468777
66,57.385367735298935
67,66.23016023369532
68,76.47374302704067
69,88.32856658927919
70,102.07997108215172
71,118.09961989852027
72,136.83768395221227
73,158.8383474289433
74,184.759048488189
75,215.387972321185
76,251.5807195870199
77,294.35519251844966
78,344.9216673646554
79,404.7207099964739
80,475.46586237697863
81,559.1910496728383
82,658.3119195030714
83,775.6986891560688
84,914.7626471389322
85,1079.5593064682555
86,1274.911054743267
87,1506.5533206667144
88,1781.308863427841
89,2107.295601418618
90,2494.1744175437248
91,2953.4446748208743
92,3498.7966756755864
93,4146.532111218953
94,4916.065686870298
95,5830.523677045327
96,6917.458228128644
97,8209.699900669943
98,9746.375332771375
99,11574.122156866062
100,13748.539579929524
101,16335.92054574535
102,19415.320379746474
103,23081.027562065192
104,27445.515129854004
105,32642.966591178094
106,38833.48863754985
107,46208.144966596104
108,54994.97188437138
109,65466.16790358136
110,77946.68731373717
111,92824.51289899542
112,110562.93708904424
113,131715.24560887055
114,156942.27525448607
115,187033.4102917641
116,222931.69318374363
117,265763.8585282039
118,316876.2585823501
119,377877.83977886406
120,450691.55844628933
121,537615.8980267671
122,641398.478413621
123,765324.1413726133
124,913320.3672658899
125,1090083.4429345161
126,1301229.4771589576
127,1553475.1708420073
128,1854854.220606734
129,2214976.398842821
130,2645337.7487056656
