step,phi_center_abs
0,0.2115358261124521
1,0.41627767649559516
2,0.6156449086951784
3,0.8104404900694484
4,1.0011417642431106
5,1.188125863548481
6,1.371566133502378
7,1.5516551255129727
8,1.7285360659395217
9,1.9023396432852135
10,2.073174994696639
11,2.2411325268792632
12,2.406303203278834
13,2.5687724904852645
14,2.7286235526917615
15,2.885810467240314
16,3.0405526685460296
17,3.1929343188432844
18,3.343044156906811
19,3.4908848960634717
20,3.636553108431766
21,3.78014190995455
22,3.9217552218345575
23,4.061299046547133
24,4.199149389657295
25,4.3354550507974325
26,4.470385412282058
27,4.604134483485442
28,4.736925769818976
29,4.869018589900486
30,5.000715423713215
31,5.1323714166277465
32,5.264406716209341
33,5.397321807621082
34,5.531716662936626
35,5.668314714895666
36,5.807993807717278
37,5.951825822185465
38,6.101127902478347
39,6.25752986687249
40,6.4230636914042725
41,6.600283574707923
42,6.792429023737894
43,7.003651602246281
44,7.239334831620413
45,7.506555247006192
46,7.814762795988659
47,8.17681383977493
48,8.610589274462528
49,9.14162417826001
50,9.806748580945115
51,10.660664471055679
52,11.767970969619263
53,13.209457194442884
54,15.091594437484279
55,17.554389721876753
56,20.78217070259864
57,25.017786070236664
58,30.581611063501015
59,37.89715929954304
60,47.52599843467683
61,60.21620327601627
62,76.97165278754517
63,99.15097012502991
64,128.56547258776962
65,167.63845668980517
66,219.61749326383804
67,288.854207504041
68,381.1703343454735
69,504.32777987609313
70,661.8433746012212
71,816.6849843789105
72,968.916219170785
73,1118.5977208470454
74,1265.7934530218226
75,1410.5490366411339
76,1552.906276178108
77,1692.905583591951
78,1830.5870412738468
79,1965.98995529928
80,2099.1520239879724
81,2230.1103249916637
82,2358.901323847916
83,2485.560883921981
84,2610.1242759526176
85,2732.6261875002765
86,2853.1007323351573
87,2971.5814598873612
88,3088.1013644843674
89,3202.692894527618
90,3315.3879615016676
91,3426.217948857662
92,3535.2137207498263
93,3642.40563062727
94,3747.823529683662
95,3851.4967751671356
96,3953.454238552712
97,4053.7243135795047
98,4152.33492415496
99,4249.313532128338
100,4344.687144935586
101,4438.482323117753
102,4530.725187715018
103,4621.441427538392
104,4710.656306321131
105,4798.394669751831
106,4884.680952391185
107,4969.539184474293
108,5052.992998600451
109,5135.065636312266
110,5215.779954565926
111,5295.158432094429
112,5373.223175665538
113,5449.995926236212
114,5525.498065005212
115,5599.750619365584
116,5672.774268758652
117,5744.589350431179
118,5815.215865097263
119,5884.673482506586
120,5952.981546920517
121,6020.159082497641
122,6086.224798590173
123,6151.197094952756
124,6215.094066865081
125,6277.9335101697625
126,6339.732926226856
127,6400.509526786419
128,6460.2802387804495
129,6519.061709035551
130,6576.870308907627
131,6633.722138839898
132,6689.63303284551
133,6744.618562915975
134,6798.69404335669
135,6851.874535050706
136,6904.174849651976
137,6955.6095537092115
138,7006.192972721525
139,7055.939195126958
140,7104.862076225035
141,7152.975242034405
142,7200.2920930866785
143,7246.825808157476
144,7292.589347935758
145,7337.595458632449
146,7381.856675529344
147,7425.385326469318
148,7468.19353528877
149,7510.2932251932925
150,7551.696122077481
151,7592.413757789824
152,7632.457473343563
153,7671.838422074452
154,7710.567572746241
