y,x,phi,curl
0,0,9386.037672193956,0.0025841589995121207
0,20,9987.920123475065,0.0008238187162172136
0,40,10000.94568371094,-0.0022904021775671138
0,60,9999.995769957748,-0.005709410820047273
0,80,9999.999915806535,-0.010206016102975569
0,100,9999.999997977051,0.012978198992949988
0,120,9999.999999980859,0.02375627908921315
20,0,9420.69429955283,-0.0022714416956289593
20,20,9987.686559227712,0.0014237289987328666
20,40,9999.717399845098,0.003944532703962485
20,60,9999.994668639903,-0.005441257262019679
20,80,9999.999924878268,-0.006256009568065023
20,100,10000.96979643414,-0.0027106987065964555
20,120,10000.000002358964,-0.012119037172954133
40,0,9417.217057863489,0.0005694367544205825
40,20,9988.521310826898,0.0035115787676504207
40,40,9999.739650230256,0.20084515749588705
40,60,10000.176468301259,-0.0002468278465832193
40,80,9999.999902383513,0.012976109594629904
40,100,9999.999998415695,0.021961871010769837
40,120,9999.999999990807,-0.0008861709821985617
60,0,9375.964799666046,-0.0002372027213918604
60,20,9987.982023897117,0.05379967149677711
60,40,9999.75117585082,-0.00014522236200368828
60,60,9999.994656028482,0.0034002066307011855
60,80,9999.999908886055,0.01659547172288567
60,100,9999.999998106648,0.03620910884483501
60,120,9999.99999995383,-0.002111659735175089
80,0,9412.292977242318,0.0004496965641915679
80,20,9986.722089167697,-0.00025754058657674996
80,40,9999.741746557702,-0.5981347855285428
80,60,9999.995688618978,0.0023190010565871163
80,80,9999.999893741695,-0.011294168971704476
80,100,9999.999997914412,5.026572272126032e-05
80,120,9999.999999958129,0.005467232879268685
100,0,9409.800932662762,-3.438049392429088e-06
100,20,9988.140847409446,0.0002710651177948635
100,40,9999.747781998314,0.007530626712341919
100,60,9999.994983557739,-0.05354752733192313
100,80,9999.999901623885,-0.005312875481130347
100,100,9999.999998742052,0.0023825825373843448
100,120,9999.999999943928,0.04358105454159239
120,0,9374.41132209003,-0.0004892368812636883
120,20,9987.61395625446,0.0006032186024126407
120,40,9999.779122887789,0.0010391824166324818
120,60,9999.996900433813,-0.026221395387987654
120,80,9999.999923580945,-0.013735944153580325
120,100,9999.999998286909,0.007212410812870551
120,120,9999.999999974945,-0.07940661742299725
