y,x,phi
0,0,9386.037672193956
0,20,9987.920123475065
0,40,10000.94568371094
0,60,9999.995769957748
0,80,9999.999915806535
0,100,9999.999997977051
0,120,9999.999999980859
20,0,9420.69429955283
20,20,9987.686559227712
20,40,9999.717399845098
20,60,9999.994668639903
20,80,9999.999924878268
20,100,10000.96979643414
20,120,10000.000002358964
40,0,9417.217057863489
40,20,9988.521310826898
40,40,9999.739650230256
40,60,10000.176468301259
40,80,9999.999902383513
40,100,9999.999998415695
40,120,9999.999999990807
60,0,9375.964799666046
60,20,9987.982023897117
60,40,9999.75117585082
60,60,9999.994656028482
60,80,9999.999908886055
60,100,9999.999998106648
60,120,9999.99999995383
80,0,9412.292977242318
80,20,9986.722089167697
80,40,9999.741746557702
80,60,9999.995688618978
80,80,9999.999893741695
80,100,9999.999997914412
80,120,9999.999999958129
100,0,9409.800932662762
100,20,9988.140847409446
100,40,9999.747781998314
100,60,9999.994983557739
100,80,9999.999901623885
100,100,9999.999998742052
100,120,9999.999999943928
120,0,9374.41132209003
120,20,9987.61395625446
120,40,9999.779122887789
120,60,9999.996900433813
120,80,9999.999923580945
120,100,9999.999998286909
120,120,9999.999999974945
