frequency_Hz,amplitude
0.0,3.8566513062215767e+61
1.0000000000000001e+18,3.4041138361821207e+77
2.0000000000000003e+18,3.3984438142618393e+77
3.0000000000000005e+18,3.3890566657477767e+77
4.0000000000000005e+18,3.37604490641443e+77
5.000000000000001e+18,3.359534525595848e+77
6.000000000000001e+18,3.339681677341905e+77
7.000000000000001e+18,3.316668724412194e+77
8.000000000000001e+18,3.29069982386537e+77
9.000000000000001e+18,3.261996251554172e+77
1.0000000000000002e+19,3.230791657827361e+77
1.1000000000000002e+19,3.1973274301003067e+77
1.2000000000000002e+19,3.161848312487323e+77
1.3000000000000002e+19,3.124598401609987e+77
1.4000000000000002e+19,3.0858176042135183e+77
1.5000000000000002e+19,3.045738609185536e+77
1.6000000000000002e+19,3.00458439623814e+77
1.7000000000000002e+19,2.962566277450888e+77
1.8000000000000002e+19,2.9198824469521403e+77
1.9000000000000004e+19,2.8767169985016725e+77
2.0000000000000004e+19,2.8332393604075956e+77
2.1000000000000004e+19,2.789604091508092e+77
2.2000000000000004e+19,2.7459509801185033e+77
2.3000000000000004e+19,2.702405389054343e+77
2.4000000000000004e+19,2.659078793271743e+77
2.5000000000000004e+19,2.6160694615744376e+77
2.6000000000000004e+19,2.5734632395874213e+77
2.7000000000000004e+19,2.5313343972837737e+77
2.8000000000000004e+19,2.489746510388568e+77
2.9000000000000004e+19,2.4487533507013094e+77
3.0000000000000004e+19,2.4083997656009273e+77
3.1000000000000004e+19,2.3687225316281313e+77
3.2000000000000004e+19,2.3297511710411874e+77
3.3000000000000004e+19,2.2915087236183776e+77
3.4000000000000004e+19,2.254012468768174e+77
3.5000000000000004e+19,2.217274595258747e+77
3.6000000000000004e+19,2.1813028176536414e+77
3.700000000000001e+19,2.1461009399048892e+77
3.800000000000001e+19,2.1116693675718933e+77
3.900000000000001e+19,2.0780055708633605e+77
4.000000000000001e+19,2.045104501193904e+77
4.100000000000001e+19,2.0129589642538574e+77
4.200000000000001e+19,1.9815599527508262e+77
4.300000000000001e+19,1.9508969420287389e+77
4.400000000000001e+19,1.9209581517330964e+77
4.500000000000001e+19,1.8917307765928131e+77
4.600000000000001e+19,1.8632011892482162e+77
4.700000000000001e+19,1.8353551178860706e+77
4.800000000000001e+19,1.808177801257433e+77
4.900000000000001e+19,1.7816541234615017e+77
5.000000000000001e+19,1.7557687306849015e+77
5.100000000000001e+19,1.7305061318958734e+77
5.200000000000001e+19,1.7058507853100276e+77
5.300000000000001e+19,1.6817871722707762e+77
5.400000000000001e+19,1.658299860024957e+77
5.500000000000001e+19,1.6353735547229222e+77
5.600000000000001e+19,1.6129931458330723e+77
5.700000000000001e+19,1.5911437430331715e+77
5.800000000000001e+19,1.5698107065244844e+77
5.900000000000001e+19,1.5489796716093949e+77
6.000000000000001e+19,1.528636568277962e+77
6.100000000000001e+19,1.508767636463196e+77
6.200000000000001e+19,1.489359437548031e+77
6.300000000000001e+19,1.4703988626381887e+77
6.400000000000001e+19,1.4518731380537821e+77
6.500000000000001e+19,1.4337698284378432e+77
6.600000000000001e+19,1.4160768378313837e+77
6.700000000000001e+19,1.3987824090214652e+77
6.800000000000001e+19,1.3818751214305394e+77
6.900000000000001e+19,1.3653438877815302e+77
7.000000000000001e+19,1.3491779497432173e+77
7.100000000000001e+19,1.3333668727341262e+77
7.200000000000001e+19,1.317900540039881e+77
7.300000000000001e+19,1.3027691463784655e+77
7.400000000000002e+19,1.287963191029854e+77
7.500000000000002e+19,1.273473470630624e+77
7.600000000000002e+19,1.2592910717202302e+77
7.700000000000002e+19,1.245407363113482e+77
7.800000000000002e+19,1.2318139881630054e+77
7.900000000000002e+19,1.2185028569661743e+77
8.000000000000002e+19,1.205466138562777e+77
8.100000000000002e+19,1.192696253162552e+77
8.200000000000002e+19,1.1801858644354916e+77
8.300000000000002e+19,1.1679278718923751e+77
8.400000000000002e+19,1.1559154033782765e+77
8.500000000000002e+19,1.144141807697673e+77
8.600000000000002e+19,1.1326006473862341e+77
8.700000000000002e+19,1.1212856916412783e+77
8.800000000000002e+19,1.1101909094202307e+77
8.900000000000002e+19,1.0993104627141102e+77
9.000000000000002e+19,1.088638700001115e+77
9.100000000000002e+19,1.078170149883676e+77
9.200000000000002e+19,1.0678995149109075e+77
9.300000000000002e+19,1.057821665587156e+77
9.400000000000002e+19,1.0479316345663156e+77
9.500000000000002e+19,1.0382246110306902e+77
9.600000000000002e+19,1.0286959352524546e+77
9.700000000000002e+19,1.0193410933351788e+77
9.800000000000002e+19,1.010155712132341e+77
9.900000000000002e+19,1.0011355543393858e+77
1.0000000000000002e+20,9.922765137555404e+76
1.0100000000000002e+20,9.835746107113436e+76
1.0200000000000002e+20,9.75025987657671e+76
1.0300000000000002e+20,9.666269049118657e+76
1.0400000000000002e+20,9.583737365565123e+76
1.0500000000000002e+20,9.502629664863225e+76
1.0600000000000002e+20,9.422911845985692e+76
1.0700000000000002e+20,9.3445508312252e+76
1.0800000000000002e+20,9.267514530833245e+76
1.0900000000000002e+20,9.191771808958838e+76
1.1000000000000002e+20,9.117292450842509e+76
1.1100000000000002e+20,9.044047131222197e+76
1.1200000000000002e+20,8.972007383908225e+76
1.1300000000000002e+20,8.901145572485583e+76
1.1400000000000002e+20,8.831434862102647e+76
1.1500000000000002e+20,8.762849192306611e+76
1.1600000000000002e+20,8.69536325088696e+76
1.1700000000000002e+20,8.628952448689337e+76
1.1800000000000002e+20,8.563592895363473e+76
1.1900000000000002e+20,8.499261376009792e+76
1.2000000000000002e+20,8.435935328690578e+76
1.2100000000000002e+20,8.373592822772649e+76
1.2200000000000002e+20,8.312212538069732e+76
1.2300000000000002e+20,8.251773744753586e+76
1.2400000000000002e+20,8.192256284004386e+76
1.2500000000000002e+20,8.133640549371613e+76
1.2600000000000002e+20,8.075907468817888e+76
1.2700000000000002e+20,8.019038487419342e+76
1.2800000000000002e+20,7.963015550696798e+76
1.2900000000000002e+20,7.907821088553345e+76
1.3000000000000002e+20,7.853437999794611e+76
1.3100000000000002e+20,7.799849637209011e+76
1.3200000000000002e+20,7.7470397931862e+76
1.3300000000000002e+20,7.694992685852702e+76
1.3400000000000002e+20,7.643692945704645e+76
1.3500000000000002e+20,7.593125602718176e+76
1.3600000000000002e+20,7.543276073919053e+76
1.3700000000000002e+20,7.494130151393538e+76
1.3800000000000002e+20,7.445673990723547e+76
1.3900000000000002e+20,7.397894099829514e+76
1.4000000000000002e+20,7.35077732820535e+76
1.4100000000000002e+20,7.304310856530242e+76
1.4200000000000002e+20,7.258482186642848e+76
1.4300000000000002e+20,7.213279131863978e+76
1.4400000000000002e+20,7.168689807654321e+76
1.4500000000000002e+20,7.124702622594488e+76
1.4600000000000002e+20,7.081306269675007e+76
1.4700000000000002e+20,7.03848971788448e+76
1.4800000000000003e+20,6.996242204084629e+76
1.4900000000000003e+20,6.954553225161303e+76
1.5000000000000003e+20,6.913412530441076e+76
1.5100000000000003e+20,6.872810114363369e+76
1.5200000000000003e+20,6.832736209398602e+76
1.5300000000000003e+20,6.793181279203048e+76
1.5400000000000003e+20,6.754136012001687e+76
1.5500000000000003e+20,6.715591314190422e+76
1.5600000000000003e+20,6.677538304149678e+76
1.5700000000000003e+20,6.639968306261437e+76
1.5800000000000003e+20,6.602872845122326e+76
1.5900000000000003e+20,6.566243639945451e+76
1.6000000000000003e+20,6.530072599144148e+76
1.6100000000000003e+20,6.494351815090977e+76
1.6200000000000003e+20,6.459073559045592e+76
1.6300000000000003e+20,6.424230276245362e+76
1.6400000000000003e+20,6.389814581152921e+76
1.6500000000000003e+20,6.355819252854871e+76
1.6600000000000003e+20,6.322237230606379e+76
1.6700000000000003e+20,6.289061609516344e+76
1.6800000000000003e+20,6.25628563636816e+76
1.6900000000000003e+20,6.223902705571285e+76
1.7000000000000003e+20,6.191906355238969e+76
1.7100000000000003e+20,6.160290263387698e+76
1.7200000000000003e+20,6.129048244254117e+76
1.7300000000000003e+20,6.09817424472527e+76
1.7400000000000003e+20,6.067662340878261e+76
1.7500000000000003e+20,6.037506734625528e+76
1.7600000000000003e+20,6.007701750462025e+76
1.7700000000000003e+20,5.978241832310915e+76
1.7800000000000003e+20,5.949121540464252e+76
1.7900000000000003e+20,5.920335548615573e+76
1.8000000000000003e+20,5.891878640981066e+76
1.8100000000000003e+20,5.863745709506502e+76
1.8200000000000003e+20,5.835931751156926e+76
1.8300000000000003e+20,5.808431865286343e+76
1.8400000000000003e+20,5.781241251084705e+76
1.8500000000000003e+20,5.7543552050996504e+76
1.8600000000000003e+20,5.727769118830478e+76
1.8700000000000003e+20,5.701478476391954e+76
1.8800000000000003e+20,5.6754788522456794e+76
1.8900000000000003e+20,5.649765908996765e+76
1.9000000000000003e+20,5.6243353952536675e+76
1.9100000000000003e+20,5.5991831435491605e+76
1.9200000000000003e+20,5.574305068320424e+76
1.9300000000000003e+20,5.5496971639463234e+76
1.9400000000000003e+20,5.52535550284006e+76
1.9500000000000003e+20,5.501276233595429e+76
1.9600000000000003e+20,5.477455579184865e+76
1.9700000000000003e+20,5.453889835207792e+76
1.9800000000000003e+20,5.430575368187507e+76
1.9900000000000003e+20,5.407508613915151e+76
2.0000000000000003e+20,5.384686075839325e+76
