frequency_Hz,amplitude
0.0,4.820814132776971e+61
1.0000000000000001e+18,4.226020775609687e+77
2.0000000000000003e+18,4.218964737842766e+77
3.0000000000000005e+18,4.2072831255743943e+77
4.0000000000000005e+18,4.1910913435677884e+77
5.000000000000001e+18,4.1705465410455487e+77
6.000000000000001e+18,4.1458434749013716e+77
7.000000000000001e+18,4.1172095647148153e+77
8.000000000000001e+18,4.0848993760229927e+77
9.000000000000001e+18,4.049188778913778e+77
1.0000000000000002e+19,4.010369022605511e+77
1.1000000000000002e+19,3.9687409457050013e+77
1.2000000000000002e+19,3.9246095098165407e+77
1.3000000000000002e+19,3.8782788051576197e+77
1.4000000000000002e+19,3.8300476348492626e+77
1.5000000000000002e+19,3.780205743161389e+77
1.6000000000000002e+19,3.7290307150350843e+77
1.7000000000000002e+19,3.6767855416282355e+77
1.8000000000000002e+19,3.623716820522602e+77
1.9000000000000004e+19,3.570053539906485e+77
2.0000000000000004e+19,3.516006383220698e+77
2.1000000000000004e+19,3.4617674837194126e+77
2.2000000000000004e+19,3.407510556199677e+77
2.3000000000000004e+19,3.3533913347471255e+77
2.4000000000000004e+19,3.299548249702579e+77
2.5000000000000004e+19,3.246103283242829e+77
2.6000000000000004e+19,3.193162950197151e+77
2.7000000000000004e+19,3.1408193583546e+77
2.8000000000000004e+19,3.089151310077753e+77
2.9000000000000004e+19,3.038225414189122e+77
3.0000000000000004e+19,2.988097183620957e+77
3.1000000000000004e+19,2.9388121000981053e+77
3.2000000000000004e+19,2.890406632112057e+77
3.3000000000000004e+19,2.842909196650529e+77
3.4000000000000004e+19,2.7963410586154184e+77
3.5000000000000004e+19,2.7507171646591097e+77
3.6000000000000004e+19,2.706046910372643e+77
3.700000000000001e+19,2.66233484145057e+77
3.800000000000001e+19,2.6195812907158066e+77
3.900000000000001e+19,2.5777829537876246e+77
4.000000000000001e+19,2.53693340678417e+77
4.100000000000001e+19,2.4970235698262465e+77
4.200000000000001e+19,2.458042120302252e+77
4.300000000000001e+19,2.4199758599076327e+77
4.400000000000001e+19,2.382810039421382e+77
4.500000000000001e+19,2.3465286450557597e+77
4.600000000000001e+19,2.3111146500366992e+77
4.700000000000001e+19,2.276550234859512e+77
4.800000000000001e+19,2.242816979431811e+77
4.900000000000001e+19,2.2098960300738e+77
5.000000000000001e+19,2.1777682441034225e+77
5.100000000000001e+19,2.1464143144961587e+77
5.200000000000001e+19,2.1158148768806642e+77
5.300000000000001e+19,2.0859506009148163e+77
5.400000000000001e+19,2.0568022678836068e+77
5.500000000000001e+19,2.0283508361718213e+77
5.600000000000001e+19,2.0005774960906722e+77
5.700000000000001e+19,1.9734637153785245e+77
5.800000000000001e+19,1.9469912765510213e+77
5.900000000000001e+19,1.9211423071446533e+77
6.000000000000001e+19,1.8958993037793513e+77
6.100000000000001e+19,1.8712451508591078e+77
6.200000000000001e+19,1.8471631346340306e+77
6.300000000000001e+19,1.8236369532617975e+77
6.400000000000001e+19,1.80065072343015e+77
6.500000000000001e+19,1.7781889840341696e+77
6.600000000000001e+19,1.7562366973417402e+77
6.700000000000001e+19,1.7347792480269793e+77
6.800000000000001e+19,1.7138024404040428e+77
6.900000000000001e+19,1.6932924941516867e+77
7.000000000000001e+19,1.6732360387818945e+77
7.100000000000001e+19,1.653620107073176e+77
7.200000000000001e+19,1.6344321276602553e+77
7.300000000000001e+19,1.615659916946501e+77
7.400000000000002e+19,1.5972916704831022e+77
7.500000000000002e+19,1.57931595393934e+77
7.600000000000002e+19,1.5617216937711046e+77
7.700000000000002e+19,1.5444981676796626e+77
7.800000000000002e+19,1.5276349949394715e+77
7.900000000000002e+19,1.5111221266622125e+77
8.000000000000002e+19,1.4949498360541193e+77
8.100000000000002e+19,1.479108708714816e+77
8.200000000000002e+19,1.463589633018157e+77
8.300000000000002e+19,1.4483837906088686e+77
8.400000000000002e+19,1.4334826470429146e+77
8.500000000000002e+19,1.4188779425944546e+77
8.600000000000002e+19,1.4045616832478704e+77
8.700000000000002e+19,1.390526131889486e+77
8.800000000000002e+19,1.376763799710385e+77
8.900000000000002e+19,1.3632674378288378e+77
9.000000000000002e+19,1.3500300291384432e+77
9.100000000000002e+19,1.3370447803860203e+77
9.200000000000002e+19,1.324305114481466e+77
9.300000000000002e+19,1.3118046630403285e+77
9.400000000000002e+19,1.2995372591585344e+77
9.500000000000002e+19,1.2874969304176473e+77
9.600000000000002e+19,1.2756778921181219e+77
9.700000000000002e+19,1.2640745407372996e+77
9.800000000000002e+19,1.2526814476082455e+77
9.900000000000002e+19,1.2414933528150461e+77
1.0000000000000002e+20,1.2305051592998045e+77
1.0100000000000002e+20,1.21971192717623e+77
1.0200000000000002e+20,1.2091088682445073e+77
1.0300000000000002e+20,1.1986913407019546e+77
1.0400000000000002e+20,1.1884548440438527e+77
1.0500000000000002e+20,1.1783950141487767e+77
1.0600000000000002e+20,1.168507618542715e+77
1.0700000000000002e+20,1.1587885518362772e+77
1.0800000000000002e+20,1.1492338313293168e+77
1.0900000000000002e+20,1.1398395927773662e+77
1.1000000000000002e+20,1.1306020863143288e+77
1.1100000000000002e+20,1.1215176725260178e+77
1.1200000000000002e+20,1.1125828186691654e+77
1.1300000000000002e+20,1.1037940950307229e+77
1.1400000000000002e+20,1.0951481714223342e+77
1.1500000000000002e+20,1.0866418138050263e+77
1.1600000000000002e+20,1.0782718810393086e+77
1.1700000000000002e+20,1.070035321755966e+77
1.1800000000000002e+20,1.0619291713430378e+77
1.1900000000000002e+20,1.0539505490445595e+77
1.2000000000000002e+20,1.046096655166819e+77
1.2100000000000002e+20,1.038364768388019e+77
1.2200000000000002e+20,1.030752243167358e+77
1.2300000000000002e+20,1.023256507249713e+77
1.2400000000000002e+20,1.0158750592622153e+77
1.2500000000000002e+20,1.0086054663991603e+77
1.2600000000000002e+20,1.0014453621918198e+77
1.2700000000000002e+20,9.943924443598525e+76
1.2800000000000002e+20,9.874444727411331e+76
1.2900000000000002e+20,9.805992672969439e+76
1.3000000000000002e+20,9.738547061895882e+76
1.3100000000000002e+20,9.672087239296017e+76
1.3200000000000002e+20,9.606593095898367e+76
1.3300000000000002e+20,9.542045050838272e+76
1.3400000000000002e+20,9.478424035059143e+76
1.3500000000000002e+20,9.415711475307325e+76
1.3600000000000002e+20,9.353889278697503e+76
1.3700000000000002e+20,9.292939817826366e+76
1.3800000000000002e+20,9.232845916413374e+76
1.3900000000000002e+20,9.173590835448154e+76
1.4000000000000002e+20,9.115158259824817e+76
1.4100000000000002e+20,9.057532285444664e+76
1.4200000000000002e+20,9.000697406768863e+76
1.4300000000000002e+20,8.944638504804124e+76
1.4400000000000002e+20,8.889340835504535e+76
1.4500000000000002e+20,8.834790018573748e+76
1.4600000000000002e+20,8.780972026652174e+76
1.4700000000000002e+20,8.727873174874497e+76
1.4800000000000003e+20,8.675480110783494e+76
1.4900000000000003e+20,8.623779804586616e+76
1.5000000000000003e+20,8.572759539742404e+76
1.5100000000000003e+20,8.522406903864315e+76
1.5200000000000003e+20,8.47270977992994e+76
1.5300000000000003e+20,8.423656337784345e+76
1.5400000000000003e+20,8.375235025926422e+76
1.5500000000000003e+20,8.327434563567704e+76
1.5600000000000003e+20,8.28024393295365e+76
1.5700000000000003e+20,8.233652371937576e+76
1.5800000000000003e+20,8.187649366797948e+76
1.5900000000000003e+20,8.142224645290167e+76
1.6000000000000003e+20,8.097368169924085e+76
1.6100000000000003e+20,8.053070131459255e+76
1.6200000000000003e+20,8.00932094260975e+76
1.6300000000000003e+20,7.966111231951108e+76
1.6400000000000003e+20,7.923431838022096e+76
1.6500000000000003e+20,7.881273803614135e+76
1.6600000000000003e+20,7.839628370241898e+76
1.6700000000000003e+20,7.798486972788347e+76
1.6800000000000003e+20,7.757841234318167e+76
1.6900000000000003e+20,7.71768296105361e+76
1.7000000000000003e+20,7.678004137506878e+76
1.7100000000000003e+20,7.638796921763691e+76
1.7200000000000003e+20,7.60005364091263e+76
1.7300000000000003e+20,7.561766786615188e+76
1.7400000000000003e+20,7.523929010811649e+76
1.7500000000000003e+20,7.48653312155804e+76
1.7600000000000003e+20,7.449572078989634e+76
1.7700000000000003e+20,7.413038991406669e+76
1.7800000000000003e+20,7.376927111478049e+76
1.7900000000000003e+20,7.34122983255906e+76
1.8000000000000003e+20,7.305940685119099e+76
1.8100000000000003e+20,7.27105333327581e+76
1.8200000000000003e+20,7.236561571431958e+76
1.8300000000000003e+20,7.202459321011575e+76
1.8400000000000003e+20,7.168740627292109e+76
1.8500000000000003e+20,7.135399656329277e+76
1.8600000000000003e+20,7.102430691971639e+76
1.8700000000000003e+20,7.069828132961795e+76
1.8800000000000003e+20,7.037586490121456e+76
1.8900000000000003e+20,7.005700383617597e+76
1.9000000000000003e+20,6.974164540306933e+76
1.9100000000000003e+20,6.942973791156357e+76
1.9200000000000003e+20,6.912123068736646e+76
1.9300000000000003e+20,6.88160740478723e+76
1.9400000000000003e+20,6.851421927849661e+76
1.9500000000000003e+20,6.821561860967554e+76
1.9600000000000003e+20,6.7920225194509e+76
1.9700000000000003e+20,6.762799308702694e+76
1.9800000000000003e+20,6.733887722105873e+76
1.9900000000000003e+20,6.705283338968698e+76
2.0000000000000003e+20,6.676981822526678e+76
2.0100000000000003e+20,6.648978917999303e+76
2.0200000000000003e+20,6.621270450699825e+76
2.0300000000000003e+20,6.593852324196491e+76
2.0400000000000003e+20,6.566720518523599e+76
2.0500000000000003e+20,6.539871088440785e+76
2.0600000000000003e+20,6.513300161739138e+76
2.0700000000000003e+20,6.487003937592666e+76
2.0800000000000003e+20,6.460978684953681e+76
2.0900000000000003e+20,6.435220740990848e+76
2.1000000000000003e+20,6.409726509568551e+76
2.1100000000000003e+20,6.384492459766309e+76
2.1200000000000003e+20,6.359515124437065e+76
2.1300000000000003e+20,6.334791098803169e+76
2.1400000000000003e+20,6.310317039088973e+76
2.1500000000000003e+20,6.286089661188795e+76
2.1600000000000003e+20,6.262105739369444e+76
2.1700000000000003e+20,6.23836210500603e+76
2.1800000000000003e+20,6.214855645350251e+76
2.1900000000000003e+20,6.191583302330138e+76
2.2000000000000003e+20,6.16854207138035e+76
2.2100000000000003e+20,6.145729000302078e+76
2.2200000000000003e+20,6.123141188151807e+76
2.2300000000000003e+20,6.100775784157982e+76
2.2400000000000003e+20,6.078629986664839e+76
2.2500000000000003e+20,6.05670104210264e+76
2.2600000000000003e+20,6.034986243983472e+76
2.2700000000000003e+20,6.01348293192196e+76
2.2800000000000003e+20,5.992188490680126e+76
2.2900000000000003e+20,5.971100349235827e+76
2.3000000000000003e+20,5.950215979873889e+76
2.3100000000000003e+20,5.929532897299555e+76
2.3200000000000003e+20,5.909048657773384e+76
2.3300000000000003e+20,5.888760858267227e+76
