step,num_pos,num_neg,net_charge,total_vortices
0,2278,2279,-1,4557
1,1965,1962,3,3927
2,1688,1686,2,3374
3,1467,1468,-1,2935
4,1309,1310,-1,2619
5,1175,1176,-1,2351
6,1036,1038,-2,2074
7,947,949,-2,1896
8,859,859,0,1718
9,789,787,2,1576
10,724,721,3,1445
11,663,660,3,1323
12,610,608,2,1218
13,572,569,3,1141
14,525,522,3,1047
15,495,493,2,988
16,467,466,1,933
17,442,440,2,882
18,417,414,3,831
19,397,395,2,792
20,373,372,1,745
21,351,349,2,700
22,323,321,2,644
23,306,306,0,612
24,299,299,0,598
25,293,293,0,586
26,282,282,0,564
27,273,273,0,546
28,264,263,1,527
29,255,254,1,509
30,250,249,1,499
31,246,245,1,491
32,243,242,1,485
33,238,237,1,475
34,233,234,-1,467
35,226,227,-1,453
36,220,221,-1,441
37,217,218,-1,435
38,210,211,-1,421
39,209,210,-1,419
40,202,203,-1,405
41,193,194,-1,387
42,189,190,-1,379
43,183,184,-1,367
44,181,182,-1,363
45,175,176,-1,351
46,171,171,0,342
47,168,168,0,336
48,166,166,0,332
49,166,166,0,332
50,168,167,1,335
51,162,161,1,323
52,154,153,1,307
53,151,150,1,301
54,143,142,1,285
55,138,137,1,275
56,134,133,1,267
57,132,130,2,262
58,130,128,2,258
59,129,127,2,256
60,128,126,2,254
61,126,123,3,249
62,125,123,2,248
63,124,122,2,246
64,122,120,2,242
65,119,117,2,236
66,115,114,1,229
67,111,110,1,221
68,109,108,1,217
69,108,108,0,216
70,108,107,1,215
71,106,105,1,211
72,105,105,0,210
73,106,106,0,212
74,107,106,1,213
75,107,106,1,213
76,105,104,1,209
77,103,102,1,205
78,103,102,1,205
79,100,99,1,199
80,101,100,1,201
81,96,95,1,191
82,97,96,1,193
83,95,93,2,188
84,93,91,2,184
85,94,92,2,186
86,93,91,2,184
87,92,90,2,182
88,91,89,2,180
89,90,88,2,178
90,89,87,2,176
91,91,89,2,180
92,92,91,1,183
93,92,91,1,183
94,91,90,1,181
95,91,90,1,181
96,91,90,1,181
97,89,88,1,177
98,88,87,1,175
99,86,85,1,171
100,84,83,1,167
101,82,81,1,163
102,82,81,1,163
103,82,81,1,163
104,83,82,1,165
105,82,80,2,162
106,82,80,2,162
107,79,77,2,156
108,79,77,2,156
109,78,76,2,154
110,78,76,2,154
111,76,74,2,150
112,75,73,2,148
113,73,71,2,144
114,73,71,2,144
115,71,69,2,140
116,69,67,2,136
117,69,67,2,136
118,69,67,2,136
119,66,64,2,130
120,65,63,2,128
121,64,62,2,126
122,64,62,2,126
123,61,59,2,120
124,61,59,2,120
125,59,57,2,116
126,58,56,2,114
127,56,54,2,110
128,56,54,2,110
129,56,54,2,110
130,55,53,2,108
131,55,53,2,108
132,55,53,2,108
133,54,52,2,106
134,54,52,2,106
135,51,49,2,100
136,50,48,2,98
137,50,48,2,98
138,50,48,2,98
139,50,48,2,98
140,49,47,2,96
141,49,48,1,97
142,47,47,0,94
143,47,47,0,94
144,47,47,0,94
145,47,47,0,94
146,47,47,0,94
147,47,47,0,94
148,47,47,0,94
149,48,48,0,96
150,48,48,0,96
151,47,46,1,93
152,45,44,1,89
153,45,44,1,89
154,44,43,1,87
155,44,43,1,87
156,42,40,2,82
157,42,40,2,82
158,42,40,2,82
159,41,39,2,80
160,41,39,2,80
161,42,40,2,82
162,40,38,2,78
163,39,37,2,76
164,38,36,2,74
165,38,36,2,74
166,37,36,1,73
167,37,36,1,73
168,37,36,1,73
169,37,36,1,73
170,36,35,1,71
171,36,35,1,71
172,36,35,1,71
173,36,35,1,71
174,35,34,1,69
175,35,34,1,69
176,35,34,1,69
177,35,34,1,69
178,36,36,0,72
179,36,36,0,72
180,36,36,0,72
181,35,35,0,70
182,35,35,0,70
183,35,35,0,70
184,34,34,0,68
185,34,34,0,68
186,34,34,0,68
187,34,34,0,68
188,33,33,0,66
189,33,33,0,66
190,33,33,0,66
191,33,33,0,66
192,33,33,0,66
193,33,33,0,66
194,33,33,0,66
195,33,33,0,66
196,33,33,0,66
197,32,32,0,64
198,32,32,0,64
199,32,32,0,64
200,32,32,0,64
201,32,32,0,64
202,32,32,0,64
203,32,32,0,64
204,32,32,0,64
205,32,32,0,64
206,31,32,-1,63
207,31,32,-1,63
208,31,32,-1,63
209,31,32,-1,63
210,31,32,-1,63
211,31,32,-1,63
212,31,32,-1,63
213,31,32,-1,63
214,31,32,-1,63
215,31,32,-1,63
216,31,32,-1,63
217,31,32,-1,63
218,31,32,-1,63
219,31,32,-1,63
220,31,32,-1,63
221,30,31,-1,61
222,30,31,-1,61
223,30,31,-1,61
224,30,31,-1,61
225,28,29,-1,57
226,28,29,-1,57
227,28,29,-1,57
228,28,29,-1,57
229,28,29,-1,57
230,27,28,-1,55
231,27,28,-1,55
232,27,28,-1,55
233,27,28,-1,55
234,27,28,-1,55
235,27,28,-1,55
236,26,27,-1,53
237,26,27,-1,53
238,26,27,-1,53
239,27,28,-1,55
240,27,28,-1,55
241,27,28,-1,55
242,27,28,-1,55
243,27,28,-1,55
244,27,28,-1,55
245,27,28,-1,55
246,27,28,-1,55
247,27,28,-1,55
248,27,28,-1,55
249,27,28,-1,55
250,26,27,-1,53
251,26,27,-1,53
252,26,27,-1,53
253,26,27,-1,53
254,26,27,-1,53
255,25,26,-1,51
256,25,26,-1,51
257,24,25,-1,49
258,24,25,-1,49
259,24,25,-1,49
260,24,25,-1,49
261,24,25,-1,49
262,24,25,-1,49
263,24,25,-1,49
264,24,25,-1,49
265,23,24,-1,47
266,22,23,-1,45
267,22,23,-1,45
268,22,23,-1,45
269,22,23,-1,45
270,22,23,-1,45
271,22,23,-1,45
272,22,23,-1,45
273,22,23,-1,45
274,22,23,-1,45
275,22,23,-1,45
276,20,21,-1,41
277,20,21,-1,41
278,20,21,-1,41
279,20,21,-1,41
280,20,21,-1,41
281,20,21,-1,41
282,19,20,-1,39
283,19,20,-1,39
284,19,20,-1,39
285,19,20,-1,39
286,19,20,-1,39
287,19,20,-1,39
288,19,20,-1,39
289,19,20,-1,39
290,19,20,-1,39
291,19,20,-1,39
292,19,20,-1,39
293,19,20,-1,39
294,19,20,-1,39
295,20,20,0,40
296,20,20,0,40
297,20,20,0,40
298,20,20,0,40
299,20,20,0,40
300,20,20,0,40
301,20,20,0,40
302,20,20,0,40
303,20,20,0,40
304,20,20,0,40
305,20,20,0,40
306,20,20,0,40
307,20,20,0,40
308,20,20,0,40
309,20,20,0,40
310,20,20,0,40
311,20,20,0,40
312,20,20,0,40
313,20,20,0,40
314,20,20,0,40
315,20,20,0,40
316,20,20,0,40
317,20,20,0,40
318,20,20,0,40
319,20,20,0,40
320,20,20,0,40
321,20,20,0,40
322,20,20,0,40
323,20,20,0,40
324,20,20,0,40
325,20,20,0,40
326,20,20,0,40
327,20,20,0,40
328,20,20,0,40
329,20,20,0,40
330,20,20,0,40
331,20,20,0,40
332,20,20,0,40
333,20,20,0,40
334,20,20,0,40
335,20,20,0,40
336,19,19,0,38
337,19,19,0,38
338,19,19,0,38
339,19,19,0,38
340,19,19,0,38
341,19,19,0,38
342,19,19,0,38
343,19,19,0,38
344,19,19,0,38
345,19,19,0,38
346,19,19,0,38
347,19,19,0,38
348,19,19,0,38
349,19,19,0,38
350,18,18,0,36
351,18,18,0,36
352,18,18,0,36
353,18,18,0,36
354,18,18,0,36
355,18,18,0,36
356,18,18,0,36
357,18,18,0,36
358,18,18,0,36
359,18,18,0,36
360,18,18,0,36
361,18,18,0,36
362,18,18,0,36
363,18,18,0,36
364,18,18,0,36
365,18,18,0,36
366,18,18,0,36
367,18,18,0,36
368,18,18,0,36
369,18,18,0,36
370,18,18,0,36
371,18,18,0,36
372,18,18,0,36
373,18,18,0,36
374,18,18,0,36
375,18,18,0,36
376,18,18,0,36
377,18,18,0,36
378,18,18,0,36
379,18,18,0,36
380,18,18,0,36
381,18,18,0,36
382,18,18,0,36
383,18,18,0,36
384,18,18,0,36
385,18,18,0,36
386,18,18,0,36
387,18,18,0,36
388,18,18,0,36
389,18,18,0,36
390,18,18,0,36
391,18,18,0,36
392,18,18,0,36
393,18,18,0,36
394,17,17,0,34
395,17,17,0,34
396,17,17,0,34
397,17,17,0,34
398,17,17,0,34
399,17,17,0,34
400,17,17,0,34
401,17,17,0,34
402,17,17,0,34
403,17,17,0,34
404,17,17,0,34
405,17,17,0,34
406,17,17,0,34
407,17,17,0,34
408,17,17,0,34
409,17,17,0,34
410,17,17,0,34
411,17,17,0,34
412,17,17,0,34
413,17,17,0,34
414,17,17,0,34
415,17,17,0,34
416,17,17,0,34
417,17,17,0,34
418,17,17,0,34
419,17,17,0,34
420,17,17,0,34
421,17,17,0,34
422,17,17,0,34
423,17,17,0,34
424,17,17,0,34
425,17,17,0,34
426,17,17,0,34
427,17,17,0,34
428,17,17,0,34
429,17,17,0,34
430,17,17,0,34
431,17,17,0,34
432,17,17,0,34
433,17,17,0,34
434,17,17,0,34
435,17,17,0,34
436,17,17,0,34
437,17,17,0,34
438,17,17,0,34
439,17,17,0,34
440,17,17,0,34
441,17,17,0,34
442,17,17,0,34
443,17,17,0,34
444,17,17,0,34
