step,central_amplitude
0,0.8341747442712054
1,0.6954561044692245
2,0.5965709594788586
3,0.525335603097726
4,0.47503994447000314
5,0.4406656227231204
6,0.41796336481384383
7,0.404561177924463
8,0.3987678481269246
9,0.4000949476541304
10,0.4076417398049568
11,0.4209891322786087
12,0.43996369365938925
13,0.4645559582846878
14,0.49498791195148284
15,0.519699118224352
16,0.5634966758100218
17,0.6145261309506495
18,0.6736702436305769
19,0.7420365407487478
20,0.8209411665636024
21,0.9119611993883261
22,1.0170065616053263
23,1.1384031020887726
24,1.27901079781066
25,1.442342018049226
26,1.6328795589483065
27,1.8563592290606132
28,2.12026824097055
29,2.4346454596849347
30,2.813339402892074
31,3.2761043493956885
32,3.852300542832514
33,4.5877081541158145
34,5.558011490871373
35,6.897869689338795
36,8.870910942146528
37,11.72687149874731
38,15.500010495630798
39,20.518251505803338
40,27.185708748732146
41,36.04516711962896
42,47.81944448128016
43,63.468736001778844
44,84.26945505291603
45,111.91919927473465
46,148.66817580063181
47,197.8767614369682
48,263.95091902634096
49,352.7626117579044
50,472.2806155180392
51,633.3329129936534
52,850.6312252316152
53,1144.1856427418809
54,1541.2380116755721
55,2078.9099069060294
56,2807.8310839712826
57,3797.11288611289
58,5141.170749343853
59,6969.088502766211
60,9457.478804267314
61,12848.154656563534
62,17472.424478666184
63,23784.510185285737
64,32407.53630164825
65,44196.84852326025
66,60327.230858165865
67,82413.0934120261
68,112674.16365298328
69,154164.00059796954
70,211085.27361279054
71,289224.91191330925
72,396554.9166725582
73,544062.1925545848
74,746895.082200632
75,1025947.9869568142
76,1410052.1524878442
77,1939005.4152833994
78,2667763.421126608
79,3672239.2220810116
80,5057330.677162854
81,6968034.38964686
82,9604836.934379188
83,13245034.87021357
84,18272274.521349665
85,25217490.256911114
86,34815652.59892973
87,48084449.20875707
88,66433399.28414004
89,91815204.63901196
90,126935729.56997746
91,175545378.35650334
92,242843501.8794196
93,336039784.33334607
94,465133688.22120565
95,643996850.4171475
96,891876439.8498601
97,1235483548.9138393
98,1711894763.6516597
99,2372584196.755603
100,3289027294.6035194
101,4560490321.485109
102,6324859626.758487
103,8773699139.768515
104,12173189960.372862
105,16893253888.576569
106,23448064969.59301
107,32552409526.914516
108,45200104929.18
109,62773124491.031105
110,87193470828.30803
111,121134569544.56595
112,168315544660.93295
113,233910919084.20624
114,325121078710.15424
115,451966671182.1502
116,628394965134.3466
117,873820841501.5321
118,1215273386389.1812
119,1690386390601.3564
120,2351564946429.3716
121,3271791247192.5137
122,4552715259207.9795
123,6335930547093.159
124,8818690652632.387
125,12275816769577.168
126,17090238443702.8
127,23795573006202.137
128,33135494371946.33
129,46146518381854.49
130,64273450371589.86
131,89530394723596.31
132,124725325713455.64
133,173773336287564.6
134,242133615564727.6
135,337419072583022.4
136,470246881149490.5
137,655425244376310.4
138,913609406244362.4
139,1273612615256189.5
