step,center_y,center_x,size
0,63.77938808373591,63.63365539452496,1242
1,64.07851851851852,64.00444444444445,675
2,66.60266666666666,63.50666666666667,375
3,66.87083333333334,64.75833333333334,240
4,64.53061224489795,62.08673469387755,196
5,63.910614525139664,62.944134078212294,179
6,64.24607329842932,64.1413612565445,191
7,63.52549019607843,61.60392156862745,255
8,62.73453608247423,63.45360824742268,388
9,63.39383561643836,64.12157534246575,584
10,64.19634703196347,63.40981735159817,876
11,63.86248012718601,63.449920508744036,1258
12,65.51097355092853,64.2993809791784,1777
13,65.33552343407797,64.35041611914149,2283
14,65.44255319148937,64.4031914893617,2820
15,65.53171587255189,63.93539900613855,3421
16,65.26429980276134,63.56582840236686,4056
17,65.12404092071611,63.481884057971016,4692
18,64.93852459016394,63.3470566318927,5368
19,64.65260382333553,63.40079103493738,6068
20,64.18822136726843,63.17904705534182,6758
21,63.93995442970111,63.1383192601528,7461
22,63.81903829683103,63.1016762510706,8173
23,63.69303904923599,62.987096774193546,8835
24,63.65488303786846,62.874331270324134,9533
25,63.70083292503675,62.85575698187163,10205
26,63.71730928499126,62.85322536118524,10867
27,63.678858942947144,62.76417570878544,11428
28,63.68241382188465,62.71162674234204,11981
29,63.708075532342306,62.68107673764564,12445
30,63.657365898902455,62.73156592981914,12938
31,63.70680078066356,62.777736075664315,13322
32,63.600438276113955,62.856464572680785,13690
33,63.63330241849183,62.85895698080902,14017
34,63.61258809573651,62.922685088270185,14331
35,63.60569077819678,62.99122386013027,14585
36,63.60737732656514,63.081692047377324,14775
37,63.623578214907,63.133212899772516,14946
38,63.62606569294825,63.12305862137334,15131
39,63.57930221902206,63.210708908817175,15277
40,63.57685071043924,63.16421202880685,15413
41,63.62053427743804,63.18216929514001,15535
42,63.6385225963385,63.23588528997568,15622
43,63.60478128179044,63.26074516785351,15728
44,63.54544879499019,63.32481497880954,15809
45,63.524960654705694,63.309537299339,15885
46,63.524063165810254,63.34697330492543,15958
47,63.509928812289246,63.35993505682528,16014
48,63.51360438328871,63.38341323703381,16061
49,63.52008692952499,63.40229742316051,16105
50,63.510995477916126,63.410456544632346,16143
51,63.50377008652658,63.428182941903586,16180
52,63.50444060688294,63.40822745775256,16214
53,63.50794237162911,63.43104297500308,16242
54,63.52089478859391,63.44395280235988,16272
55,63.51396305161726,63.469588166697356,16293
56,63.509872455236696,63.47308069659063,16308
57,63.501746644603784,63.47772262057976,16317
58,63.50263286798922,63.486835660053885,16332
59,63.50134556574923,63.496330275229354,16350
60,63.4934930042158,63.500641534795626,16367
61,63.48857666463042,63.503359804520464,16370
62,63.49514503816794,63.50509923664122,16375
63,63.49529914529914,63.50201465201465,16380
64,63.49606251144619,63.50027470850375,16381
65,63.49865706262972,63.49884019045294,16382
66,63.5,63.5,16384
67,63.5,63.5,16384
68,63.5,63.5,16384
69,63.5,63.5,16384
70,63.5,63.5,16384
71,63.5,63.5,16384
72,63.5,63.5,16384
73,63.5,63.5,16384
74,63.5,63.5,16384
75,63.5,63.5,16384
76,63.5,63.5,16384
77,63.5,63.5,16384
78,63.5,63.5,16384
79,63.5,63.5,16384
80,63.5,63.5,16384
81,63.5,63.5,16384
82,63.5,63.5,16384
83,63.5,63.5,16384
84,63.5,63.5,16384
85,63.5,63.5,16384
86,63.5,63.5,16384
87,63.5,63.5,16384
88,63.5,63.5,16384
89,63.5,63.5,16384
90,63.5,63.5,16384
91,63.5,63.5,16384
92,63.5,63.5,16384
93,63.5,63.5,16384
94,63.5,63.5,16384
95,63.5,63.5,16384
96,63.5,63.5,16384
97,63.5,63.5,16384
98,63.5,63.5,16384
99,63.5,63.5,16384
100,63.5,63.5,16384
101,63.5,63.5,16384
102,63.5,63.5,16384
103,63.5,63.5,16384
104,63.5,63.5,16384
105,63.5,63.5,16384
106,63.5,63.5,16384
107,63.5,63.5,16384
108,63.5,63.5,16384
109,63.5,63.5,16384
110,63.5,63.5,16384
111,63.5,63.5,16384
112,63.5,63.5,16384
113,63.5,63.5,16384
114,63.5,63.5,16384
115,63.5,63.5,16384
116,63.5,63.5,16384
117,63.5,63.5,16384
118,63.5,63.5,16384
119,63.5,63.5,16384
120,63.5,63.5,16384
121,63.5,63.5,16384
122,63.5,63.5,16384
123,63.5,63.5,16384
124,63.5,63.5,16384
125,63.5,63.5,16384
126,63.5,63.5,16384
127,63.5,63.5,16384
128,63.5,63.5,16384
129,63.5,63.5,16384
130,63.5,63.5,16384
131,63.5,63.5,16384
132,63.5,63.5,16384
133,63.5,63.5,16384
134,63.5,63.5,16384
135,63.5,63.5,16384
136,63.5,63.5,16384
137,63.5,63.5,16384
138,63.5,63.5,16384
139,63.5,63.5,16384
140,63.5,63.5,16384
141,63.5,63.5,16384
142,63.5,63.5,16384
143,63.5,63.5,16384
144,63.5,63.5,16384
145,63.5,63.5,16384
146,63.5,63.5,16384
147,63.5,63.5,16384
148,63.5,63.5,16384
149,63.5,63.5,16384
150,63.5,63.5,16384
151,63.5,63.5,16384
152,63.5,63.5,16384
153,63.5,63.5,16384
154,63.5,63.5,16384
155,63.5,63.5,16384
156,63.5,63.5,16384
157,63.5,63.5,16384
158,63.5,63.5,16384
159,63.5,63.5,16384
160,63.5,63.5,16384
161,63.5,63.5,16384
162,63.5,63.5,16384
163,63.5,63.5,16384
