step,phi_center_abs
0,0.22077219960235409
1,0.42945698678347655
2,0.6286946195842402
3,0.8199505738295743
4,1.0041038803180764
5,1.1816899005203712
6,1.3532713023380505
7,1.519287093521389
8,1.680099114502959
9,1.83603806473476
10,1.9874037884302274
11,2.1344845170309283
12,2.2775687610604036
13,2.4169549457206334
14,2.552963608341387
15,2.6855745482855626
16,2.815560136833642
17,2.943378670098452
18,3.0695761121207052
19,3.1948168398522676
20,3.3199224271850163
21,3.445924205028512
22,3.5741355179367873
23,3.706251562635806
24,3.844489574237099
25,3.9917851898234797
26,4.152085816087639
27,4.330781762304403
28,4.535363730514398
29,4.776461312410089
30,5.069542157526114
31,5.437817147097203
32,5.917485482418768
33,6.567828038749948
34,7.492239617512162
35,8.886720326966426
36,11.167594179643986
37,15.1353365355261
38,22.049309960216846
39,34.14950545795869
40,55.37861719709005
41,92.68964328735392
42,158.35333406297
43,274.03118697846617
44,477.97334228011425
45,762.3445176166289
46,1038.1711335676002
47,1305.769160989665
48,1565.3825841023183
49,1817.2489425191793
50,2061.5991821561524
51,2298.6576225708804
52,2528.6419068940927
53,2751.7631789242414
54,2968.226278035218
55,3178.2299280580696
56,3381.9669201134147
57,3579.6242897878296
58,3771.3834890117064
59,3957.4205528032003
60,4137.90626103123
61,4313.006295345961
62,4482.881391421107
63,4647.6874866481885
64,4807.575863418672
65,4962.6932881258645
66,5113.1821460144865
67,5259.180572002036
68,5400.822577592317
69,5538.238173997933
70,5671.553491585032
71,5800.890895750224
72,5926.369099336283
73,6048.103271690071
74,6166.205144463027
75,6280.783114251559
76,6391.942342171768
77,6499.784850460119
78,6604.409616188913
79,6705.912662182789
80,6804.387145219875
81,6899.923441598723
82,6992.60923014975
83,7082.5295727675175
84,7169.766992537937
85,7254.4015495322565
86,7336.510914337538
87,7416.170439391243
88,7493.453228185547
89,7568.4302024050085
90,7641.170167059347
91,7711.739873671217
92,7780.204081577093
93,7846.625617397622
94,7911.065432732127
95,7973.582660130338
96,8034.234667392761
97,8093.0771102496765
98,8150.163983467143
99,8205.547670427024
100,8259.278991226616
101,8311.40724934209
102,8361.980276898637
103,8411.044478588981
104,8458.644874280544
105,8504.82514035053
106,8549.62764978684
107,8593.093511091742
108,8635.262606023998
109,8676.173626214197
110,8715.86410868689
111,8754.370470322232
112,8791.72804128875
113,8827.971097478005
114,8863.132891970936
115,8897.24568556481
116,8930.340776388835
117,8962.448528635628
118,8993.598400434992
119,9023.81897089556
120,9053.137966339182
121,9081.582285752169
122,9109.178025476758
123,9135.95050316551
124,9161.924281020618
125,9187.123188339514
126,9211.570343387473
127,9235.288174617299
128,9258.298441255594
129,9280.62225327456
130,9302.280090767605
131,9323.291822746634
132,9343.67672537824
133,9363.45349967557
134,9382.640288662109
135,9401.254694023164
136,9419.313792260315
137,9436.834150363711
138,9453.831841016572
139,9470.322457345877
140,9486.321127232794
141,9501.84252719598
142,9516.900895860526
143,9531.51004702488
144,9545.683382337793
145,9559.433903596904
146,9572.774224680255
147,9585.716583121726
148,9598.272851340975
149,9610.454547538237
150,9622.27284626397
151,9633.738588673034
152,9644.862292472875
153,9655.654161574786
154,9666.124095457148
155,9676.281698249233
156,9686.136287543928
157,9695.69690294744
158,9704.972314373861
159,9713.971030092205
160,9722.701304533288
161,9731.171145863638
162,9739.388323333387
163,9747.360374404881
164,9755.094611668555
165,9762.598129552442
166,9769.877810831436
167,9776.940332942342
168,9783.792174110447
169,9790.43961929329
170,9796.88876594706
171,9803.145529620913
172,9809.215649384365
173,9815.104693092722
174,9820.818062495395
175,9826.360998191782
176,9831.738584439263
177,9836.955753817738
178,9842.017291754966
179,9846.927840916882
180,9851.691905466905
181,9856.31385519816
182,9860.797929542387
183,9865.148241459248
184,9869.36878120957
185,9873.463420016004
186,9877.435913614461
187,9881.289905699583
188,9885.028931267392
189,9888.656419858233
190,9892.17569870292
191,9895.58999577504
192,9898.90244275217
193,9902.116077888739
194,9905.233848803178
195,9908.258615181912
196,9911.193151402675
197,9914.04014907954
198,9916.802219532034
199,9919.481896180578
200,9922.081636870449
201,9924.603826126415
202,9927.05077734009
203,9929.424734892043
204,9931.727876210582
205,9933.962313769103
206,9936.130097023879
207,9938.233214294009
208,9940.273594585273
209,9942.253109359606
210,9944.173574251747
211,9946.036750734687
212,9947.844347735423
213,9949.598023202516
214,9951.299385626875
215,9952.949995517167
216,9954.551366831223
217,9956.104968364718
218,9957.61222509844
219,9959.07451950536
220,9960.4931928187
221,9961.869546262176
222,9963.204842243542
223,9964.500305512516
224,9965.757124284179
225,9966.976451328836
226,9968.159405029377
227,9969.307070407094
228,9970.4205001169
229,9971.500715412836
230,9972.548707084801
231,9973.56543636732
232,9974.551835821205
233,9975.50881018891
234,9976.437237224387
235,9977.337968498161
236,9978.211830178398
237,9979.059623788678
238,9979.88212694316
239,9980.680094059797
240,9981.454257052306
241,9982.205326001473
242,9982.933989806434
243,9983.640916816537
244,9984.326755444348
245,9984.992134760365
246,9985.637665069999
247,9986.263938473343
248,9986.871529408241
249,9987.460995177149
250,9988.032876458286
251,9988.587697801544
252,9989.125968109582
253,9989.648181104601
254,9990.154815781161
255,9990.64633684551
256,9991.123195141812
257,9991.58582806564
258,9992.034659965146
259,9992.470102530273
260,9992.89255517034
261,9993.302405380367
262,9993.700029096486
263,9994.08579104073
264,9994.460045055552
265,9994.823134428356
266,9995.17539220635
267,9995.51714150202
268,9995.848695789455
269,9996.170359191881
270,9996.482426760582
271,9996.785184745511
272,9997.078910857836
273,9997.363874524643
274,9997.640337136048
275,9997.908552284942
276,9998.168765999568
277,9998.421216969176
278,9998.666136762946
279,9998.903750042367
280,9999.134274767299
281,9999.357922395873
282,9999.574898078436
283,9999.785400845707
284,9999.989623791333
285,10000.187754248967
286,10000.379973964107
287,10000.566459260779
288,10000.747381203251
289,10000.922905752941
290,10001.093193920624
291,10001.258401914103
292,10001.41868128149
293,10001.574179050194
294,10001.725037861781
295,10001.871396102782
296,10002.01338803164
297,10002.151143901836
298,10002.284790081356
299,10002.414449168597
300,10002.54024010481
301,10002.662278283193
302,10002.780675654723
303,10002.89554083084
304,10003.006979183061
305,10003.115092939626
306,10003.219981279264
307,10003.321740422154
308,10003.42046371818
309,10003.516241732543
310,10003.609162328843
311,10003.699310749651
312,10003.786769694698
313,10003.871619396734
314,10003.953937695109
315,10004.033800107163
316,10004.111279897508
317,10004.186448145212
318,10004.259373808994
319,10004.330123790476
320,10004.398762995552
321,10004.465354393906
322,10004.52995907678
323,10004.592636313011
324,10004.653443603373
325,10004.71243673334
326,10004.769669824243
327,10004.825195382913
328,10004.879064349836
329,10004.931326145888
330,10004.982028717659
331,10005.031218581424
332,10005.078940865824
333,10005.125239353247
334,10005.170156519991
335,10005.213733575225
336,10005.256010498788
337,10005.297026077858
338,10005.336817942534
339,10005.375422600348
340,10005.412875469747
341,10005.449210912593
342,10005.48446226567
343,10005.518661871263
344,10005.551841106837
345,10005.5840304138
346,10005.61525932544
347,10005.645556494002
348,10005.674949716988
349,10005.703465962632
350,10005.731131394654
351,10005.757971396259
352,10005.784010593406
353,10005.809272877417
354,10005.83378142687
355,10005.857558728883
356,10005.88062659972
357,10005.903006204817
358,10005.924718078197
359,10005.945782141293
360,10005.966217721232
361,10005.986043568568
362,10006.005277874468
363,10006.023938287413
364,10006.042041929377
365,10006.059605411536
366,10006.076644849509
367,10006.09317587814
368,10006.109213665837
369,10006.12477292849
370,10006.139867942964
371,10006.154512560204
372,10006.168720217935
373,10006.18250395299
374,10006.195876413276
375,10006.208849869365
376,10006.221436225755
377,10006.233647031795
378,10006.245493492273
379,10006.256986477702
380,10006.268136534281
381,10006.278953893585
382,10006.289448481937
383,10006.299629929521
384,10006.309507579219
385,10006.319090495173
386,10006.328387471109
387,10006.337407038396
388,10006.346157473883
389,10006.354646807484
390,10006.362882829544
391,10006.370873097992
392,10006.378624945271
393,10006.386145485063
394,10006.39344161882
395,10006.400520042089
396,10006.407387250661
397,10006.414049546525
398,10006.420513043655
399,10006.42678367361
400,10006.432867190992
401,10006.438769178703
402,10006.444495053092
403,10006.450050068903
404,10006.455439324105
405,10006.460667764568
406,10006.465740188605
407,10006.47066125137
408,10006.475435469121
409,10006.480067223381
410,10006.484560764944
411,10006.48892021778
412,10006.493149582817
413,10006.497252741614
414,10006.501233459921
415,10006.505095391134
416,10006.508842079644
417,10006.512476964095
418,10006.516003380537
419,10006.51942456548
420,10006.522743658876
421,10006.525963706987
422,10006.52908766519
423,10006.53211840068
424,10006.535058695114
425,10006.537911247142
426,10006.540678674904
427,10006.543363518424
428,10006.545968241935
429,10006.548495236151
430,10006.550946820453
431,10006.553325245017
432,10006.55563269288
433,10006.557871281948
434,10006.560043066935
435,10006.562150041242
436,10006.564194138797
437,10006.566177235825
438,10006.56810115257
439,10006.569967654961
440,10006.571778456242
441,10006.573535218531
442,10006.575239554357
443,10006.576893028137
444,10006.578497157603
445,10006.580053415206
446,10006.58156322946
447,10006.583027986255
448,10006.584449030132
449,10006.585827665507
450,10006.587165157884
451,10006.588462734997
452,10006.589721587952
453,10006.590942872313
454,10006.592127709164
455,10006.593277186137
456,10006.59439235841
457,10006.595474249676
458,10006.596523853086
459,10006.597542132151
460,10006.598530021634
461,10006.59948842841
462,10006.600418232287
463,10006.601320286823
464,10006.602195420108
465,10006.60304443552
466,10006.603868112465
467,10006.604667207095
468,10006.605442452996
469,10006.606194561862
470,10006.606924224156
471,10006.607632109735
472,10006.608318868466
473,10006.608985130826
474,10006.60963150848
475,10006.610258594836
476,10006.610866965599
477,10006.611457179295
478,10006.61202977778
479,10006.612585286743
480,10006.613124216186
481,10006.613647060896
482,10006.61415430089
483,10006.614646401864
484,10006.615123815613
485,10006.615586980452
486,10006.61603632162
487,10006.616472251666
488,10006.616895170826
489,10006.617305467389
490,10006.617703518064
491,10006.618089688314
492,10006.6184643327
493,10006.618827795193
494,10006.619180409512
495,10006.619522499412
496,10006.619854378983
497,10006.620176352946
498,10006.620488716928
499,10006.620791757736
500,10006.621085753612
501,10006.6213709745
502,10006.62164768229
503,10006.62191613105
504,10006.622176567269
505,10006.622429230085
506,10006.622674351493
507,10006.622912156567
508,10006.623142863664
509,10006.623366684626
510,10006.62358382497
511,10006.623794484083
512,10006.623756719151
513,10006.623486713523
514,10006.622999853746
515,10006.622310764453
516,10006.621433341808
517,10006.620380785582
518,10006.619165629909
519,10006.617799772783
520,10006.61629450433
521,10006.61466053391
522,10006.612908016106
523,10006.611046575616
524,10006.609085331129
525,10006.607032918198
526,10006.604897511157
527,10006.602686844115
528,10006.600408231081
529,10006.598068585236
530,10006.595674437389
531,10006.59323195367
532,10006.59074695245
533,10006.588224920562
534,10006.58567102883
535,10006.583090146922
536,10006.58048685759
537,10006.577865470283
538,10006.575230034177
539,10006.572584350657
540,10006.569931985243
541,10006.567276279015
542,10006.564620359524
543,10006.561967151256
544,10006.559319385602
545,10006.556679610432
546,10006.554050199215
547,10006.551433359755
548,10006.548831142542
549,10006.546245448722
550,10006.54367803772
551,10006.541130534528
552,10006.538604436651
553,10006.536101120766
554,10006.533621849056
555,10006.531167775269
556,10006.528739950509
557,10006.526339328746
558,10006.523966772094
559,10006.521623055834
560,10006.519308873205
561,10006.51702483998
562,10006.514771498832
563,10006.512549323485
564,10006.510358722679
565,10006.508200043952
566,10006.506073577235
567,10006.503979558272
568,10006.501918171902
569,10006.499889555149
570,10006.497893800193
571,10006.49593095718
572,10006.4940010369
573,10006.492104013338
574,10006.490239826095
575,10006.488408382687
