frequency_Hz,amplitude
0.0,0.0
1.0000000000000001e+18,2.3867194737791254e+142
2.0000000000000003e+18,2.3855159107557814e+142
3.0000000000000005e+18,2.383514064996682e+142
4.0000000000000005e+18,2.3807200390680186e+142
5.000000000000001e+18,2.377142304473403e+142
6.000000000000001e+18,2.3727916309896724e+142
7.000000000000001e+18,2.3676809978050684e+142
8.000000000000001e+18,2.3618254878799281e+142
9.000000000000001e+18,2.3552421671870858e+142
1.0000000000000002e+19,2.347949950684011e+142
1.1000000000000002e+19,2.3399694570177834e+142
1.2000000000000002e+19,2.3313228540652886e+142
1.3000000000000002e+19,2.3220336974642847e+142
1.4000000000000002e+19,2.3121267642974502e+142
1.5000000000000002e+19,2.3016278840538076e+142
1.6000000000000002e+19,2.2905637689139362e+142
1.7000000000000002e+19,2.2789618452918698e+142
1.8000000000000002e+19,2.266850088423094e+142
1.9000000000000004e+19,2.254256861620556e+142
2.0000000000000004e+19,2.2412107616351664e+142
2.1000000000000004e+19,2.2277404713600053e+142
2.2000000000000004e+19,2.2138746209141745e+142
2.3000000000000004e+19,2.1996416579381755e+142
2.4000000000000004e+19,2.1850697277328813e+142
2.5000000000000004e+19,2.1701865636824248e+142
2.6000000000000004e+19,2.1550193882212688e+142
2.7000000000000004e+19,2.1395948244399556e+142
2.8000000000000004e+19,2.123938818274372e+142
2.9000000000000004e+19,2.1080765710913285e+142
3.0000000000000004e+19,2.092032482369125e+142
3.1000000000000004e+19,2.0758301020759792e+142
3.2000000000000004e+19,2.0594920922710703e+142
3.3000000000000004e+19,2.0430401973918708e+142
3.4000000000000004e+19,2.0264952226462597e+142
3.5000000000000004e+19,2.0098770198973494e+142
3.6000000000000004e+19,1.993204480411554e+142
3.700000000000001e+19,1.976495533834646e+142
3.800000000000001e+19,1.959767152764827e+142
3.900000000000001e+19,1.9430353623046482e+142
4.000000000000001e+19,1.9263152539934652e+142
4.100000000000001e+19,1.9096210035475862e+142
4.200000000000001e+19,1.892965891865149e+142
4.300000000000001e+19,1.876362328785761e+142
4.400000000000001e+19,1.8598218791301704e+142
4.500000000000001e+19,1.843355290581644e+142
4.600000000000001e+19,1.8269725230076467e+142
4.700000000000001e+19,1.8106827788571306e+142
4.800000000000001e+19,1.7944945343047237e+142
4.900000000000001e+19,1.7784155708479461e+142
5.000000000000001e+19,1.7624530070968936e+142
5.100000000000001e+19,1.746613330527411e+142
5.200000000000001e+19,1.7309024289984276e+142
5.300000000000001e+19,1.7153256218617158e+142
5.400000000000001e+19,1.6998876905178705e+142
5.500000000000001e+19,1.684592908295671e+142
5.600000000000001e+19,1.669445069553326e+142
5.700000000000001e+19,1.654447517919371e+142
5.800000000000001e+19,1.6396031736082995e+142
5.900000000000001e+19,1.6249145597615104e+142
6.000000000000001e+19,1.6103838277778196e+142
6.100000000000001e+19,1.596012781609891e+142
6.200000000000001e+19,1.581802901013466e+142
6.300000000000001e+19,1.5677553637454334e+142
6.400000000000001e+19,1.5538710667146277e+142
6.500000000000001e+19,1.5401506460959552e+142
6.600000000000001e+19,1.5265944964240574e+142
6.700000000000001e+19,1.513202788687448e+142
6.800000000000001e+19,1.4999754874478538e+142
6.900000000000001e+19,1.4869123670126063e+142
7.000000000000001e+19,1.4740130266903314e+142
7.100000000000001e+19,1.4612769051620078e+142
7.200000000000001e+19,1.4487032940007974e+142
7.300000000000001e+19,1.4362913503748952e+142
7.400000000000002e+19,1.4240401089681548e+142
7.500000000000002e+19,1.411948493153395e+142
7.600000000000002e+19,1.4000153254531503e+142
7.700000000000002e+19,1.3882393373223122e+142
7.800000000000002e+19,1.3766191782865058e+142
7.900000000000002e+19,1.3651534244693768e+142
8.000000000000002e+19,1.3538405865410897e+142
8.100000000000002e+19,1.3426791171194038e+142
8.200000000000002e+19,1.3316674176536738e+142
8.300000000000002e+19,1.3208038448210282e+142
8.400000000000002e+19,1.310086716462855e+142
8.500000000000002e+19,1.2995143170885858e+142
8.600000000000002e+19,1.2890849029725853e+142
8.700000000000002e+19,1.2787967068688134e+142
8.800000000000002e+19,1.2686479423667386e+142
8.900000000000002e+19,1.2586368079108638e+142
9.000000000000002e+19,1.248761490505095e+142
9.100000000000002e+19,1.23902016912208e+142
9.200000000000002e+19,1.229411017836581e+142
9.300000000000002e+19,1.2199322087009257e+142
9.400000000000002e+19,1.2105819143795558e+142
9.500000000000002e+19,1.2013583105587694e+142
9.600000000000002e+19,1.1922595781467847e+142
9.700000000000002e+19,1.1832839052784245e+142
9.800000000000002e+19,1.1744294891378226e+142
9.900000000000002e+19,1.1656945376117942e+142
1.0000000000000002e+20,1.1570772707857183e+142
1.0100000000000002e+20,1.1485759222930519e+142
1.0200000000000002e+20,1.1401887405289386e+142
1.0300000000000002e+20,1.1319139897376668e+142
1.0400000000000002e+20,1.1237499509831588e+142
1.0500000000000002e+20,1.115694923011066e+142
1.0600000000000002e+20,1.1077472230104851e+142
1.0700000000000002e+20,1.09990518728282e+142
1.0800000000000002e+20,1.0921671718247741e+142
1.0900000000000002e+20,1.0845315528320474e+142
1.1000000000000002e+20,1.0769967271298357e+142
1.1100000000000002e+20,1.0695611125358436e+142
1.1200000000000002e+20,1.0622231481611337e+142
1.1300000000000002e+20,1.0549812946537578e+142
1.1400000000000002e+20,1.0478340343898125e+142
1.1500000000000002e+20,1.0407798716162009e+142
1.1600000000000002e+20,1.0338173325491183e+142
1.1700000000000002e+20,1.0269449654319871e+142
1.1800000000000002e+20,1.0201613405563023e+142
1.1900000000000002e+20,1.0134650502486127e+142
1.2000000000000002e+20,1.0068547088266351e+142
1.2100000000000002e+20,1.0003289525272716e+142
1.2200000000000002e+20,9.938864394091217e+141
1.2300000000000002e+20,9.87525849231877e+141
1.2400000000000002e+20,9.812458833148184e+141
1.2500000000000002e+20,9.75045264376482e+141
1.2600000000000002e+20,9.689227363573857e+141
1.2700000000000002e+20,9.62877064227598e+141
1.2800000000000002e+20,9.569070337807677e+141
1.2900000000000002e+20,9.510114514161376e+141
1.3000000000000002e+20,9.451891439099273e+141
1.3100000000000002e+20,9.394389581773792e+141
1.3200000000000002e+20,9.337597610266619e+141
1.3300000000000002e+20,9.281504389057176e+141
1.3400000000000002e+20,9.22609897643073e+141
1.3500000000000002e+20,9.171370621835462e+141
1.3600000000000002e+20,9.117308763196959e+141
1.3700000000000002e+20,9.063903024198123e+141
1.3800000000000002e+20,9.011143211531634e+141
1.3900000000000002e+20,8.959019312131645e+141
1.4000000000000002e+20,8.907521490390783e+141
1.4100000000000002e+20,8.856640085367956e+141
1.4200000000000002e+20,8.806365607992136e+141
1.4300000000000002e+20,8.756688738266668e+141
1.4400000000000002e+20,8.707600322478345e+141
1.4500000000000002e+20,8.659091370415124e+141
