frequency_Hz,amplitude
0.0,3.384606560206073e+125
1.0000000000000001e+18,3.296359607194994e+141
2.0000000000000003e+18,3.294704576921984e+141
3.0000000000000005e+18,3.2919517970880575e+141
4.0000000000000005e+18,3.288109624054482e+141
5.000000000000001e+18,3.283189658425501e+141
6.000000000000001e+18,3.277206648681799e+141
7.000000000000001e+18,3.27017836998631e+141
8.000000000000001e+18,3.2621254800915294e+141
9.000000000000001e+18,3.2530713545999285e+141
1.0000000000000002e+19,3.243041904094425e+141
1.1000000000000002e+19,3.2320653758591386e+141
1.2000000000000002e+19,3.220172143049306e+141
1.3000000000000002e+19,3.2073944842427405e+141
1.4000000000000002e+19,3.193766356315238e+141
1.5000000000000002e+19,3.17932316353247e+141
1.6000000000000002e+19,3.164101525646222e+141
1.7000000000000002e+19,3.148139047629921e+141
1.8000000000000002e+19,3.131474093494627e+141
1.9000000000000004e+19,3.114145566400069e+141
2.0000000000000004e+19,3.096192697024216e+141
2.1000000000000004e+19,3.0776548418874395e+141
2.2000000000000004e+19,3.0585712930514126e+141
2.3000000000000004e+19,3.038981100335885e+141
2.4000000000000004e+19,3.0189229069246073e+141
2.5000000000000004e+19,2.9984347989709206e+141
2.6000000000000004e+19,2.9775541695681546e+141
2.7000000000000004e+19,2.9563175972239135e+141
2.8000000000000004e+19,2.9347607387730392e+141
2.9000000000000004e+19,2.9129182364834467e+141
3.0000000000000004e+19,2.8908236389527884e+141
3.1000000000000004e+19,2.868509335262448e+141
3.2000000000000004e+19,2.8460065017479096e+141
3.3000000000000004e+19,2.823345060660289e+141
3.4000000000000004e+19,2.800553649931163e+141
3.5000000000000004e+19,2.7776596032101154e+141
3.6000000000000004e+19,2.7546889393196788e+141
3.700000000000001e+19,2.7316663602634654e+141
3.800000000000001e+19,2.7086152569282166e+141
3.900000000000001e+19,2.68555772163709e+141
4.000000000000001e+19,2.662514566737822e+141
4.100000000000001e+19,2.639505348443449e+141
4.200000000000001e+19,2.616548395183416e+141
4.300000000000001e+19,2.593660839767425e+141
4.400000000000001e+19,2.5708586547119975e+141
4.500000000000001e+19,2.548156690129033e+141
4.600000000000001e+19,2.525568713625804e+141
4.700000000000001e+19,2.5031074517156534e+141
4.800000000000001e+19,2.4807846322876927e+141
4.900000000000001e+19,2.4586110277312178e+141
5.000000000000001e+19,2.4365964983560097e+141
5.100000000000001e+19,2.4147500357928325e+141
5.200000000000001e+19,2.3930798060989176e+141
5.300000000000001e+19,2.3715931923310197e+141
