step,num_pos,num_neg,net_charge,total_vortices
0,2278,2279,-1,4557
1,1964,1961,3,3925
2,1690,1688,2,3378
3,1467,1468,-1,2935
4,1310,1311,-1,2621
5,1166,1167,-1,2333
6,1032,1035,-3,2067
7,944,945,-1,1889
8,855,855,0,1710
9,779,778,1,1557
10,722,718,4,1440
11,660,656,4,1316
12,600,597,3,1197
13,552,549,3,1101
14,521,519,2,1040
15,485,483,2,968
16,458,456,2,914
17,426,425,1,851
18,400,398,2,798
19,377,374,3,751
20,360,359,1,719
21,340,338,2,678
22,316,315,1,631
23,304,304,0,608
24,295,295,0,590
25,286,287,-1,573
26,273,274,-1,547
27,269,271,-2,540
28,261,263,-2,524
29,248,250,-2,498
30,244,245,-1,489
31,238,238,0,476
32,235,234,1,469
33,227,226,1,453
34,216,215,1,431
35,210,209,1,419
36,205,204,1,409
37,198,198,0,396
38,195,195,0,390
39,193,193,0,386
40,181,181,0,362
41,176,177,-1,353
42,174,174,0,348
43,171,171,0,342
44,164,162,2,326
45,164,163,1,327
46,154,153,1,307
47,149,148,1,297
48,146,145,1,291
49,142,141,1,283
50,140,138,2,278
51,136,134,2,270
52,138,136,2,274
53,139,136,3,275
54,135,134,1,269
55,135,133,2,268
56,136,134,2,270
57,132,130,2,262
58,122,120,2,242
59,123,122,1,245
60,120,119,1,239
61,118,117,1,235
62,115,114,1,229
63,114,113,1,227
64,112,111,1,223
65,108,107,1,215
66,99,98,1,197
67,97,96,1,193
68,97,96,1,193
69,92,91,1,183
70,90,89,1,179
71,90,89,1,179
72,89,88,1,177
73,87,87,0,174
74,85,85,0,170
75,84,84,0,168
76,81,81,0,162
77,80,80,0,160
78,78,78,0,156
79,78,78,0,156
80,78,78,0,156
81,77,77,0,154
82,75,75,0,150
83,75,75,0,150
84,75,75,0,150
85,74,74,0,148
86,72,72,0,144
87,71,71,0,142
88,70,70,0,140
89,70,70,0,140
90,70,70,0,140
91,70,70,0,140
92,70,70,0,140
93,69,69,0,138
94,69,69,0,138
95,67,67,0,134
96,66,66,0,132
