frequency_Hz,amplitude
0.0,1.435893640317279e-15
5.0000000000000006e+17,1.1381542960828973e+17
1.0000000000000001e+18,8.184403570502269e+16
1.5000000000000003e+18,4.452612752871165e+16
2.0000000000000003e+18,1.5718516875860346e+16
2.5000000000000005e+18,1893453110670438.2
3.0000000000000005e+18,486865555283214.25
3.5000000000000005e+18,3986711135668978.0
4.0000000000000005e+18,5950604794775176.0
4.5000000000000005e+18,4513342611952115.0
5.000000000000001e+18,1667997131880154.8
5.500000000000001e+18,64306647367763.07
6.000000000000001e+18,464377641767538.8
6.500000000000001e+18,1640528003455695.5
7.000000000000001e+18,2052618788167826.2
7.500000000000001e+18,1340498087790077.0
8.000000000000001e+18,345289471592934.06
8.500000000000001e+18,6935894879355.513
9.000000000000001e+18,428779386623193.2
9.500000000000002e+18,954957621486195.1
1.0000000000000002e+19,970065916134171.0
1.0500000000000002e+19,499596074467302.3
1.1000000000000002e+19,62178670470963.63
1.1500000000000002e+19,57837641738997.83
1.2000000000000002e+19,382685987996912.5
1.2500000000000002e+19,617105189515358.2
1.3000000000000002e+19,503955742730551.25
1.3500000000000002e+19,186836109082835.06
1.4000000000000002e+19,2392113583225.354
1.4500000000000002e+19,104412708199451.23
1.5000000000000002e+19,329380221343660.7
1.5500000000000002e+19,408793803814304.75
1.6000000000000002e+19,262579756416233.88
1.6500000000000002e+19,58816827849295.46
1.7000000000000002e+19,6972991136696.273
1.7500000000000002e+19,132808192203475.39
1.8000000000000002e+19,272486392070163.53
1.8500000000000004e+19,266725942945550.28
1.9000000000000004e+19,128501362984261.78
1.9500000000000004e+19,10668466224877.812
2.0000000000000004e+19,29117346037844.234
2.0500000000000004e+19,143455200937934.16
2.1000000000000004e+19,215623527397526.38
2.1500000000000004e+19,166479668724517.38
2.2000000000000004e+19,54468834210440.42
2.2500000000000004e+19,200170569744.72025
2.3000000000000004e+19,51737452210304.35
2.3500000000000004e+19,139714520978228.92
2.4000000000000004e+19,162076880202979.8
2.4500000000000004e+19,96363724115493.33
2.5000000000000004e+19,16968045983299.936
2.5500000000000004e+19,7010257826036.069
2.6000000000000004e+19,68196687902428.18
2.6500000000000004e+19,125601838849404.22
2.7000000000000004e+19,114523475005055.05
2.7500000000000004e+19,49430875683264.6
2.8000000000000004e+19,2189215528595.332
2.8500000000000004e+19,20047208422682.375
2.9000000000000004e+19,76418176265347.77
2.9500000000000004e+19,105107065719623.98
3.0000000000000004e+19,74840153567192.39
3.0500000000000004e+19,20604748533043.664
3.1000000000000004e+19,1011305081121.2677
3.1500000000000004e+19,33075959784196.945
3.2000000000000004e+19,76636065735033.05
3.2500000000000004e+19,81857037468306.52
3.3000000000000004e+19,44010448729033.69
3.3500000000000004e+19,5597927043122.477
3.4000000000000004e+19,7018744380470.9795
3.4500000000000004e+19,42751813722591.43
3.5000000000000004e+19,70317936033615.29
3.5500000000000004e+19,58887852885926.35
3.6000000000000004e+19,22134289283345.723
3.6500000000000004e+19,555698232877.9847
3.700000000000001e+19,15658473052495.98
3.750000000000001e+19,47648279451306.88
3.800000000000001e+19,59521396355414.945
3.850000000000001e+19,38493282994511.8
3.900000000000001e+19,8531161691060.4
3.950000000000001e+19,2012212784143.8037
4.000000000000001e+19,23839875603717.92
4.050000000000001e+19,47655059557873.77
4.100000000000001e+19,46447916787673.78
4.150000000000001e+19,22153227252040.59
4.200000000000001e+19,1916636121089.6497
4.250000000000001e+19,6970039565862.712
4.300000000000001e+19,29692905608219.668
