frequency_Hz,amplitude
0.0,6.065582606497311e-15
5.0000000000000006e+17,1.1229973774427803e+17
1.0000000000000001e+18,8.117477416949035e+16
1.5000000000000003e+18,4.463743595005983e+16
2.0000000000000003e+18,1.6127178958501376e+16
2.5000000000000005e+18,2115940666928877.5
3.0000000000000005e+18,378861164761744.7
3.5000000000000005e+18,3746686827623079.0
4.0000000000000005e+18,5846605195923877.0
4.5000000000000005e+18,4618743490291119.0
5.000000000000001e+18,1835401489000822.5
5.500000000000001e+18,113100633003238.92
6.000000000000001e+18,365130943409911.4
6.500000000000001e+18,1519015164557594.8
7.000000000000001e+18,2038529631864760.8
7.500000000000001e+18,1434588969294065.2
8.000000000000001e+18,436018647003581.5
8.500000000000001e+18,25472098216.551773
9.000000000000001e+18,343143623653575.3
9.500000000000002e+18,890144551050769.8
1.0000000000000002e+19,993223277987869.4
1.0500000000000002e+19,578129973838114.5
1.1000000000000002e+19,107895938197685.95
1.1500000000000002e+19,25500373616645.098
1.2000000000000002e+19,314175615173863.8
1.2500000000000002e+19,589371074674279.4
1.3000000000000002e+19,544078649670493.1
1.3500000000000002e+19,247087648911331.34
1.4000000000000002e+19,17076158708145.283
1.4500000000000002e+19,61614840850288.336
1.5000000000000002e+19,279867806072531.1
1.5500000000000002e+19,407054705713134.56
1.6000000000000002e+19,307927914220407.0
1.6500000000000002e+19,99782783198027.34
1.7000000000000002e+19,95919423438.28535
1.7500000000000002e+19,89065218241315.61
1.8000000000000002e+19,242097276952757.97
1.8500000000000004e+19,282476218843387.75
1.9000000000000004e+19,171256105598408.0
1.9500000000000004e+19,33069186191504.176
2.0000000000000004e+19,8521147110856.933
2.0500000000000004e+19,105162565379489.42
2.1000000000000004e+19,202833926592817.9
2.1500000000000004e+19,192400004415015.3
2.2000000000000004e+19,89492022913299.75
2.2500000000000004e+19,6285425395514.85
2.3000000000000004e+19,24249474999464.5
2.3500000000000004e+19,110846496572817.5
2.4000000000000004e+19,163995343643232.44
2.4500000000000004e+19,126129461980504.6
2.5000000000000004e+19,41370148975584.3
2.5500000000000004e+19,201045223919.9549
2.6000000000000004e+19,39589076267762.6
2.6500000000000004e+19,108023282159163.38
2.7000000000000004e+19,127312371023391.3
2.7500000000000004e+19,77871568221087.55
2.8000000000000004e+19,15055765989549.014
2.8500000000000004e+19,4465731374527.274
2.9000000000000004e+19,51200023484871.47
2.9500000000000004e+19,98853987542868.78
3.0000000000000004e+19,94217604228786.16
3.0500000000000004e+19,43913278680691.57
3.1000000000000004e+19,3091040906099.582
3.1500000000000004e+19,13028764710949.031
3.2000000000000004e+19,57874633721016.6
3.2500000000000004e+19,85490365859563.3
3.3000000000000004e+19,65765014185107.04
3.3500000000000004e+19,21457724848284.457
3.4000000000000004e+19,326363233558.81476
3.4500000000000004e+19,22233950615370.258
3.5000000000000004e+19,59576674361688.72
3.5500000000000004e+19,69929760061322.51
3.6000000000000004e+19,42586587231592.77
3.6500000000000004e+19,8130093731219.96
3.700000000000001e+19,3008066213767.0645
3.750000000000001e+19,29929891164277.9
3.800000000000001e+19,56945821844393.266
3.850000000000001e+19,53912526993200.31
3.900000000000001e+19,24887247406169.977
3.950000000000001e+19,1784944299668.333
4.000000000000001e+19,8353868784065.867
4.050000000000001e+19,34997309901585.242
4.100000000000001e+19,50993445010211.484
4.150000000000001e+19,38848115478152.875
4.200000000000001e+19,12476256847814.53
4.250000000000001e+19,457461412116.6769
4.300000000000001e+19,14341157990708.81
4.350000000000001e+19,37055800116441.98
4.400000000000001e+19,42888622328038.445
4.450000000000001e+19,25769976256570.707
4.500000000000001e+19,4829289694709.438
4.550000000000001e+19,2381425650307.456
4.600000000000001e+19,19584814691605.496
4.650000000000001e+19,36250773664539.17
4.700000000000001e+19,33797413313280.46
4.750000000000001e+19,15321467176720.564
4.800000000000001e+19,1173083519325.9744
4.850000000000001e+19,6031886555364.528
4.900000000000001e+19,23246779055134.973
4.950000000000001e+19,33079506298418.84
5.000000000000001e+19,24762751639828.21
5.050000000000001e+19,7772545263345.233
5.100000000000001e+19,582816207594.1271
5.150000000000001e+19,10167949826619.38
5.200000000000001e+19,24950891483108.047
5.250000000000001e+19,28241343605832.42
5.300000000000001e+19,16621296984892.35
5.350000000000001e+19,3064043684475.0093
5.400000000000001e+19,2081832289986.3416
5.450000000000001e+19,13861290373422.691
5.500000000000001e+19,24692826743350.305
5.550000000000001e+19,22508857049528.598
5.600000000000001e+19,9955692484225.422
5.650000000000001e+19,873532682345.9849
5.700000000000001e+19,4733953430891.6875
5.750000000000001e+19,16503136097155.727
5.800000000000001e+19,22744217303299.074
5.850000000000001e+19,16621901891392.846
5.900000000000001e+19,5080285980181.756
5.950000000000001e+19,695023516100.7776
6.000000000000001e+19,7720197542172.559
6.050000000000001e+19,17787544739408.906
6.100000000000001e+19,19554650389719.508
6.150000000000001e+19,11207298092794.693
6.200000000000001e+19,2056260521943.1868
6.250000000000001e+19,1923659830494.4731
6.300000000000001e+19,10394020009331.967
6.350000000000001e+19,17672940769931.062
6.400000000000001e+19,15657726802924.314
6.450000000000001e+19,6726253642572.766
6.500000000000001e+19,730448725276.5049
6.550000000000001e+19,3936835574096.447
6.600000000000001e+19,12312008070267.242
6.650000000000001e+19,16326760546164.098
6.700000000000001e+19,11587713837183.195
6.750000000000001e+19,3449668270495.4375
6.800000000000001e+19,790547092586.4316
6.850000000000001e+19,6164217065753.524
6.900000000000001e+19,13239782686855.4
6.950000000000001e+19,14059828852798.764
7.000000000000001e+19,7812399909634.62
7.050000000000001e+19,1459198242355.2114
7.100000000000001e+19,1828689095827.184
7.150000000000001e+19,8141019630847.417
7.200000000000001e+19,13135550942878.645
7.250000000000001e+19,11257875086762.834
7.300000000000001e+19,4686037680073.5205
7.350000000000001e+19,669896964704.874
7.400000000000002e+19,3405429486327.5596
7.450000000000002e+19,9541214991253.443
7.500000000000002e+19,12115890561494.275
7.550000000000002e+19,8317334672202.168
7.600000000000002e+19,2424038440220.0405
7.650000000000002e+19,868653422301.3499
7.700000000000002e+19,5107102977418.912
7.750000000000002e+19,10189853422505.008
7.800000000000002e+19,10409785983060.564
7.850000000000002e+19,5591467337015.082
7.900000000000002e+19,1098735895097.0767
7.950000000000002e+19,1761723005807.7947
8.000000000000002e+19,6591066704371.7705
8.050000000000002e+19,10056028058997.096
8.100000000000002e+19,8307535374845.586
8.150000000000002e+19,3351073636479.991
8.200000000000002e+19,653412412788.757
8.250000000000002e+19,3024515254268.649
8.300000000000002e+19,7615370778950.747
8.350000000000002e+19,9230022910739.166
8.400000000000002e+19,6111021551932.964
8.450000000000002e+19,1762083364867.9475
8.500000000000002e+19,930204018665.6965
8.550000000000002e+19,4347451198646.5083
8.600000000000002e+19,8051582098291.164
8.650000000000002e+19,7889506736027.766
8.700000000000002e+19,4090851103362.6284
8.750000000000002e+19,880069975295.3708
8.800000000000002e+19,1706457084091.195
8.850000000000002e+19,5472936229190.685
8.900000000000002e+19,7881616934900.04
8.950000000000002e+19,6260350948077.83
9.000000000000002e+19,2454459339390.7466
9.050000000000002e+19,659847800829.7902
9.100000000000002e+19,2733859032251.0317
9.150000000000002e+19,6220176869019.266
9.200000000000002e+19,7181200020175.938
9.250000000000002e+19,4577561524462.835
9.300000000000002e+19,1327452615065.3923
9.350000000000002e+19,976753586206.0353
9.400000000000002e+19,3775066317312.342
9.450000000000002e+19,6496456111251.411
9.500000000000002e+19,6093863626549.629
9.550000000000002e+19,3051133835413.12
9.600000000000002e+19,748605039102.9019
9.650000000000002e+19,1655258571734.6804
9.700000000000002e+19,4633546882569.699
9.750000000000002e+19,6295319591319.686
9.800000000000002e+19,4800066756933.418
9.850000000000002e+19,1840431561766.2017
9.900000000000002e+19,677200060386.6041
9.950000000000002e+19,2500208469806.5635
1.0000000000000002e+20,5173737299922.514
1.0050000000000002e+20,5683693764483.445
1.0100000000000002e+20,3486050910195.6353
1.0150000000000002e+20,1039188526288.1613
1.0200000000000002e+20,1010047096819.0962
1.0250000000000002e+20,3326264165654.125
1.0300000000000002e+20,5330196580271.806
1.0350000000000002e+20,4781083330570.783
1.0400000000000002e+20,2316480461481.957
1.0450000000000002e+20,671605021315.4878
1.0500000000000002e+20,1604604067401.7578
1.0550000000000002e+20,3981911781034.637
1.0600000000000002e+20,5106037886408.125
1.0650000000000002e+20,3734658942613.146
1.0700000000000002e+20,1413974070691.6047
1.0750000000000002e+20,698567630558.2194
1.0800000000000002e+20,2304318526835.0005
1.0850000000000002e+20,4365563798089.628
1.0900000000000002e+20,4562251644243.369
1.0950000000000002e+20,2694075533490.7896
1.1000000000000002e+20,847322566393.0162
1.1050000000000002e+20,1031800459038.5908
1.1100000000000002e+20,2962478482342.534
1.1150000000000002e+20,4432610344885.067
1.1200000000000002e+20,3800533030928.176
1.1250000000000002e+20,1789433385144.2458
1.1300000000000002e+20,628835258023.8721
1.1350000000000002e+20,1552987894733.8743
1.1400000000000002e+20,3461522999019.8237
1.1450000000000002e+20,4193625698238.32
1.1500000000000002e+20,2942780441493.082
1.1550000000000002e+20,1114974445300.3318
1.1600000000000002e+20,720002041521.6611
1.1650000000000002e+20,2134617757753.718
1.1700000000000002e+20,3725747758393.687
1.1750000000000002e+20,3705098854284.482
1.1800000000000002e+20,2110495857687.489
1.1850000000000002e+20,720018748069.7631
1.1900000000000002e+20,1043627398089.2198
1.1950000000000002e+20,2659438697592.574
1.2000000000000002e+20,3726467258155.7544
1.2050000000000002e+20,3054897073002.2925
1.2100000000000002e+20,1406946433837.8755
1.2150000000000002e+20,607492259329.2899
1.2200000000000002e+20,1499944209456.9365
1.2250000000000002e+20,3035994938451.896
1.2300000000000002e+20,3479843246256.469
1.2350000000000002e+20,2345131711028.133
1.2400000000000002e+20,904227026173.0079
1.2450000000000002e+20,739305969006.8015
1.2500000000000002e+20,1983950072664.149
1.2550000000000002e+20,3208529550917.1436
1.2600000000000002e+20,3038573612567.2954
1.2650000000000002e+20,1675151476341.7205
1.2700000000000002e+20,636453835583.806
1.2750000000000002e+20,1047002986248.1714
1.2800000000000002e+20,2401374794622.6934
1.2850000000000002e+20,3160536856746.936
1.2900000000000002e+20,2479356849490.5894
1.2950000000000002e+20,1127058464761.7646
1.3000000000000002e+20,599320714739.5565
1.3050000000000002e+20,1445526930837.7349
1.3100000000000002e+20,2681157525149.3755
1.3150000000000002e+20,2912191585730.0913
1.3200000000000002e+20,1888396654779.3584
