y,x,phi,curl
0,0,4443.679228982491,0.0
0,20,4457.578374517192,0.0
0,40,4421.5118184629855,0.0
0,60,4431.833202131976,6.938893903907228e-18
0,80,4449.317197206206,8.673617379884035e-19
0,100,4377.752092588989,0.0
0,120,4414.587094679007,-8.673617379884035e-19
20,0,4444.4066312894465,1.734723475976807e-18
20,20,4414.813008245482,1.734723475976807e-18
20,40,4411.351102605196,0.0
20,60,4461.228232457295,0.0
20,80,4466.989872117189,0.0
20,100,4421.311131402771,1.734723475976807e-18
20,120,4419.273664938885,0.0
40,0,4447.808028762896,0.0
40,20,4456.110883413298,4.336808689942018e-19
40,40,4417.539896957662,0.0
40,60,4427.706663651798,0.0
40,80,4464.390384412779,1.734723475976807e-18
40,100,4437.521637260515,0.0
40,120,4451.188257456656,0.0
60,0,4430.8637705867395,-8.673617379884035e-19
60,20,4419.82505041658,-8.673617379884035e-19
60,40,4407.44000418612,0.0
60,60,4425.53414116175,3.469446951953614e-18
60,80,4474.344494256571,0.0
60,100,4469.400652964025,0.0
60,120,4457.275618774757,-1.734723475976807e-18
80,0,4419.723502172169,2.0816681711721685e-17
80,20,4440.127668990423,-2.6020852139652106e-18
80,40,4461.399401589771,0.0
80,60,4434.290140180611,2.7755575615628914e-17
80,80,4433.3291987349085,3.469446951953614e-18
80,100,4423.469637609081,-3.469446951953614e-18
80,120,4443.670408962303,-7.15573433840433e-18
100,0,4450.1663872349745,0.0
100,20,4458.918767045305,0.0
100,40,4443.831656297989,-3.469446951953614e-18
100,60,4446.182656587299,2.168404344971009e-19
100,80,4451.29527468788,0.0
100,100,4440.294616890905,0.0
100,120,4458.26204007693,0.0
120,0,4475.708316019392,0.0
120,20,4450.220997836793,-4.163336342344337e-17
120,40,4446.428218693416,0.0
120,60,4419.791163989013,-6.938893903907228e-18
120,80,4443.633974974793,0.0
120,100,4400.178929106454,0.0
120,120,4439.454748352997,0.0
