y,x,phi
0,0,1750.4363110167335
0,20,1791.8317586592123
0,40,1623.9407148611308
0,60,1766.775642695842
0,80,1754.9923050945013
0,100,1487.4907374051138
0,120,1614.4320622654132
20,0,1680.6634197581643
20,20,1482.044617089944
20,40,1558.3482099647438
20,60,1870.402849284366
20,80,1899.1479399603616
20,100,1764.1885970346848
20,120,1469.255407740376
40,0,1775.2878557372553
40,20,1889.4246092105964
40,40,1601.895099306552
40,60,1521.8687395052627
40,80,1899.3602619226463
40,100,1671.157628899487
40,120,1810.191958094566
60,0,1683.2768643620204
60,20,1551.8283657955599
60,40,1533.6791861148565
60,60,1616.1751093504608
60,80,1908.9833089309268
60,100,1877.6366993182153
60,120,1839.5358146938368
80,0,1595.843459881362
80,20,1618.8211721506061
80,40,1777.0913900251107
80,60,1607.8757469960453
80,80,1722.9168209940906
80,100,1682.1860385667007
80,120,1760.0707726993032
100,0,1747.629661276483
100,20,1850.0817814455388
100,40,1689.7410586767764
100,60,1679.6051800077128
100,80,1783.637461885722
100,100,1681.4615183125095
100,120,1823.1535790524213
120,0,1941.1577538893791
120,20,1721.8718676603737
120,40,1710.328860432901
120,60,1558.1882845043074
120,80,1657.1585608348062
120,100,1669.4820737499713
120,120,1776.5228515342174
