y,x,phi
0,0,1810.1058877269095
0,20,1800.8097157721534
0,40,1579.9857653115596
0,60,1657.1569155001077
0,80,1656.7442915365293
0,100,1331.7571730560292
0,120,1670.3711974139446
20,0,1702.3782851687781
20,20,1489.3946538590296
20,40,1443.2841749803163
20,60,1792.978012076409
20,80,1926.6146538987648
20,100,1712.622555177445
20,120,1513.6532739664729
40,0,1665.9028716535581
40,20,1957.0322152397202
40,40,1562.9611359438088
40,60,1462.7048579419964
40,80,1806.881805287668
40,100,1694.8846342612255
40,120,1796.1881884704385
60,0,1627.0053323088068
60,20,1625.0819595814698
60,40,1525.3076517129105
60,60,1584.103477259174
60,80,1972.602255519808
60,100,1830.4982136431831
60,120,1765.837050971901
80,0,1562.7395075369934
80,20,1646.8515997761351
80,40,1823.9355002255452
80,60,1637.1105272134766
80,80,1613.1025359375817
80,100,1634.7957497388381
80,120,1720.2897169354555
100,0,1746.7548450169932
100,20,1797.5627491337004
100,40,1714.4287974497322
100,60,1686.4685005899848
100,80,1774.536812565856
100,100,1681.7410959994843
100,120,1807.3219883333031
120,0,1996.414197788175
120,20,1709.3242113724002
120,40,1779.6040489155835
120,60,1551.1090254045225
120,80,1704.2543523832348
120,100,1513.4633730474347
120,120,1811.355848073038
