frequency_Hz,amplitude
0.0,1.2620452100910173e-16
5.0000000000000006e+17,1.861370992084597e+17
1.0000000000000001e+18,1.0060740361928362e+17
1.5000000000000003e+18,2.79359252280736e+16
2.0000000000000003e+18,665185194141146.0
2.5000000000000005e+18,4881717827692176.0
3.0000000000000005e+18,1.0558057626014564e+16
3.5000000000000005e+18,6335288373597666.0
4.0000000000000005e+18,645003197525668.6
4.5000000000000005e+18,819824650463572.5
5.000000000000001e+18,3379949432051102.5
5.500000000000001e+18,2945316692533867.0
6.000000000000001e+18,612485283809771.1
6.500000000000001e+18,150286037847606.28
7.000000000000001e+18,1433635166487663.2
7.500000000000001e+18,1706839004690163.8
8.000000000000001e+18,569233847226218.9
8.500000000000001e+18,11622659955494.252
9.000000000000001e+18,665416609575842.9
9.500000000000002e+18,1081177841190018.0
1.0000000000000002e+19,517335035946266.06
1.0500000000000002e+19,5173513586275.78
1.1000000000000002e+19,308219725031824.94
1.1500000000000002e+19,708144327149058.0
1.2000000000000002e+19,459218584714422.56
1.2500000000000002e+19,34562570275912.82
1.3000000000000002e+19,131774557682882.45
1.3500000000000002e+19,464933948254302.2
1.4000000000000002e+19,397499995185806.2
1.4500000000000002e+19,69326692522334.805
1.5000000000000002e+19,46346011550149.2
1.5500000000000002e+19,299240184897220.94
1.6000000000000002e+19,334811408659783.8
1.6500000000000002e+19,98560792749021.98
1.7000000000000002e+19,10209027581877.322
1.7500000000000002e+19,184916542539634.16
1.8000000000000002e+19,273641211906594.28
1.8500000000000004e+19,118520148716852.53
1.9000000000000004e+19,1284484202474.1438
1.9500000000000004e+19,107027123452764.52
2.0000000000000004e+19,216190624741900.88
2.0500000000000004e+19,128539920935226.95
2.1000000000000004e+19,6745973533371.897
2.1500000000000004e+19,55957411519195.18
2.2000000000000004e+19,164258452776025.75
2.2500000000000004e+19,129444022671794.48
2.3000000000000004e+19,18691818731943.004
2.3500000000000004e+19,24849983028729.316
2.4000000000000004e+19,119160822439745.25
2.4500000000000004e+19,122808938535830.66
2.5000000000000004e+19,32149551323748.008
2.5500000000000004e+19,8420011079967.693
2.6000000000000004e+19,81691533941999.14
2.6500000000000004e+19,110557661907410.34
2.7000000000000004e+19,44063017383953.92
2.7500000000000004e+19,2397855276574.253
2.8000000000000004e+19,52121887546499.445
2.8500000000000004e+19,94697817266320.45
2.9000000000000004e+19,52720337290826.06
2.9500000000000004e+19,3271017296232.236
3.0000000000000004e+19,30238863700199.49
3.0500000000000004e+19,77136339509174.42
3.1000000000000004e+19,57387306128995.016
3.1500000000000004e+19,8169523017683.198
3.2000000000000004e+19,15414702241838.299
3.2500000000000004e+19,59546503234764.74
3.3000000000000004e+19,58040792281573.86
3.3500000000000004e+19,14814748008563.271
3.4000000000000004e+19,6700796962648.364
3.4500000000000004e+19,43277892474248.836
3.5000000000000004e+19,55153916732939.56
3.5500000000000004e+19,21488831626641.32
3.6000000000000004e+19,2935786324574.6235
3.6500000000000004e+19,29306396374829.73
3.700000000000001e+19,49512980446330.086
3.750000000000001e+19,27001914764314.938
3.800000000000001e+19,2857923828757.997
3.850000000000001e+19,18221034895443.418
3.900000000000001e+19,42060189310868.17
3.950000000000001e+19,30646260607907.473
4.000000000000001e+19,5212280241261.863
4.050000000000001e+19,10243585982014.412
4.100000000000001e+19,33761110348366.32
4.150000000000001e+19,32134015366261.223
4.200000000000001e+19,8844086376679.254
4.250000000000001e+19,5275139806002.59
4.300000000000001e+19,25499435026229.277
4.350000000000001e+19,31520175766891.477
4.400000000000001e+19,12771939048140.635
4.450000000000001e+19,2962656619994.6953
4.500000000000001e+19,18000583307218.81
4.550000000000001e+19,29115492214153.992
4.600000000000001e+19,16236691489507.4
4.650000000000001e+19,2777134725555.62
4.700000000000001e+19,11785003341833.432
4.750000000000001e+19,25395639564589.266
4.800000000000001e+19,18724615728764.97
4.850000000000001e+19,4095288157061.446
4.900000000000001e+19,7150007421484.948
4.950000000000001e+19,20913710242746.957
5.000000000000001e+19,19965703367661.22
5.050000000000001e+19,6276999818338.833
5.100000000000001e+19,4177065296407.8066
5.150000000000001e+19,16222104795892.33
5.200000000000001e+19,19910400521584.81
5.250000000000001e+19,8731998657364.058
5.300000000000001e+19,2759929233842.769
5.350000000000001e+19,11809228891545.703
5.400000000000001e+19,18689667801873.207
5.450000000000001e+19,10971036561727.828
5.500000000000001e+19,2647592278626.302
5.550000000000001e+19,8054307750961.229
5.600000000000001e+19,16564168142663.506
5.650000000000001e+19,12638734802689.66
5.700000000000001e+19,3495656595016.35
5.750000000000001e+19,5201858762268.077
5.800000000000001e+19,13869140107796.217
5.850000000000001e+19,13527428773804.707
5.900000000000001e+19,4919584776074.113
5.950000000000001e+19,3355184942983.0273
6.000000000000001e+19,10960766704147.973
6.050000000000001e+19,13573328267175.014
6.100000000000001e+19,6544070125092.255
6.150000000000001e+19,2486816270030.19
6.200000000000001e+19,8169353592535.723
6.250000000000001e+19,12837797543797.832
6.300000000000001e+19,8043815971854.747
6.350000000000001e+19,2462088966150.916
6.400000000000001e+19,5763160516021.397
6.450000000000001e+19,11477900855762.238
6.500000000000001e+19,9172573063922.322
6.550000000000001e+19,3071470062710.4233
6.600000000000001e+19,3925167930105.284
6.650000000000001e+19,9710805377132.846
6.700000000000001e+19,9778863166157.914
6.750000000000001e+19,4066735351963.728
6.800000000000001e+19,2743418115039.914
6.850000000000001e+19,7776880852031.593
6.900000000000001e+19,9808526915791.23
6.950000000000001e+19,5196393262702.121
7.000000000000001e+19,2214134551876.723
7.050000000000001e+19,5905709346387.23
7.100000000000001e+19,9295541096195.322
7.150000000000001e+19,6236425692394.274
7.200000000000001e+19,2255400097973.5625
7.250000000000001e+19,4288502666973.3364
7.300000000000001e+19,8343828852874.811
7.350000000000001e+19,7013405387121.949
7.400000000000002e+19,2728361228482.1055
7.450000000000002e+19,3059217949127.635
7.500000000000002e+19,7103283668064.348
7.550000000000002e+19,7418297947499.056
7.600000000000002e+19,3462460145714.1323
7.650000000000002e+19,2285360646746.805
7.700000000000002e+19,5743666184692.2
7.750000000000002e+19,7410567455827.819
7.800000000000002e+19,4281135514567.383
7.850000000000002e+19,1968365520394.3057
