frequency_Hz,amplitude
0.0,2.3207586060940883e-22
5.0000000000000006e+17,2090258911410.8586
1.0000000000000001e+18,25967462795.71503
1.5000000000000003e+18,143434262054.37326
2.0000000000000003e+18,10706257211.074955
2.5000000000000005e+18,30428449716.978302
3.0000000000000005e+18,8987037726.243755
3.5000000000000005e+18,9049585439.778147
4.0000000000000005e+18,10751827526.856575
4.5000000000000005e+18,4260156374.460107
5.000000000000001e+18,4224527689.706519
5.500000000000001e+18,4927323806.812875
6.000000000000001e+18,2610508335.527401
6.500000000000001e+18,2069133491.5431883
7.000000000000001e+18,3035054706.360035
7.500000000000001e+18,1493925640.86597
8.000000000000001e+18,1688392546.543088
8.500000000000001e+18,1729016829.7908676
9.000000000000001e+18,1221626517.8618023
9.500000000000002e+18,1253844175.4007528
1.0000000000000002e+19,1118319529.9390366
1.0500000000000002e+19,980818059.9573227
1.1000000000000002e+19,899251404.4241451
1.1500000000000002e+19,875221666.5589589
1.2000000000000002e+19,871121859.2290477
1.2500000000000002e+19,711619965.9638093
1.3000000000000002e+19,568822311.1417962
1.3500000000000002e+19,647501884.3454576
1.4000000000000002e+19,503165119.71996284
1.4500000000000002e+19,506656820.9845798
1.5000000000000002e+19,546593545.6843374
1.5500000000000002e+19,445097462.4392976
1.6000000000000002e+19,437108809.3455799
1.6500000000000002e+19,399250860.32960606
1.7000000000000002e+19,386892599.3262608
1.7500000000000002e+19,382770845.42672515
1.8000000000000002e+19,355270200.72077394
1.8500000000000004e+19,341405077.70367247
1.9000000000000004e+19,316665181.30374545
1.9500000000000004e+19,294892616.2640286
2.0000000000000004e+19,273327149.7002787
2.0500000000000004e+19,284897152.93768346
2.1000000000000004e+19,248832695.8397248
2.1500000000000004e+19,236559671.96694556
2.2000000000000004e+19,243149037.41290542
2.2500000000000004e+19,219272598.77132243
2.3000000000000004e+19,221720275.38765424
2.3500000000000004e+19,202607141.8005957
2.4000000000000004e+19,179210767.4516234
2.4500000000000004e+19,197771398.43340543
2.5000000000000004e+19,163141588.9934732
2.5500000000000004e+19,175644930.01773557
2.6000000000000004e+19,181166821.22138858
2.6500000000000004e+19,159496930.679423
2.7000000000000004e+19,147426183.23630404
2.7500000000000004e+19,148613689.51745266
2.8000000000000004e+19,131059829.23465395
2.8500000000000004e+19,134086703.88115898
2.9000000000000004e+19,131678777.88541752
2.9500000000000004e+19,119378467.3928698
3.0000000000000004e+19,120013483.49337089
3.0500000000000004e+19,125937261.43696626
3.1000000000000004e+19,105661581.27443528
3.1500000000000004e+19,117485843.31825265
3.2000000000000004e+19,112671435.69590624
3.2500000000000004e+19,101578346.6825789
3.3000000000000004e+19,108686955.22910933
3.3500000000000004e+19,104477655.40432538
3.4000000000000004e+19,93232728.39791803
3.4500000000000004e+19,97086607.01825641
3.5000000000000004e+19,95031446.8427052
3.5500000000000004e+19,91786585.72700703
3.6000000000000004e+19,92747264.22576106
3.6500000000000004e+19,85894390.53892568
3.700000000000001e+19,86149465.58353563
3.750000000000001e+19,81646494.74374987
3.800000000000001e+19,77847100.18036097
3.850000000000001e+19,84389491.82770321
3.900000000000001e+19,74694004.67364138
3.950000000000001e+19,70460475.24293773
4.000000000000001e+19,74715592.34675123
4.050000000000001e+19,65283018.275308326
4.100000000000001e+19,67213873.21541311
4.150000000000001e+19,65972279.26142375
4.200000000000001e+19,63978123.1070699
4.250000000000001e+19,66741250.76232156
4.300000000000001e+19,62002905.55281363
